
# Downloaded from https://www.nutritionvalue.org 
# Dessert topping, 1.5 ounce prepared with 1/2 cup milk, powdered
# Serving size 1 package yields = 160 g
Nutrient, Amount, Unit
"Calories", 310.40, kcal
"Fat", 20.35, g
"Protein", 5.78, g
"Carbohydrate", 27.41, g
"Maltose", 0.00, g
"Fructose", 0.00, g
"Lactose", 6.00, g
"Sucrose", 21.41, g
"Glucose (dextrose)", 0.00, g
"Hexadecenoic acid", 0.085, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 0.00, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 27.41, g
"Vitamin B6", 0.048, mg
"Folate", 6.40, mcg
"Pantothenic acid", 0.362, mg
"Vitamin B12", 0.42, mcg
"Fiber", 0.0, g
"Retinol", 54.40, mcg
"Vitamin A", 192.00, IU
"Copper, Cu", 0.019, mg
"Selenium, Se", 7.7, mcg
"Octadecadienoic acid", 0.266, g
"Manganese, Mn", 0.008, mg
"Dihydrophylloquinone", 0.0, mcg
"Hexadecanoic acid", 3.189, g
"Choline", 17.0, mg
"Zinc, Zn", 0.43, mg
"Calcium, Ca", 144.00, mg
"Iron, Fe", 0.06, mg
"Magnesium, Mg", 16.00, mg
"Phosphorus, P", 137.60, mg
"Potassium, K", 241.60, mg
"Sodium, Na", 105.60, mg
"Serine", 0.248, g
"Monounsaturated fatty acids", 1.349, g
"Polyunsaturated fatty acids", 0.322, g
"Arginine", 0.166, g
"Valine", 0.368, g
"Alanine", 0.182, g
"Histidine", 0.147, g
"Glutamic acid", 1.213, g
"Aspartic acid", 0.419, g
"Proline", 0.626, g
"Glycine", 0.128, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 0.00, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 0.8, mg
"Water", 105.18, g
"Niacin", 0.096, mg
"Riboflavin", 0.187, mg
"Thiamin", 0.043, mg
"Phenylalanine", 0.280, g
"Tyrosine", 0.291, g
"Methionine", 0.149, g
"Cystine", 0.029, g
"Leucine", 0.509, g
"Lysine", 0.326, g
"Threonine", 0.251, g
"Isoleucine", 0.317, g
"Tryptophan", 0.115, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 1.1, mg
"Phytosterols", 0.00, mg
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.123, g
"Saturated fatty acids", 17.094, g
"Cholesterol", 16.00, mg
"Octanoic acid", 0.310, g
"Hexanoic acid", 0.074, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.72, mg
"Vitamin A, RAE", 54.40, mcg
"Carotene, beta", 8.00, mcg
"Vitamin D3 (cholecalciferol)", 1.4, mcg
"Vitamin D", 60.80, IU
"Vitamin D (D2 + D3)", 1.4, mcg
"Octadecatrienoic acid", 0.054, g
"Ash", 1.28, g
"Tetradecanoic acid", 2.691, g
"Decanoic acid", 0.483, g
"Dodecanoic acid", 5.926, g
"Octadecenoic acid", 1.206, g
"Octadecanoic acid", 4.240, g
"Folate, DFE", 6.40, mcg
"Folate, food", 6.40, mcg
"Vitamin K", 4.3, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.72, mg
# Downloaded from https://www.nutritionvalue.org 
