
# Downloaded from https://www.nutritionvalue.org 
# Milk shakes, thick vanilla
# Serving size 1 container (11 oz) = 313 g
Nutrient, Amount, Unit
"Calories", 350.56, kcal
"Fat", 9.48, g
"Protein", 12.08, g
"Carbohydrate", 55.56, g
"Hexadecenoic acid", 0.213, g
"Niacin", 0.457, mg
"Riboflavin", 0.610, mg
"Thiamin", 0.094, mg
"Vitamin C", 0.0, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 55.56, g
"Vitamin B6", 0.131, mg
"Folate", 21.91, mcg
"Pantothenic acid", 1.152, mg
"Vitamin B12", 1.63, mcg
"Fiber", 0.0, g
"Retinol", 78.25, mcg
"Vitamin A", 284.83, IU
"Copper, Cu", 0.160, mg
"Selenium, Se", 7.2, mcg
"Octadecadienoic acid", 0.213, g
"Manganese, Mn", 0.044, mg
"Choline", 44.8, mg
"Zinc, Zn", 1.22, mg
"Calcium, Ca", 456.98, mg
"Iron, Fe", 0.31, mg
"Magnesium, Mg", 37.56, mg
"Phosphorus, P", 359.95, mg
"Potassium, K", 572.79, mg
"Sodium, Na", 297.35, mg
"Serine", 0.657, g
"Monounsaturated fatty acids", 2.739, g
"Polyunsaturated fatty acids", 0.354, g
"Arginine", 0.438, g
"Valine", 0.808, g
"Alanine", 0.416, g
"Histidine", 0.329, g
"Glutamic acid", 2.529, g
"Aspartic acid", 0.917, g
"Proline", 1.171, g
"Glycine", 0.257, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 0.00, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Water", 233.03, g
"Phenylalanine", 0.582, g
"Tyrosine", 0.582, g
"Methionine", 0.304, g
"Cystine", 0.113, g
"Leucine", 1.183, g
"Lysine", 0.958, g
"Threonine", 0.545, g
"Isoleucine", 0.732, g
"Tryptophan", 0.169, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.307, g
"Saturated fatty acids", 5.903, g
"Cholesterol", 37.56, mg
"Octanoic acid", 0.106, g
"Hexanoic acid", 0.182, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.16, mg
"Vitamin A, RAE", 78.25, mcg
"Carotene, beta", 15.65, mcg
"Vitamin D3 (cholecalciferol)", 3.8, mcg
"Vitamin D", 150.24, IU
"Vitamin D (D2 + D3)", 3.8, mcg
"Octadecatrienoic acid", 0.138, g
"Ash", 2.85, g
"Tetradecanoic acid", 0.955, g
"Hexadecanoic acid", 2.495, g
"Decanoic acid", 0.238, g
"Dodecanoic acid", 0.266, g
"Octadecenoic acid", 2.385, g
"Octadecanoic acid", 1.149, g
"Folate, DFE", 21.91, mcg
"Folate, food", 21.91, mcg
"Vitamin K", 0.6, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.16, mg
# Downloaded from https://www.nutritionvalue.org 
