
# Downloaded from https://www.nutritionvalue.org 
# Potato salad, home-prepared
# Serving size 1 cup = 250 g
Nutrient, Amount, Unit
"Calories", 357.50, kcal
"Fat", 20.50, g
"Protein", 6.70, g
"Carbohydrate", 27.93, g
"Retinol", 72.50, mcg
"Vitamin A", 392.50, IU
"Cholesterol", 170.00, mg
"Hexadecenoic acid", 0.135, g
"Copper, Cu", 0.295, mg
"Eicosenoic acid", 0.022, g
"Selenium, Se", 10.2, mcg
"Octadecadienoic acid", 8.363, g
"Manganese, Mn", 0.253, mg
"Thiamin", 0.193, mg
"Monounsaturated fatty acids", 6.200, g
"Glycine", 0.215, g
"Octadecenoic acid", 6.045, g
"Water", 190.00, g
"Hexadecanoic acid", 2.585, g
"Serine", 0.410, g
"Riboflavin", 0.150, mg
"Niacin", 2.225, mg
"Vitamin A, RAE", 80.00, mcg
"Carotene, beta", 90.00, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 47.50, mg
"Methionine", 0.165, g
"Cystine", 0.128, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Lysine", 0.427, g
"Threonine", 0.290, g
"Isoleucine", 0.352, g
"Tryptophan", 0.105, g
"Zinc, Zn", 0.78, mg
"Phenylalanine", 0.338, g
"Ash", 4.88, g
"Histidine", 0.155, g
"Tetradecanoic acid", 0.033, g
"Decanoic acid", 0.000, g
"Iron, Fe", 1.62, mg
"Magnesium, Mg", 37.50, mg
"Phosphorus, P", 130.00, mg
"Potassium, K", 635.00, mg
"Sodium, Na", 1322.50, mg
"Octadecanoic acid", 0.925, g
"Saturated fatty acids", 3.572, g
"Leucine", 0.505, g
"Dodecanoic acid", 0.028, g
"Tyrosine", 0.260, g
"Folate, DFE", 17.50, mcg
"Glutamic acid", 0.968, g
"Folate, food", 17.50, mcg
"Vitamin C", 25.0, mg
"Octadecatrienoic acid", 0.925, g
"Vitamin B6", 0.352, mg
"Folate", 17.50, mcg
"Pantothenic acid", 1.335, mg
"Polyunsaturated fatty acids", 9.342, g
"Arginine", 0.380, g
"Valine", 0.430, g
"Alanine", 0.310, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.00, mcg
"Aspartic acid", 1.062, g
"Proline", 0.255, g
"Fiber", 3.2, g
# Downloaded from https://www.nutritionvalue.org 
