
# Downloaded from https://www.nutritionvalue.org 
# Ice cream sundae cone
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 254.00, kcal
"Fat", 14.00, g
"Protein", 3.00, g
"Carbohydrate", 28.89, g
"Hexadecenoic acid", 0.100, g
"Niacin", 1.111, mg
"Riboflavin", 0.213, mg
"Thiamin", 0.090, mg
"Vitamin C", 0.0, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Theobromine", 2.00, mg
"Caffeine", 0.00, mg
"Sugars", 21.26, g
"Vitamin B6", 0.050, mg
"Folate", 19.00, mcg
"Pantothenic acid", 0.356, mg
"Vitamin B12", 0.35, mcg
"Fiber", 1.0, g
"Retinol", 116.00, mcg
"Vitamin A", 410.00, IU
"Copper, Cu", 0.082, mg
"Selenium, Se", 2.3, mcg
"Octadecadienoic acid", 0.659, g
"Manganese, Mn", 0.087, mg
"Choline", 11.9, mg
"Zinc, Zn", 0.56, mg
"Calcium, Ca", 60.00, mg
"Iron, Fe", 0.36, mg
"Magnesium, Mg", 20.00, mg
"Phosphorus, P", 128.00, mg
"Potassium, K", 204.00, mg
"Sodium, Na", 115.00, mg
"Serine", 0.041, g
"Monounsaturated fatty acids", 1.775, g
"Polyunsaturated fatty acids", 0.747, g
"Arginine", 0.029, g
"Valine", 0.035, g
"Alanine", 0.026, g
"Histidine", 0.018, g
"Glutamic acid", 0.295, g
"Aspartic acid", 0.034, g
"Proline", 0.099, g
"Glycine", 0.029, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.021, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 2.00, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.010, g
"Water", 53.31, g
"Phenylalanine", 0.041, g
"Tyrosine", 0.023, g
"Methionine", 0.015, g
"Cystine", 0.019, g
"Leucine", 0.058, g
"Lysine", 0.016, g
"Threonine", 0.022, g
"Isoleucine", 0.031, g
"Tryptophan", 0.010, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.000, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 2.717, g
"Cholesterol", 15.00, mg
"Octanoic acid", 0.051, g
"Hexanoic acid", 0.082, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.11, mg
"Vitamin A, RAE", 117.00, mcg
"Carotene, beta", 14.00, mcg
"Vitamin D3 (cholecalciferol)", 0.1, mcg
"Vitamin D", 4.00, IU
"Vitamin D (D2 + D3)", 0.1, mcg
"Octadecatrienoic acid", 0.067, g
"Ash", 0.80, g
"Tetradecanoic acid", 0.403, g
"Hexadecanoic acid", 1.175, g
"Decanoic acid", 0.101, g
"Dodecanoic acid", 0.302, g
"Octadecenoic acid", 1.665, g
"Octadecanoic acid", 0.603, g
"Folate, DFE", 29.00, mcg
"Folate, food", 5.00, mcg
"Vitamin K", 0.5, mcg
"Folic acid", 14.00, mcg
"Tocopherol, alpha", 0.11, mg
# Downloaded from https://www.nutritionvalue.org 
