
# Downloaded from https://www.nutritionvalue.org 
# Refried beans, vegetarian, canned
# Serving size 1 can = 444 g
Nutrient, Amount, Unit
"Calories", 368.52, kcal
"Fat", 3.86, g
"Protein", 23.44, g
"Carbohydrate", 59.94, g
"Maltose", 0.00, g
"Fructose", 0.00, g
"Lactose", 0.00, g
"Sucrose", 2.62, g
"Glucose (dextrose)", 0.00, g
"Trans-octadecadienoic acid", 0.013, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.000, g
"Trans-hexadecenoic acid", 0.000, g
"Fatty acids, total trans-monoenoic", 0.000, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.013, g
"Tocotrienol, alpha", 0.04, mg
"Tocotrienol, beta", 0.00, mg
"Riboflavin", 0.067, mg
"Thiamin", 0.178, mg
"Tocopherol, beta", 0.04, mg
"Tocopherol, gamma", 5.82, mg
"Tocopherol, delta", 0.80, mg
"Galactose", 0.00, g
"Cis-octadecenoic acid", 0.866, g
"Cis,cis-octadecadienoic n-6 acid", 1.292, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.000, g
"Tetracosenoic cis acid", 0.009, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Cis-hexadecenoic acid", 0.009, g
"Sugars", 2.62, g
"Vitamin B6", 0.475, mg
"Pantothenic acid", 0.777, mg
"Fiber", 20.9, g
"Copper, Cu", 0.759, mg
"Selenium, Se", 24.9, mcg
"Octadecadienoic acid", 1.310, g
"Manganese, Mn", 1.474, mg
"Tetradecanoic acid", 0.009, g
"Zinc, Zn", 3.29, mg
"Calcium, Ca", 155.40, mg
"Iron, Fe", 7.55, mg
"Magnesium, Mg", 168.72, mg
"Phosphorus, P", 506.16, mg
"Potassium, K", 1527.36, mg
"Sodium, Na", 1909.20, mg
"Eicosadienoic n-6 acid", 0.000, g
"Monounsaturated fatty acids", 0.915, g
"Polyunsaturated fatty acids", 2.091, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.009, g
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.013, g
"Eicosapentaenoic n-3 acid", 0.000, g
"Eicosenoic acid", 0.036, g
"Water", 348.05, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.781, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 1.643, mg
"Docosatetraenoic acid", 0.000, g
"Tocotrienol, gamma", 0.04, mg
"Tetracosanoic acid", 0.013, g
"Tocotrienol, delta", 0.00, mg
"Pentadecanoic acid", 0.000, g
"Heptadecanoic acid", 0.009, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Fatty acids, total trans", 0.013, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.630, g
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Vitamin E", 0.40, mg
"Octadecatrienoic acid", 0.781, g
"Ash", 8.66, g
"Starch", 38.41, g
"Hexadecanoic acid", 0.462, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 0.866, g
"Octadecanoic acid", 0.111, g
"Eicosanoic acid", 0.013, g
"Eicosadienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.004, g
"Heptadecenoic acid", 0.000, g
"Tocopherol, alpha", 0.40, mg
# Downloaded from https://www.nutritionvalue.org 
