
# Downloaded from https://www.nutritionvalue.org 
# Croissants, butter
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 406.00, kcal
"Fat", 21.00, g
"Protein", 8.20, g
"Carbohydrate", 45.80, g
"Hexadecenoic acid", 0.429, g
"Niacin", 2.188, mg
"Riboflavin", 0.241, mg
"Thiamin", 0.388, mg
"Vitamin C", 0.2, mg
"Eicosapentaenoic n-3 acid", 0.003, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 11.26, g
"Vitamin B6", 0.058, mg
"Folate", 88.00, mcg
"Pantothenic acid", 0.861, mg
"Vitamin B12", 0.16, mcg
"Fiber", 2.6, g
"Retinol", 202.00, mcg
"Vitamin A", 744.00, IU
"Copper, Cu", 0.080, mg
"Selenium, Se", 22.7, mcg
"Octadecadienoic acid", 0.795, g
"Manganese, Mn", 0.330, mg
"Choline", 38.8, mg
"Zinc, Zn", 0.75, mg
"Calcium, Ca", 37.00, mg
"Iron, Fe", 2.03, mg
"Magnesium, Mg", 16.00, mg
"Phosphorus, P", 105.00, mg
"Potassium, K", 118.00, mg
"Sodium, Na", 467.00, mg
"Serine", 0.440, g
"Monounsaturated fatty acids", 5.525, g
"Polyunsaturated fatty acids", 1.094, g
"Arginine", 0.339, g
"Valine", 0.410, g
"Alanine", 0.325, g
"Histidine", 0.187, g
"Glutamic acid", 2.300, g
"Aspartic acid", 0.501, g
"Proline", 0.778, g
"Glycine", 0.288, g
"Docosahexaenoic n-3 acid", 0.002, g
"Eicosatetraenoic acid", 0.006, g
"Octadecatetraenoic acid", 0.001, g
"Lutein + zeaxanthin", 74.00, mcg
"Cryptoxanthin, beta", 1.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.001, g
"Water", 23.20, g
"Phenylalanine", 0.416, g
"Tyrosine", 0.271, g
"Methionine", 0.175, g
"Cystine", 0.172, g
"Leucine", 0.623, g
"Lysine", 0.329, g
"Threonine", 0.284, g
"Isoleucine", 0.365, g
"Tryptophan", 0.099, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.595, g
"Saturated fatty acids", 11.659, g
"Cholesterol", 67.00, mg
"Octanoic acid", 0.205, g
"Hexanoic acid", 0.351, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.84, mg
"Vitamin A, RAE", 206.00, mcg
"Carotene, beta", 38.00, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.289, g
"Ash", 1.60, g
"Tetradecanoic acid", 1.845, g
"Hexadecanoic acid", 5.023, g
"Decanoic acid", 0.459, g
"Dodecanoic acid", 0.514, g
"Octadecenoic acid", 4.822, g
"Octadecanoic acid", 2.259, g
"Folate, DFE", 130.00, mcg
"Folate, food", 28.00, mcg
"Vitamin K", 1.8, mcg
"Folic acid", 60.00, mcg
"Tocopherol, alpha", 0.84, mg
# Downloaded from https://www.nutritionvalue.org 
