
# Downloaded from https://www.nutritionvalue.org 
# Muffins, commercially prepared, corn
# Serving size 1 large = 139 g
Nutrient, Amount, Unit
"Calories", 423.95, kcal
"Fat", 11.68, g
"Protein", 8.20, g
"Carbohydrate", 70.89, g
"Hexadecenoic acid", 0.043, g
"Niacin", 2.831, mg
"Riboflavin", 0.453, mg
"Thiamin", 0.379, mg
"Vitamin C", 0.0, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 24.71, g
"Vitamin B6", 0.117, mg
"Folate", 86.18, mcg
"Pantothenic acid", 0.617, mg
"Vitamin B12", 0.13, mcg
"Fiber", 4.7, g
"Retinol", 68.11, mcg
"Vitamin A", 289.12, IU
"Copper, Cu", 0.416, mg
"Selenium, Se", 21.1, mcg
"Octadecadienoic acid", 4.199, g
"Manganese, Mn", 0.493, mg
"Choline", 71.9, mg
"Zinc, Zn", 0.75, mg
"Calcium, Ca", 102.86, mg
"Iron, Fe", 3.91, mg
"Magnesium, Mg", 44.48, mg
"Phosphorus, P", 394.76, mg
"Potassium, K", 95.91, mg
"Sodium, Na", 649.13, mg
"Serine", 0.452, g
"Monounsaturated fatty acids", 2.925, g
"Polyunsaturated fatty acids", 4.469, g
"Arginine", 0.443, g
"Valine", 0.409, g
"Alanine", 0.396, g
"Histidine", 0.210, g
"Glutamic acid", 1.843, g
"Aspartic acid", 0.667, g
"Proline", 0.663, g
"Glycine", 0.311, g
"Docosahexaenoic n-3 acid", 0.003, g
"Eicosatetraenoic acid", 0.013, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 365.57, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.003, g
"Water", 45.31, g
"Phenylalanine", 0.413, g
"Tyrosine", 0.303, g
"Methionine", 0.163, g
"Cystine", 0.153, g
"Leucine", 0.717, g
"Lysine", 0.388, g
"Threonine", 0.314, g
"Isoleucine", 0.357, g
"Tryptophan", 0.095, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 1.882, g
"Cholesterol", 36.14, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 16.68, mcg
"Vitamin E", 1.11, mg
"Vitamin A, RAE", 72.28, mcg
"Carotene, beta", 27.80, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.253, g
"Ash", 2.92, g
"Tetradecanoic acid", 0.029, g
"Hexadecanoic acid", 1.457, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 2.877, g
"Octadecanoic acid", 0.386, g
"Folate, DFE", 113.98, mcg
"Folate, food", 47.26, mcg
"Vitamin K", 3.2, mcg
"Folic acid", 38.92, mcg
"Tocopherol, alpha", 1.11, mg
# Downloaded from https://www.nutritionvalue.org 
