
# Downloaded from https://www.nutritionvalue.org 
# Pancakes, prepared from recipe, plain
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 227.00, kcal
"Fat", 9.70, g
"Protein", 6.40, g
"Carbohydrate", 28.30, g
"Retinol", 53.00, mcg
"Vitamin A", 196.00, IU
"Cholesterol", 59.00, mg
"Hexadecenoic acid", 0.078, g
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.021, g
"Copper, Cu", 0.049, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Eicosenoic acid", 0.018, g
"Selenium, Se", 14.9, mcg
"Butanoic acid", 0.036, g
"Manganese, Mn", 0.200, mg
"Monounsaturated fatty acids", 2.474, g
"Glycine", 0.198, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 2.375, g
"Eicosatetraenoic acid", 0.018, g
"Water", 52.90, g
"Hexadecanoic acid", 1.354, g
"Serine", 0.363, g
"Riboflavin", 0.281, mg
"Niacin", 1.567, mg
"Vitamin A, RAE", 54.00, mcg
"Thiamin", 0.201, mg
"Vitamin C", 0.3, mg
"Calcium, Ca", 219.00, mg
"Methionine", 0.147, g
"Cystine", 0.116, g
"Leucine", 0.513, g
"Lysine", 0.321, g
"Threonine", 0.237, g
"Isoleucine", 0.297, g
"Tryptophan", 0.080, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 0.56, mg
"Phenylalanine", 0.319, g
"Ash", 2.60, g
"Tetradecanoic acid", 0.122, g
"Decanoic acid", 0.028, g
"Iron, Fe", 1.80, mg
"Magnesium, Mg", 16.00, mg
"Phosphorus, P", 159.00, mg
"Potassium, K", 132.00, mg
"Sodium, Na", 439.00, mg
"Octadecadienoic acid", 3.913, g
"Octadecanoic acid", 0.508, g
"Saturated fatty acids", 2.122, g
"Dodecanoic acid", 0.031, g
"Tyrosine", 0.240, g
"Histidine", 0.152, g
"Glutamic acid", 1.570, g
"Folate, food", 12.00, mcg
"Octanoic acid", 0.012, g
"Docosahexaenoic n-3 acid", 0.005, g
"Octadecatrienoic acid", 0.510, g
"Vitamin B6", 0.046, mg
"Folate", 38.00, mcg
"Pantothenic acid", 0.405, mg
"Polyunsaturated fatty acids", 4.447, g
"Arginine", 0.280, g
"Valine", 0.335, g
"Alanine", 0.245, g
"Folate, DFE", 56.00, mcg
"Vitamin B12", 0.22, mcg
"Aspartic acid", 0.420, g
"Proline", 0.576, g
"Folic acid", 26.00, mcg
# Downloaded from https://www.nutritionvalue.org 
