
# Downloaded from https://www.nutritionvalue.org 
# Pie, prepared from recipe, pumpkin
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 925.33, kcal
"Fat", 42.18, g
"Protein", 20.41, g
"Carbohydrate", 119.75, g
"Retinol", 136.08, mcg
"Vitamin A", 36378.08, IU
"Cholesterol", 190.51, mg
"Hexadecenoic acid", 0.349, g
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.177, g
"Copper, Cu", 0.299, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Eicosenoic acid", 0.009, g
"Selenium, Se", 32.2, mcg
"Butanoic acid", 0.259, g
"Manganese, Mn", 0.898, mg
"Monounsaturated fatty acids", 16.769, g
"Glycine", 0.576, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 16.302, g
"Eicosatetraenoic acid", 0.050, g
"Water", 265.35, g
"Hexadecanoic acid", 7.598, g
"Serine", 1.161, g
"Riboflavin", 0.912, mg
"Niacin", 3.547, mg
"Vitamin A, RAE", 1932.30, mcg
"Thiamin", 0.417, mg
"Vitamin C", 7.7, mg
"Calcium, Ca", 426.38, mg
"Methionine", 0.476, g
"Cystine", 0.304, g
"Leucine", 1.706, g
"Lysine", 1.252, g
"Threonine", 0.816, g
"Isoleucine", 1.025, g
"Tryptophan", 0.268, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 2.09, mg
"Phenylalanine", 0.993, g
"Ash", 5.90, g
"Tetradecanoic acid", 1.120, g
"Decanoic acid", 0.145, g
"Iron, Fe", 5.76, mg
"Magnesium, Mg", 86.18, mg
"Phosphorus, P", 444.52, mg
"Potassium, K", 843.68, mg
"Sodium, Na", 1020.58, mg
"Octadecadienoic acid", 7.566, g
"Octadecanoic acid", 4.432, g
"Saturated fatty acids", 14.383, g
"Carotene, beta", 21554.69, mcg
"Dodecanoic acid", 0.222, g
"Tyrosine", 0.848, g
"Histidine", 0.494, g
"Glutamic acid", 4.554, g
"Folate, food", 49.90, mcg
"Octanoic acid", 0.073, g
"Docosahexaenoic n-3 acid", 0.014, g
"Octadecatrienoic acid", 0.581, g
"Vitamin B6", 0.213, mg
"Folate", 95.25, mcg
"Pantothenic acid", 2.018, mg
"Polyunsaturated fatty acids", 8.210, g
"Arginine", 0.903, g
"Valine", 1.148, g
"Alanine", 0.776, g
"Folate, DFE", 127.01, mcg
"Vitamin B12", 0.41, mcg
"Aspartic acid", 1.538, g
"Proline", 1.701, g
"Folic acid", 45.36, mcg
# Downloaded from https://www.nutritionvalue.org 
