
# Downloaded from https://www.nutritionvalue.org 
# Waffles, prepared from recipe, plain
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 291.00, kcal
"Fat", 14.10, g
"Protein", 7.90, g
"Carbohydrate", 32.90, g
"Retinol", 64.00, mcg
"Vitamin A", 228.00, IU
"Cholesterol", 69.00, mg
"Hexadecenoic acid", 0.096, g
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.025, g
"Copper, Cu", 0.062, mg
"Eicosapentaenoic n-3 acid", 0.001, g
"Eicosenoic acid", 0.026, g
"Selenium, Se", 46.2, mcg
"Butanoic acid", 0.041, g
"Manganese, Mn", 0.265, mg
"Monounsaturated fatty acids", 3.521, g
"Glycine", 0.247, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 3.395, g
"Eicosatetraenoic acid", 0.021, g
"Water", 42.00, g
"Hexadecanoic acid", 1.865, g
"Serine", 0.447, g
"Riboflavin", 0.347, mg
"Niacin", 2.073, mg
"Vitamin A, RAE", 65.00, mcg
"Thiamin", 0.263, mg
"Vitamin C", 0.4, mg
"Calcium, Ca", 255.00, mg
"Methionine", 0.179, g
"Cystine", 0.145, g
"Leucine", 0.630, g
"Lysine", 0.384, g
"Threonine", 0.289, g
"Isoleucine", 0.362, g
"Tryptophan", 0.099, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 0.68, mg
"Phenylalanine", 0.395, g
"Ash", 3.10, g
"Tetradecanoic acid", 0.145, g
"Decanoic acid", 0.032, g
"Iron, Fe", 2.31, mg
"Magnesium, Mg", 19.00, mg
"Phosphorus, P", 190.00, mg
"Potassium, K", 159.00, mg
"Sodium, Na", 511.00, mg
"Octadecadienoic acid", 5.975, g
"Octadecanoic acid", 0.696, g
"Saturated fatty acids", 2.866, g
"Dodecanoic acid", 0.036, g
"Tyrosine", 0.293, g
"Histidine", 0.187, g
"Glutamic acid", 1.989, g
"Folate, food", 15.00, mcg
"Octanoic acid", 0.014, g
"Docosahexaenoic n-3 acid", 0.006, g
"Octadecatrienoic acid", 0.782, g
"Vitamin B6", 0.056, mg
"Folate", 46.00, mcg
"Pantothenic acid", 0.485, mg
"Polyunsaturated fatty acids", 6.785, g
"Arginine", 0.345, g
"Valine", 0.409, g
"Alanine", 0.301, g
"Folate, DFE", 68.00, mcg
"Vitamin B12", 0.25, mcg
"Aspartic acid", 0.509, g
"Proline", 0.726, g
"Folic acid", 31.00, mcg
# Downloaded from https://www.nutritionvalue.org 
