
# Downloaded from https://www.nutritionvalue.org 
# Flan, prepared with whole milk, dry mix, caramel custard
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 113.00, kcal
"Fat", 3.00, g
"Protein", 2.95, g
"Carbohydrate", 18.68, g
"Retinol", 28.00, mcg
"Vitamin A", 113.00, IU
"Cholesterol", 12.00, mg
"Hexadecenoic acid", 0.067, g
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.057, g
"Copper, Cu", 0.011, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Eicosenoic acid", 0.000, g
"Selenium, Se", 5.2, mcg
"Butanoic acid", 0.097, g
"Manganese, Mn", 0.005, mg
"Thiamin", 0.031, mg
"Monounsaturated fatty acids", 0.821, g
"Glycine", 0.063, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 0.753, g
"Eicosatetraenoic acid", 0.000, g
"Water", 74.63, g
"Hexadecanoic acid", 0.788, g
"Phytosterols", 0.00, mg
"Serine", 0.161, g
"Riboflavin", 0.145, mg
"Dodecanoic acid", 0.084, g
"Niacin", 0.075, mg
"Vitamin A, RAE", 29.00, mcg
"Carotene, beta", 16.00, mcg
"Vitamin D", 36.00, IU
"Calcium, Ca", 111.00, mg
"Methionine", 0.074, g
"Cystine", 0.027, g
"Vitamin D (D2 + D3)", 0.9, mcg
"Lysine", 0.234, g
"Threonine", 0.134, g
"Isoleucine", 0.178, g
"Tryptophan", 0.041, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 0.35, mg
"Phenylalanine", 0.143, g
"Ash", 0.74, g
"Histidine", 0.080, g
"Tetradecanoic acid", 0.301, g
"Decanoic acid", 0.075, g
"Iron, Fe", 0.06, mg
"Magnesium, Mg", 12.00, mg
"Phosphorus, P", 84.00, mg
"Potassium, K", 160.00, mg
"Sodium, Na", 112.00, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 0.363, g
"Saturated fatty acids", 1.800, g
"Leucine", 0.289, g
"Alcohol, ethyl", 0.0, g
"Tyrosine", 0.143, g
"Folate, DFE", 4.00, mcg
"Glutamic acid", 0.618, g
"Folate, food", 4.00, mcg
"Octanoic acid", 0.033, g
"Vitamin C", 0.7, mg
"Octadecadienoic acid", 0.067, g
"Octadecatrienoic acid", 0.044, g
"Vitamin B6", 0.034, mg
"Folate", 4.00, mcg
"Pantothenic acid", 0.282, mg
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 0.111, g
"Arginine", 0.107, g
"Valine", 0.197, g
"Alanine", 0.101, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.26, mcg
"Aspartic acid", 0.224, g
"Proline", 0.286, g
"Fiber", 0.0, g
# Downloaded from https://www.nutritionvalue.org 
