
# Downloaded from https://www.nutritionvalue.org 
# Fast foods, taco salad
# Serving size 1.5 cup = 198 g
Nutrient, Amount, Unit
"Calories", 279.18, kcal
"Fat", 14.77, g
"Protein", 13.23, g
"Carbohydrate", 23.58, g
"Vitamin A", 588.06, IU
"Cholesterol", 43.56, mg
"Betaine", 21.6, mg
"Copper, Cu", 0.224, mg
"Selenium, Se", 4.4, mcg
"Octadecadienoic acid", 1.659, g
"Manganese, Mn", 0.331, mg
"Monounsaturated fatty acids", 5.160, g
"Glycine", 0.645, g
"Octadecenoic acid", 5.160, g
"Water", 143.25, g
"Hexadecanoic acid", 3.758, g
"Serine", 0.568, g
"Niacin", 2.455, mg
"Riboflavin", 0.356, mg
"Thiamin", 0.099, mg
"Vitamin C", 3.6, mg
"Calcium, Ca", 192.06, mg
"Choline", 46.1, mg
"Cystine", 0.119, g
"Leucine", 1.087, g
"Lysine", 0.962, g
"Threonine", 0.503, g
"Isoleucine", 0.616, g
"Tryptophan", 0.148, g
"Zinc, Zn", 2.69, mg
"Phenylalanine", 0.548, g
"Ash", 3.15, g
"Tetradecanoic acid", 0.976, g
"Decanoic acid", 0.176, g
"Iron, Fe", 2.28, mg
"Magnesium, Mg", 51.48, mg
"Phosphorus, P", 142.56, mg
"Potassium, K", 415.80, mg
"Sodium, Na", 762.30, mg
"Methionine", 0.287, g
"Octadecanoic acid", 1.624, g
"Saturated fatty acids", 6.823, g
"Dodecanoic acid", 0.289, g
"Tyrosine", 0.459, g
"Histidine", 0.398, g
"Glutamic acid", 2.556, g
"Folate, food", 39.60, mcg
"Octadecatrienoic acid", 0.089, g
"Vitamin B6", 0.218, mg
"Folate", 83.16, mcg
"Pantothenic acid", 1.346, mg
"Polyunsaturated fatty acids", 1.748, g
"Arginine", 0.707, g
"Valine", 0.679, g
"Alanine", 0.671, g
"Folate, DFE", 112.86, mcg
"Vitamin B12", 0.63, mcg
"Aspartic acid", 1.097, g
"Proline", 0.895, g
"Folic acid", 43.56, mcg
# Downloaded from https://www.nutritionvalue.org 
