
# Downloaded from https://www.nutritionvalue.org 
# Fast foods, with condiments, single patty, large, hamburger
# Serving size 1 item = 171 g
Nutrient, Amount, Unit
"Calories", 437.76, kcal
"Fat", 19.84, g
"Protein", 26.81, g
"Carbohydrate", 37.86, g
"Maltose", 0.63, g
"Fructose", 3.18, g
"Lactose", 0.26, g
"Sucrose", 0.26, g
"Glucose (dextrose)", 1.95, g
"Lutein + zeaxanthin", 35.91, mcg
"Pentadecenoic acid", 0.000, g
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 1.92, mg
"Tocopherol, gamma", 0.22, mg
"Tocopherol, delta", 0.03, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 6.28, g
"Vitamin B6", 0.253, mg
"Folate", 37.62, mcg
"Pantothenic acid", 0.674, mg
"Vitamin B12", 2.84, mcg
"Fiber", 1.9, g
"Retinol", 0.00, mcg
"Vitamin A", 76.95, IU
"Fluoride, F", 47.9, mcg
"Copper, Cu", 0.173, mg
"Selenium, Se", 42.4, mcg
"Octadecadienoic acid", 1.708, g
"Manganese, Mn", 0.330, mg
"Dihydrophylloquinone", 0.0, mcg
"Starch", 25.48, g
"Choline", 56.9, mg
"Zinc, Zn", 5.20, mg
"Calcium, Ca", 148.77, mg
"Iron, Fe", 2.96, mg
"Magnesium, Mg", 41.04, mg
"Phosphorus, P", 206.91, mg
"Potassium, K", 384.75, mg
"Sodium, Na", 639.54, mg
"Monounsaturated fatty acids", 9.241, g
"Polyunsaturated fatty acids", 2.016, g
"Folate, DFE", 53.01, mcg
"Folate, food", 15.39, mcg
"Vitamin K", 8.6, mcg
"Folic acid", 22.23, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.032, g
"Octadecatetraenoic acid", 0.097, g
"Hexadecenoic acid", 0.749, g
"Tetradecenoic acid", 0.162, g
"Docosanoic acid", 0.000, g
"Cryptoxanthin, beta", 3.42, mcg
"Lycopene", 1142.28, mcg
"Eicosenoic acid", 0.065, g
"Betaine", 37.3, mg
"Water", 83.47, g
"Niacin", 7.952, mg
"Riboflavin", 0.344, mg
"Tetracosanoic acid", 0.000, g
"Thiamin", 0.274, mg
"Pentadecanoic acid", 0.082, g
"Heptadecanoic acid", 0.195, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 0.5, mg
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 8.182, g
"Cholesterol", 68.40, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 1.71, mcg
"Vitamin E", 0.10, mg
"Vitamin A, RAE", 3.42, mcg
"Carotene, beta", 44.46, mcg
"Vitamin D", 6.84, IU
"Vitamin D (D2 + D3)", 0.2, mcg
"Octadecatrienoic acid", 0.180, g
"Ash", 3.03, g
"Tetradecanoic acid", 0.602, g
"Hexadecanoic acid", 4.685, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 8.264, g
"Octadecanoic acid", 2.587, g
"Eicosanoic acid", 0.032, g
"Eicosadienoic acid", 0.000, g
"Heptadecenoic acid", 0.000, g
"Tocopherol, alpha", 0.10, mg
# Downloaded from https://www.nutritionvalue.org 
