
# Downloaded from https://www.nutritionvalue.org 
# Chili con carne with beans, canned entree
# Serving size 1 cup = 242 g
Nutrient, Amount, Unit
"Calories", 258.94, kcal
"Fat", 8.40, g
"Protein", 14.04, g
"Carbohydrate", 31.70, g
"Maltose", 0.00, g
"Fructose", 1.19, g
"Lactose", 0.00, g
"Sucrose", 2.49, g
"Glucose (dextrose)", 0.82, g
"Trans-octadecadienoic acid", 0.051, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.329, g
"Trans-hexadecenoic acid", 0.022, g
"Lutein + zeaxanthin", 365.42, mcg
"Fatty acids, total trans-monoenoic", 0.351, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.051, g
"Tocotrienol, alpha", 0.15, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.10, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.75, mg
"Tocopherol, gamma", 2.88, mg
"Tocopherol, delta", 0.07, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 2.698, g
"Cis,cis-octadecadienoic n-6 acid", 0.564, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.039, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.005, g
"Cis-hexadecenoic acid", 0.223, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 4.53, g
"Vitamin B6", 0.254, mg
"Folate", 50.82, mcg
"Pantothenic acid", 0.719, mg
"Vitamin B12", 0.68, mcg
"Fiber", 8.0, g
"Retinol", 0.00, mcg
"Vitamin A", 1130.14, IU
"Copper, Cu", 0.232, mg
"Selenium, Se", 8.7, mcg
"Octadecadienoic acid", 0.653, g
"Manganese, Mn", 0.496, mg
"Starch", 16.70, g
"Choline", 54.5, mg
"Zinc, Zn", 2.15, mg
"Calcium, Ca", 79.86, mg
"Iron, Fe", 3.24, mg
"Magnesium, Mg", 67.76, mg
"Phosphorus, P", 210.54, mg
"Potassium, K", 638.88, mg
"Sodium, Na", 1086.58, mg
"Eicosadienoic n-6 acid", 0.010, g
"Monounsaturated fatty acids", 3.417, g
"Polyunsaturated fatty acids", 0.968, g
"Folate, DFE", 50.82, mcg
"Folate, food", 50.82, mcg
"Vitamin K", 11.1, mcg
"Folic acid", 0.00, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.015, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.244, g
"Tetradecenoic acid", 0.056, g
"Docosanoic acid", 0.007, g
"Cryptoxanthin, beta", 205.70, mcg
"Lycopene", 1604.46, mcg
"Eicosenoic acid", 0.027, g
"Water", 183.17, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.278, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 1.892, mg
"Docosatetraenoic acid", 0.002, g
"Riboflavin", 0.070, mg
"Tetracosanoic acid", 0.007, g
"Thiamin", 0.046, mg
"Pentadecanoic acid", 0.036, g
"Heptadecanoic acid", 0.090, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.005, g
"Vitamin C", 0.5, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.402, g
"Butanoic acid", 0.007, g
"Saturated fatty acids", 3.032, g
"Cholesterol", 21.78, mg
"Octanoic acid", 0.005, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 21.78, mcg
"Vitamin E", 1.21, mg
"Vitamin A, RAE", 55.66, mcg
"Carotene, beta", 563.86, mcg
"Vitamin D", 2.42, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.278, g
"Ash", 4.69, g
"Tetradecanoic acid", 0.208, g
"Hexadecanoic acid", 1.716, g
"Decanoic acid", 0.002, g
"Dodecanoic acid", 0.007, g
"Octadecenoic acid", 3.027, g
"Octadecanoic acid", 0.944, g
"Eicosanoic acid", 0.012, g
"Eicosadienoic acid", 0.010, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, g
"Heptadecenoic acid", 0.063, g
"Tocopherol, alpha", 1.21, mg
# Downloaded from https://www.nutritionvalue.org 
