
# Downloaded from https://www.nutritionvalue.org 
# Pasta with tomato sauce, canned, no meat
# Serving size 1 cup = 238 g
Nutrient, Amount, Unit
"Calories", 166.60, kcal
"Fat", 1.05, g
"Protein", 5.28, g
"Carbohydrate", 33.84, g
"Maltose", 0.00, g
"Fructose", 4.81, g
"Lactose", 0.00, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 4.71, g
"Trans-octadecadienoic acid", 0.005, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.010, g
"Trans-hexadecenoic acid", 0.000, g
"Hexadecenoic acid", 0.005, g
"Fatty acids, total trans-monoenoic", 0.010, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.005, g
"Tocotrienol, alpha", 0.07, mg
"Tocotrienol, beta", 0.67, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.10, mg
"Tocopherol, gamma", 0.19, mg
"Tocopherol, delta", 0.05, mg
"Eicosapentaenoic n-3 acid", 0.002, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 0.183, g
"Cis,cis-octadecadienoic n-6 acid", 0.362, g
"Docosenoic cis acid", 0.002, g
"Octadecadienoic CLAs acid", 0.000, g
"Tetracosenoic cis acid", 0.005, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Cis-hexadecenoic acid", 0.005, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 9.52, g
"Vitamin B6", 0.138, mg
"Folate", 73.78, mcg
"Vitamin B12", 0.02, mcg
"Fiber", 2.1, g
"Retinol", 4.76, mcg
"Vitamin A", 1656.48, IU
"Copper, Cu", 0.129, mg
"Selenium, Se", 21.4, mcg
"Octadecadienoic acid", 0.369, g
"Manganese, Mn", 0.386, mg
"Starch", 17.71, g
"Choline", 9.8, mg
"Zinc, Zn", 0.90, mg
"Calcium, Ca", 30.94, mg
"Iron, Fe", 2.17, mg
"Magnesium, Mg", 33.32, mg
"Phosphorus, P", 92.82, mg
"Potassium, K", 456.96, mg
"Sodium, Na", 647.36, mg
"Eicosadienoic n-6 acid", 0.002, g
"Monounsaturated fatty acids", 0.209, g
"Polyunsaturated fatty acids", 0.407, g
"Folate, DFE", 119.00, mcg
"Folate, food", 9.52, mcg
"Vitamin K", 2.9, mcg
"Folic acid", 64.26, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 218.96, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.005, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 6373.64, mcg
"Eicosenoic acid", 0.005, g
"Water", 195.52, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.029, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 3.099, mg
"Docosatetraenoic acid", 0.002, g
"Riboflavin", 0.124, mg
"Tetracosanoic acid", 0.002, g
"Thiamin", 0.138, mg
"Pentadecanoic acid", 0.002, g
"Heptadecanoic acid", 0.002, g
"Docosenoic acid", 0.002, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 0.0, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.014, g
"Butanoic acid", 0.005, g
"Saturated fatty acids", 0.324, g
"Cholesterol", 2.38, mg
"Octanoic acid", 0.002, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 33.32, mcg
"Vitamin E", 1.48, mg
"Vitamin A, RAE", 85.68, mcg
"Carotene, beta", 968.66, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.029, g
"Ash", 2.33, g
"Tetradecanoic acid", 0.021, g
"Hexadecanoic acid", 0.219, g
"Decanoic acid", 0.007, g
"Dodecanoic acid", 0.005, g
"Octadecenoic acid", 0.193, g
"Octadecanoic acid", 0.048, g
"Eicosanoic acid", 0.002, g
"Eicosadienoic acid", 0.002, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, g
"Heptadecenoic acid", 0.000, g
"Tocopherol, alpha", 1.48, mg
# Downloaded from https://www.nutritionvalue.org 
