
# Downloaded from https://www.nutritionvalue.org 
# Potato salad with egg
# Serving size .5 cup = 125 g
Nutrient, Amount, Unit
"Calories", 196.25, kcal
"Fat", 11.75, g
"Protein", 2.45, g
"Carbohydrate", 20.23, g
"Maltose", 0.49, g
"Fructose", 1.64, g
"Lactose", 0.00, g
"Sucrose", 2.12, g
"Glucose (dextrose)", 1.93, g
"Trans-octadecadienoic acid", 0.022, g
"Docosenoic trans acid", 0.003, g
"Trans-octadecenoic acid", 0.005, g
"Trans-hexadecenoic acid", 0.000, g
"Lutein + zeaxanthin", 53.75, mcg
"Fatty acids, total trans-monoenoic", 0.009, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.022, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.01, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.21, mg
"Tocopherol, gamma", 7.17, mg
"Tocopherol, delta", 2.79, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 2.408, g
"Cis,cis-octadecadienoic n-6 acid", 5.384, g
"Docosenoic cis acid", 0.018, g
"Octadecadienoic CLAs acid", 0.005, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.005, g
"Cis-hexadecenoic acid", 0.025, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 6.19, g
"Vitamin B6", 0.144, mg
"Folate", 16.25, mcg
"Pantothenic acid", 0.554, mg
"Vitamin B12", 0.09, mcg
"Fiber", 1.6, g
"Retinol", 16.25, mcg
"Vitamin A", 203.75, IU
"Copper, Cu", 0.051, mg
"Selenium, Se", 3.0, mcg
"Octadecadienoic acid", 5.412, g
"Manganese, Mn", 0.140, mg
"Starch", 10.60, g
"Choline", 22.8, mg
"Zinc, Zn", 0.41, mg
"Calcium, Ca", 18.75, mg
"Iron, Fe", 0.62, mg
"Magnesium, Mg", 18.75, mg
"Phosphorus, P", 66.25, mg
"Potassium, K", 302.50, mg
"Sodium, Na", 411.25, mg
"Eicosadienoic n-6 acid", 0.001, g
"Monounsaturated fatty acids", 2.500, g
"Polyunsaturated fatty acids", 6.229, g
"Folate, DFE", 16.25, mcg
"Folate, food", 16.25, mcg
"Vitamin K", 17.9, mcg
"Folic acid", 0.00, mcg
"Docosahexaenoic n-3 acid", 0.004, g
"Eicosatetraenoic acid", 0.016, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.025, g
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.033, g
"Cryptoxanthin, beta", 3.75, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.034, g
"Water", 88.74, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.787, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 1.000, mg
"Docosatetraenoic acid", 0.001, g
"Riboflavin", 0.021, mg
"Tetracosanoic acid", 0.011, g
"Thiamin", 0.040, mg
"Pentadecanoic acid", 0.004, g
"Heptadecanoic acid", 0.011, g
"Docosenoic acid", 0.020, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 1.0, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.031, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 1.796, g
"Cholesterol", 21.25, mg
"Octanoic acid", 0.003, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 6.25, mcg
"Vitamin E", 0.85, mg
"Vitamin A, RAE", 23.75, mcg
"Carotene, beta", 83.75, mcg
"Vitamin D", 5.00, IU
"Vitamin D (D2 + D3)", 0.1, mcg
"Octadecatrienoic acid", 0.789, g
"Ash", 1.84, g
"Tetradecanoic acid", 0.010, g
"Hexadecanoic acid", 1.206, g
"Decanoic acid", 0.003, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 2.414, g
"Octadecanoic acid", 0.484, g
"Eicosanoic acid", 0.034, g
"Eicosadienoic acid", 0.001, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.001, g
"Heptadecenoic acid", 0.007, g
"Tocopherol, alpha", 0.85, mg
# Downloaded from https://www.nutritionvalue.org 
