
# Downloaded from https://www.nutritionvalue.org 
# Pancakes, reduced fat, plain
# Serving size 1 serving 3 pancakes = 105 g
Nutrient, Amount, Unit
"Calories", 282.45, kcal
"Fat", 2.00, g
"Protein", 6.00, g
"Carbohydrate", 60.19, g
"Fatty acids, total trans", 0.000, g
"Retinol", 6.30, mcg
"Vitamin A", 25.20, IU
"Cholesterol", 25.20, mg
"Lutein + zeaxanthin", 69.30, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.000, g
"Copper, Cu", 0.098, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.004, g
"Selenium, Se", 23.1, mcg
"Butanoic acid", 0.000, g
"Thiamin", 0.375, mg
"Saturated fatty acids", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 0.543, g
"Eicosatetraenoic acid", 0.009, g
"Water", 35.01, g
"Hexadecanoic acid", 0.000, g
"Niacin", 3.000, mg
"Riboflavin", 0.255, mg
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.26, mg
"Vitamin A, RAE", 7.35, mcg
"Carotene, beta", 1.05, mcg
"Vitamin D", 3.15, IU
"Calcium, Ca", 59.85, mg
"Choline", 14.4, mg
"Monounsaturated fatty acids", 0.559, g
"Vitamin D (D2 + D3)", 0.1, mcg
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 0.55, mg
"Dodecanoic acid", 0.000, g
"Ash", 1.81, g
"Tetradecanoic acid", 0.000, g
"Decanoic acid", 0.000, g
"Iron, Fe", 1.80, mg
"Magnesium, Mg", 16.80, mg
"Phosphorus, P", 199.50, mg
"Potassium, K", 101.85, mg
"Sodium, Na", 450.45, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 0.000, g
"Sugars", 9.00, g
"Cryptoxanthin, beta", 0.00, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 185.85, mcg
"Folate, food", 21.00, mcg
"Octanoic acid", 0.000, g
"Vitamin C", 0.0, mg
"Octadecadienoic acid", 1.042, g
"Octadecatrienoic acid", 0.106, g
"Vitamin B6", 0.041, mg
"Folate", 117.60, mcg
"Hexadecenoic acid", 0.012, g
"Docosahexaenoic n-3 acid", 0.003, g
"Polyunsaturated fatty acids", 1.160, g
"Folic acid", 96.60, mcg
"Vitamin B12", 0.10, mcg
"Vitamin K", 2.0, mcg
"Fiber", 1.1, g
"Tocopherol, alpha", 0.26, mg
# Downloaded from https://www.nutritionvalue.org 
