
# Downloaded from https://www.nutritionvalue.org 
# Babyfood, strained, apple and raspberry, fruit
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 263.08, kcal
"Fat", 0.91, g
"Protein", 0.91, g
"Carbohydrate", 70.76, g
"Retinol", 0.00, mcg
"Vitamin A", 99.79, IU
"Cholesterol", 0.00, mg
"Lutein + zeaxanthin", 95.25, mcg
"Sucrose", 3.31, g
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.000, g
"Copper, Cu", 0.245, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Selenium, Se", 1.4, mcg
"Butanoic acid", 0.000, g
"Thiamin", 0.064, mg
"Saturated fatty acids", 0.150, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 0.036, g
"Eicosatetraenoic acid", 0.000, g
"Water", 380.11, g
"Hexadecanoic acid", 0.122, g
"Niacin", 0.481, mg
"Riboflavin", 0.127, mg
"Hexadecenoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.95, mg
"Vitamin A, RAE", 4.54, mcg
"Carotene, beta", 45.36, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 22.68, mg
"Choline", 15.9, mg
"Monounsaturated fatty acids", 0.036, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 0.14, mg
"Dodecanoic acid", 0.005, g
"Ash", 0.91, g
"Tetradecanoic acid", 0.005, g
"Decanoic acid", 0.000, g
"Iron, Fe", 1.00, mg
"Magnesium, Mg", 18.14, mg
"Phosphorus, P", 36.29, mg
"Potassium, K", 362.87, mg
"Sodium, Na", 0.00, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 0.018, g
"Sugars", 58.79, g
"Cryptoxanthin, beta", 31.75, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 4.54, mcg
"Folate, food", 4.54, mcg
"Octanoic acid", 0.000, g
"Vitamin C", 121.6, mg
"Octadecadienoic acid", 0.231, g
"Octadecatrienoic acid", 0.050, g
"Vitamin B6", 0.154, mg
"Folate", 4.54, mcg
"Pantothenic acid", 0.408, mg
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 0.281, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.00, mcg
"Vitamin K", 3.6, mcg
"Fiber", 9.5, g
"Tocopherol, alpha", 0.95, mg
# Downloaded from https://www.nutritionvalue.org 
