
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, french fries, family style
# Serving size 1 serving = 170 g
Nutrient, Amount, Unit
"Calories", 491.30, kcal
"Fat", 23.87, g
"Protein", 5.93, g
"Carbohydrate", 63.24, g
"Maltose", 0.00, g
"Fructose", 0.15, g
"Lactose", 0.00, g
"Sucrose", 0.10, g
"Glucose (dextrose)", 0.24, g
"Trans-octadecadienoic acid", 0.116, g
"Docosenoic trans acid", 0.002, g
"Trans-octadecenoic acid", 0.058, g
"Trans-hexadecenoic acid", 0.000, g
"Fatty acids, total trans-monoenoic", 0.061, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.116, g
"Tocotrienol, alpha", 0.07, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.14, mg
"Thiamin", 0.187, mg
"Tocopherol, beta", 0.19, mg
"Tocopherol, gamma", 11.00, mg
"Tocopherol, delta", 4.22, mg
"Galactose", 0.00, g
"Cis-octadecenoic acid", 5.482, g
"Cis,cis-octadecadienoic n-6 acid", 9.649, g
"Docosenoic cis acid", 0.003, g
"Octadecadienoic CLAs acid", 0.022, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.009, g
"Cis-hexadecenoic acid", 0.032, g
"Sugars", 0.48, g
"Vitamin B6", 0.401, mg
"Folate", 25.50, mcg
"Pantothenic acid", 0.927, mg
"Fiber", 6.6, g
"Retinol", 0.00, mcg
"Vitamin A", 0.00, IU
"Copper, Cu", 0.190, mg
"Selenium, Se", 0.7, mcg
"Octadecadienoic acid", 9.787, g
"Manganese, Mn", 0.399, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 0.0, mcg
"Zinc, Zn", 0.87, mg
"Calcium, Ca", 28.90, mg
"Iron, Fe", 1.55, mg
"Magnesium, Mg", 49.30, mg
"Phosphorus, P", 210.80, mg
"Potassium, K", 926.50, mg
"Sodium, Na", 606.90, mg
"Tetradecanoic acid", 0.036, g
"Eicosadienoic n-6 acid", 0.000, g
"Beta-sitosterol", 45.90, mg
"Serine", 0.212, g
"Monounsaturated fatty acids", 5.709, g
"Polyunsaturated fatty acids", 11.234, g
"Arginine", 0.325, g
"Valine", 0.413, g
"Alanine", 0.185, g
"Histidine", 0.093, g
"Glutamic acid", 0.899, g
"Aspartic acid", 1.287, g
"Proline", 0.185, g
"Glycine", 0.167, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.010, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.032, g
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.070, g
"Eicosapentaenoic n-3 acid", 0.000, g
"Eicosenoic acid", 0.117, g
"Water", 73.42, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 1.346, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 4.359, mg
"Docosatetraenoic acid", 0.002, g
"Riboflavin", 0.097, mg
"Tetracosanoic acid", 0.029, g
"Tocotrienol, delta", 0.02, mg
"Pentadecanoic acid", 0.007, g
"Heptadecanoic acid", 0.025, g
"Phenylalanine", 0.258, g
"Tyrosine", 0.167, g
"Methionine", 0.075, g
"Cystine", 0.056, g
"Leucine", 0.304, g
"Lysine", 0.240, g
"Threonine", 0.185, g
"Isoleucine", 0.204, g
"Tryptophan", 0.083, g
"Docosenoic acid", 0.005, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 1.9, mg
"Stigmasterol", 11.90, mg
"Campesterol", 18.70, mg
"Fatty acids, total trans", 0.177, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 4.231, g
"Cholesterol", 1.70, mg
"Octanoic acid", 0.010, g
"Hexanoic acid", 0.000, g
"Vitamin E", 1.70, mg
"Vitamin A, RAE", 0.00, mcg
"Octadecatrienoic acid", 1.426, g
"Ash", 3.54, g
"Starch", 57.14, g
"Hexadecanoic acid", 2.591, g
"Decanoic acid", 0.012, g
"Dodecanoic acid", 0.012, g
"Octadecenoic acid", 5.540, g
"Octadecanoic acid", 1.362, g
"Eicosanoic acid", 0.082, g
"Folate, food", 25.50, mcg
"Eicosadienoic acid", 0.000, g
"Vitamin K", 61.0, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.078, g
"Heptadecenoic acid", 0.014, g
"Tocopherol, alpha", 1.70, mg
# Downloaded from https://www.nutritionvalue.org 
