
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, chili with meat and beans, family style
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 712.14, kcal
"Fat", 44.41, g
"Protein", 56.97, g
"Carbohydrate", 20.73, g
"Maltose", 0.00, g
"Fructose", 4.45, g
"Lactose", 0.00, g
"Sucrose", 1.00, g
"Glucose (dextrose)", 4.85, g
"Trans-octadecadienoic acid", 0.295, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 2.073, g
"Trans-hexadecenoic acid", 0.163, g
"Hexadecenoic acid", 1.678, g
"Fatty acids, total trans-monoenoic", 2.236, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.299, g
"Tocotrienol, alpha", 0.09, mg
"Tocotrienol, beta", 0.45, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.32, mg
"Tocopherol, gamma", 0.36, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.009, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 16.447, g
"Cis,cis-octadecadienoic n-6 acid", 1.805, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.290, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.018, g
"Cis-hexadecenoic acid", 1.520, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 10.30, g
"Vitamin B6", 1.456, mg
"Folate", 99.79, mcg
"Pantothenic acid", 1.837, mg
"Vitamin B12", 5.72, mcg
"Fiber", 6.4, g
"Retinol", 421.84, mcg
"Vitamin A", 6513.58, IU
"Copper, Cu", 0.390, mg
"Selenium, Se", 59.4, mcg
"Octadecadienoic acid", 2.386, g
"Manganese, Mn", 0.381, mg
"Tetradecanoic acid", 1.352, g
"Hydroxyproline", 1.089, g
"Hexadecanoic acid", 10.247, g
"Choline", 146.5, mg
"Zinc, Zn", 10.12, mg
"Calcium, Ca", 154.22, mg
"Iron, Fe", 6.62, mg
"Magnesium, Mg", 81.65, mg
"Phosphorus, P", 471.74, mg
"Potassium, K", 1451.49, mg
"Sodium, Na", 1728.19, mg
"Eicosadienoic n-6 acid", 0.068, g
"Serine", 1.683, g
"Monounsaturated fatty acids", 21.146, g
"Polyunsaturated fatty acids", 2.835, g
"Arginine", 3.502, g
"Valine", 2.898, g
"Alanine", 3.597, g
"Histidine", 1.683, g
"Glutamic acid", 9.389, g
"Aspartic acid", 5.420, g
"Proline", 3.878, g
"Glycine", 3.783, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.127, g
"Octadecatetraenoic acid", 0.005, g
"Lutein + zeaxanthin", 1664.68, mcg
"Tetradecenoic acid", 0.431, g
"Docosanoic acid", 0.027, g
"Cryptoxanthin, beta", 907.18, mcg
"Lycopene", 21042.13, mcg
"Eicosenoic acid", 0.150, g
"Water", 323.46, g
"Trans-octadecatrienoic acid", 0.005, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.159, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 16.134, mg
"Docosatetraenoic acid", 0.023, g
"Riboflavin", 0.939, mg
"Tetracosanoic acid", 0.018, g
"Thiamin", 0.168, mg
"Pentadecanoic acid", 0.213, g
"Heptadecanoic acid", 0.490, g
"Phenylalanine", 2.150, g
"Tyrosine", 1.542, g
"Methionine", 1.261, g
"Cystine", 0.558, g
"Leucine", 4.205, g
"Lysine", 3.828, g
"Threonine", 1.823, g
"Isoleucine", 2.522, g
"Tryptophan", 0.653, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.032, g
"Vitamin C", 5.0, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 2.531, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 18.248, g
"Cholesterol", 204.12, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 5.22, mg
"Vitamin A, RAE", 675.85, mcg
"Carotene, beta", 2617.23, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.168, g
"Ash", 7.98, g
"Starch", 1.95, g
"Decanoic acid", 0.050, g
"Dodecanoic acid", 0.050, g
"Octadecenoic acid", 18.520, g
"Octadecanoic acid", 5.752, g
"Eicosanoic acid", 0.050, g
"Folate, DFE", 99.79, mcg
"Folate, food", 99.79, mcg
"Eicosadienoic acid", 0.068, g
"Vitamin K", 14.1, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.005, g
"Heptadecenoic acid", 0.367, g
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 5.22, mg
# Downloaded from https://www.nutritionvalue.org 
