
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, spaghetti and meatballs, family style
# Serving size 1 serving = 565 g
Nutrient, Amount, Unit
"Calories", 960.50, kcal
"Fat", 48.14, g
"Protein", 44.30, g
"Carbohydrate", 87.63, g
"Maltose", 1.13, g
"Fructose", 3.96, g
"Lactose", 0.00, g
"Sucrose", 2.83, g
"Glucose (dextrose)", 3.56, g
"Trans-octadecadienoic acid", 0.181, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.955, g
"Trans-hexadecenoic acid", 0.090, g
"Hexadecenoic acid", 1.186, g
"Fatty acids, total trans-monoenoic", 1.045, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.181, g
"Tocotrienol, alpha", 0.17, mg
"Tocotrienol, beta", 1.53, mg
"Tocotrienol, gamma", 0.45, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 2.03, mg
"Tocopherol, delta", 0.34, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 17.430, g
"Cis,cis-octadecadienoic n-6 acid", 5.616, g
"Docosenoic cis acid", 0.011, g
"Octadecadienoic CLAs acid", 0.158, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.153, g
"Cis-hexadecenoic acid", 1.102, g
"Sugars", 11.47, g
"Vitamin B6", 0.808, mg
"Folate", 203.40, mcg
"Pantothenic acid", 2.486, mg
"Vitamin B12", 2.20, mcg
"Fiber", 8.5, g
"Retinol", 101.70, mcg
"Vitamin A", 1457.70, IU
"Copper, Cu", 0.599, mg
"Selenium, Se", 104.0, mcg
"Octadecadienoic acid", 5.955, g
"Manganese, Mn", 1.565, mg
"Starch", 64.24, g
"Hydroxyproline", 0.339, g
"Zinc, Zn", 5.88, mg
"Calcium, Ca", 254.25, mg
"Iron, Fe", 7.29, mg
"Magnesium, Mg", 129.95, mg
"Phosphorus, P", 502.85, mg
"Potassium, K", 1163.90, mg
"Sodium, Na", 1983.15, mg
"Eicosadienoic n-6 acid", 0.057, g
"Serine", 2.204, g
"Monounsaturated fatty acids", 20.340, g
"Polyunsaturated fatty acids", 6.853, g
"Arginine", 2.825, g
"Valine", 2.542, g
"Alanine", 2.486, g
"Histidine", 1.526, g
"Glutamic acid", 12.656, g
"Aspartic acid", 3.898, g
"Proline", 4.463, g
"Glycine", 2.599, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.113, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 898.35, mcg
"Tetradecenoic acid", 0.232, g
"Docosanoic acid", 0.034, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 15481.00, mcg
"Eicosenoic acid", 0.299, g
"Water", 376.52, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.458, g
"Eicosadienoic n-3 acid", 0.023, g
"Niacin", 11.300, mg
"Docosatetraenoic acid", 0.045, g
"Riboflavin", 0.944, mg
"Tetracosanoic acid", 0.023, g
"Thiamin", 0.605, mg
"Pentadecanoic acid", 0.141, g
"Heptadecanoic acid", 0.311, g
"Phenylalanine", 2.260, g
"Tyrosine", 1.413, g
"Methionine", 1.073, g
"Cystine", 0.791, g
"Leucine", 4.011, g
"Lysine", 3.164, g
"Threonine", 1.865, g
"Isoleucine", 2.091, g
"Tryptophan", 0.509, g
"Docosenoic acid", 0.011, g
"Docosapentaenoic n-3 acid", 0.028, g
"Vitamin C", 5.1, mg
"Fatty acids, total trans", 1.226, g
"Butanoic acid", 0.040, g
"Saturated fatty acids", 17.538, g
"Cholesterol", 107.35, mg
"Octanoic acid", 0.028, g
"Hexanoic acid", 0.034, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 4.24, mg
"Vitamin A, RAE", 158.20, mcg
"Carotene, beta", 678.00, mcg
"Octadecatrienoic acid", 0.480, g
"Ash", 8.42, g
"Tetradecanoic acid", 1.124, g
"Hexadecanoic acid", 10.306, g
"Decanoic acid", 0.113, g
"Dodecanoic acid", 0.124, g
"Octadecenoic acid", 18.385, g
"Octadecanoic acid", 5.175, g
"Eicosanoic acid", 0.085, g
"Eicosadienoic acid", 0.079, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.023, g
"Heptadecenoic acid", 0.226, g
"Tocopherol, alpha", 4.24, mg
# Downloaded from https://www.nutritionvalue.org 
