
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, lasagna with meat, Italian
# Serving size 1 serving = 457 g
Nutrient, Amount, Unit
"Calories", 845.45, kcal
"Fat", 48.85, g
"Protein", 49.49, g
"Carbohydrate", 51.92, g
"Maltose", 0.00, g
"Fructose", 5.39, g
"Lactose", 2.79, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 5.39, g
"Trans-octadecadienoic acid", 0.265, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 1.033, g
"Trans-hexadecenoic acid", 0.123, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.836, g
"Fatty acids, total trans-monoenoic", 1.156, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.270, g
"Tocotrienol, alpha", 0.05, mg
"Tocotrienol, beta", 0.23, mg
"Tocotrienol, gamma", 0.18, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 0.64, mg
"Tocopherol, delta", 0.05, mg
"Eicosapentaenoic n-3 acid", 0.009, g
"Galactose", 0.82, g
"Cis-octadecenoic acid", 12.673, g
"Cis,cis-octadecadienoic n-6 acid", 2.614, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.178, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.046, g
"Cis-hexadecenoic acid", 0.713, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 14.40, g
"Vitamin B6", 0.558, mg
"Folate", 118.82, mcg
"Pantothenic acid", 2.248, mg
"Vitamin B12", 3.02, mcg
"Fiber", 6.9, g
"Retinol", 292.48, mcg
"Vitamin A", 2513.50, IU
"Copper, Cu", 0.320, mg
"Selenium, Se", 82.3, mcg
"Octadecadienoic acid", 3.062, g
"Manganese, Mn", 0.635, mg
"Dihydrophylloquinone", 1.4, mcg
"Menaquinone-4", 14.6, mcg
"Hydroxyproline", 0.320, g
"Hexadecanoic acid", 11.128, g
"Choline", 153.1, mg
"Zinc, Zn", 6.03, mg
"Calcium, Ca", 900.29, mg
"Iron, Fe", 3.61, mg
"Magnesium, Mg", 100.54, mg
"Phosphorus, P", 813.46, mg
"Potassium, K", 1165.35, mg
"Sodium, Na", 2129.62, mg
"Eicosadienoic n-6 acid", 0.046, g
"Serine", 2.280, g
"Monounsaturated fatty acids", 15.140, g
"Polyunsaturated fatty acids", 3.601, g
"Arginine", 2.139, g
"Valine", 2.088, g
"Alanine", 1.860, g
"Histidine", 1.257, g
"Glutamic acid", 9.400, g
"Aspartic acid", 3.510, g
"Proline", 5.123, g
"Glycine", 1.586, g
"Docosahexaenoic n-3 acid", 0.005, g
"Eicosatetraenoic acid", 0.110, g
"Tetradecanoic acid", 3.034, g
"Lutein + zeaxanthin", 443.29, mcg
"Tetradecenoic acid", 0.324, g
"Docosanoic acid", 0.037, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 11502.69, mcg
"Eicosenoic acid", 0.137, g
"Betaine", 2716.4, mg
"Water", 296.46, g
"Trans-octadecatrienoic acid", 0.005, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.251, g
"Eicosadienoic n-3 acid", 0.009, g
"Niacin", 8.423, mg
"Docosatetraenoic acid", 0.018, g
"Riboflavin", 1.083, mg
"Tetracosanoic acid", 0.023, g
"Thiamin", 0.640, mg
"Pentadecanoic acid", 0.329, g
"Heptadecanoic acid", 0.292, g
"Phenylalanine", 2.262, g
"Tyrosine", 1.636, g
"Methionine", 1.129, g
"Cystine", 0.521, g
"Leucine", 3.948, g
"Lysine", 3.766, g
"Threonine", 1.714, g
"Isoleucine", 1.901, g
"Tryptophan", 0.612, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.027, g
"Vitamin C", 3.2, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 1.426, g
"Butanoic acid", 0.544, g
"Saturated fatty acids", 22.580, g
"Cholesterol", 164.52, mg
"Octanoic acid", 0.297, g
"Hexanoic acid", 0.443, g
"Carotene, alpha", 41.13, mcg
"Vitamin E", 4.16, mg
"Vitamin A, RAE", 370.17, mcg
"Carotene, beta", 900.29, mcg
"Vitamin D", 4.57, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.260, g
"Ash", 10.28, g
"Starch", 28.01, g
"Decanoic acid", 0.763, g
"Dodecanoic acid", 0.859, g
"Octadecenoic acid", 13.705, g
"Octadecanoic acid", 4.762, g
"Eicosanoic acid", 0.073, g
"Folate, DFE", 173.66, mcg
"Folate, food", 36.56, mcg
"Eicosadienoic acid", 0.059, g
"Vitamin K", 31.1, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.005, g
"Heptadecenoic acid", 0.133, g
"Folic acid", 77.69, mcg
"Tocopherol, alpha", 4.16, mg
# Downloaded from https://www.nutritionvalue.org 
