
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, spaghetti with pomodoro sauce (no meat), Italian
# Serving size 1 serving = 510 g
Nutrient, Amount, Unit
"Calories", 530.40, kcal
"Fat", 9.64, g
"Protein", 19.89, g
"Carbohydrate", 90.63, g
"Maltose", 0.00, g
"Fructose", 4.64, g
"Lactose", 0.00, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 4.64, g
"Trans-octadecadienoic acid", 0.010, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.036, g
"Trans-hexadecenoic acid", 0.000, g
"Hexadecenoic acid", 0.061, g
"Fatty acids, total trans-monoenoic", 0.036, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.010, g
"Tocotrienol, alpha", 0.10, mg
"Tocotrienol, beta", 1.17, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 1.68, mg
"Tocopherol, delta", 0.10, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 4.544, g
"Cis,cis-octadecadienoic n-6 acid", 2.264, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.010, g
"Tetracosenoic cis acid", 0.005, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Cis-hexadecenoic acid", 0.061, g
"Sugars", 9.28, g
"Vitamin B6", 0.428, mg
"Folate", 147.90, mcg
"Pantothenic acid", 0.954, mg
"Fiber", 8.7, g
"Vitamin A", 1030.20, IU
"Copper, Cu", 0.377, mg
"Selenium, Se", 51.5, mcg
"Octadecadienoic acid", 2.280, g
"Manganese, Mn", 1.096, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 0.0, mcg
"Hydroxyproline", 0.000, g
"Choline", 40.8, mg
"Zinc, Zn", 1.78, mg
"Calcium, Ca", 76.50, mg
"Iron, Fe", 4.59, mg
"Magnesium, Mg", 81.60, mg
"Phosphorus, P", 224.40, mg
"Potassium, K", 714.00, mg
"Sodium, Na", 974.10, mg
"Eicosadienoic n-6 acid", 0.000, g
"Serine", 0.842, g
"Monounsaturated fatty acids", 4.723, g
"Polyunsaturated fatty acids", 2.693, g
"Arginine", 0.785, g
"Valine", 0.724, g
"Alanine", 0.607, g
"Histidine", 0.377, g
"Glutamic acid", 6.671, g
"Aspartic acid", 1.214, g
"Proline", 1.969, g
"Glycine", 0.525, g
"Docosahexaenoic n-3 acid", 0.005, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 673.20, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.020, g
"Cryptoxanthin, beta", 10.20, mcg
"Lycopene", 9547.20, mcg
"Eicosenoic acid", 0.071, g
"Betaine", 2407.2, mg
"Water", 385.36, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.383, g
"Eicosadienoic n-3 acid", 0.010, g
"Niacin", 5.926, mg
"Docosatetraenoic acid", 0.000, g
"Riboflavin", 0.627, mg
"Tetracosanoic acid", 0.015, g
"Thiamin", 0.367, mg
"Pentadecanoic acid", 0.015, g
"Heptadecanoic acid", 0.010, g
"Phenylalanine", 0.842, g
"Tyrosine", 0.433, g
"Methionine", 0.291, g
"Cystine", 0.377, g
"Leucine", 1.158, g
"Lysine", 0.408, g
"Threonine", 0.525, g
"Isoleucine", 0.607, g
"Tryptophan", 0.204, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 5.6, mg
"Fatty acids, total trans", 0.041, g
"Butanoic acid", 0.010, g
"Saturated fatty acids", 1.867, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 4.13, mg
"Vitamin A, RAE", 51.00, mcg
"Carotene, beta", 612.00, mcg
"Octadecatrienoic acid", 0.393, g
"Ash", 4.54, g
"Tetradecanoic acid", 0.056, g
"Hexadecanoic acid", 1.321, g
"Decanoic acid", 0.010, g
"Dodecanoic acid", 0.010, g
"Octadecenoic acid", 4.580, g
"Octadecanoic acid", 0.362, g
"Eicosanoic acid", 0.041, g
"Starch", 61.61, g
"Eicosadienoic acid", 0.010, g
"Vitamin K", 20.4, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.010, g
"Heptadecenoic acid", 0.010, g
"Tocopherol, alpha", 4.13, mg
# Downloaded from https://www.nutritionvalue.org 
