
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, cheese quesadilla, Mexican
# Serving size 3 quesadilla 5-6 inch diameter = 279 g
Nutrient, Amount, Unit
"Calories", 1026.72, kcal
"Fat", 64.39, g
"Protein", 44.44, g
"Carbohydrate", 67.27, g
"Maltose", 2.93, g
"Fructose", 0.64, g
"Lactose", 0.95, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 1.31, g
"Trans-octadecadienoic acid", 0.469, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 2.045, g
"Trans-hexadecenoic acid", 0.148, g
"Fatty acids, total trans-monoenoic", 2.193, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.472, g
"Tocotrienol, alpha", 0.14, mg
"Tocotrienol, beta", 0.17, mg
"Tocotrienol, gamma", 0.00, mg
"Thiamin", 0.622, mg
"Tocopherol, beta", 0.06, mg
"Tocopherol, gamma", 3.52, mg
"Tocopherol, delta", 1.06, mg
"Galactose", 0.33, g
"Cis-octadecenoic acid", 14.321, g
"Cis,cis-octadecadienoic n-6 acid", 4.121, g
"Docosenoic cis acid", 0.003, g
"Octadecadienoic CLAs acid", 0.246, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.011, g
"Cis-hexadecenoic acid", 0.605, g
"Sugars", 6.17, g
"Vitamin B6", 0.209, mg
"Folate", 145.08, mcg
"Pantothenic acid", 1.052, mg
"Vitamin B12", 2.76, mcg
"Fiber", 4.7, g
"Retinol", 432.45, mcg
"Vitamin A", 1445.22, IU
"Copper, Cu", 0.193, mg
"Selenium, Se", 65.0, mcg
"Octadecadienoic acid", 4.835, g
"Manganese, Mn", 0.778, mg
"Tetradecanoic acid", 4.495, g
"Hydroxyproline", 0.000, g
"Zinc, Zn", 6.03, mg
"Calcium, Ca", 1199.70, mg
"Iron, Fe", 4.24, mg
"Magnesium, Mg", 66.96, mg
"Phosphorus, P", 968.13, mg
"Potassium, K", 284.58, mg
"Sodium, Na", 1955.79, mg
"Eicosadienoic n-6 acid", 0.053, g
"Serine", 2.416, g
"Monounsaturated fatty acids", 17.750, g
"Polyunsaturated fatty acids", 5.499, g
"Arginine", 1.657, g
"Valine", 2.491, g
"Alanine", 1.253, g
"Histidine", 1.105, g
"Glutamic acid", 10.956, g
"Aspartic acid", 2.687, g
"Proline", 7.912, g
"Glycine", 1.030, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.084, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.753, g
"Tetradecenoic acid", 0.416, g
"Docosanoic acid", 0.056, g
"Eicosapentaenoic n-3 acid", 0.014, g
"Eicosenoic acid", 0.123, g
"Water", 94.16, g
"Trans-octadecatrienoic acid", 0.006, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.435, g
"Eicosadienoic n-3 acid", 0.003, g
"Niacin", 5.505, mg
"Docosatetraenoic acid", 0.011, g
"Riboflavin", 0.901, mg
"Tetracosanoic acid", 0.028, g
"Tocotrienol, delta", 0.00, mg
"Pentadecanoic acid", 0.469, g
"Heptadecanoic acid", 0.296, g
"Phenylalanine", 2.296, g
"Tyrosine", 1.702, g
"Methionine", 1.074, g
"Cystine", 0.552, g
"Leucine", 3.953, g
"Lysine", 3.105, g
"Threonine", 1.493, g
"Isoleucine", 1.908, g
"Tryptophan", 0.536, g
"Docosenoic acid", 0.003, g
"Docosapentaenoic n-3 acid", 0.028, g
"Fatty acids, total trans", 2.664, g
"Butanoic acid", 0.937, g
"Saturated fatty acids", 32.250, g
"Cholesterol", 145.08, mg
"Octanoic acid", 0.508, g
"Hexanoic acid", 0.792, g
"Vitamin E", 1.70, mg
"Vitamin A, RAE", 432.45, mcg
"Octadecatrienoic acid", 0.460, g
"Ash", 8.70, g
"Starch", 51.95, g
"Hexadecanoic acid", 15.420, g
"Decanoic acid", 1.236, g
"Dodecanoic acid", 1.426, g
"Octadecenoic acid", 16.366, g
"Octadecanoic acid", 6.473, g
"Eicosanoic acid", 0.117, g
"Eicosadienoic acid", 0.056, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.017, g
"Heptadecenoic acid", 0.092, g
"Tocopherol, alpha", 1.70, mg
# Downloaded from https://www.nutritionvalue.org 
