
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, Arroz con grandules (rice and pigeonpeas), Latino
# Serving size 1 serving = 653 g
Nutrient, Amount, Unit
"Calories", 1188.46, kcal
"Fat", 32.52, g
"Protein", 22.86, g
"Carbohydrate", 200.80, g
"Trans-octadecadienoic acid", 0.072, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.013, g
"Trans-hexadecenoic acid", 0.000, g
"Fatty acids, total trans-monoenoic", 0.013, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.072, g
"Tocotrienol, alpha", 0.33, mg
"Tocotrienol, beta", 0.00, mg
"Riboflavin", 0.098, mg
"Thiamin", 0.196, mg
"Tocopherol, beta", 0.39, mg
"Tocopherol, gamma", 19.79, mg
"Tocopherol, delta", 6.60, mg
"Cis-octadecenoic acid", 6.386, g
"Cis,cis-octadecadienoic n-6 acid", 13.432, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.013, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.007, g
"Cis-hexadecenoic acid", 0.033, g
"Vitamin B6", 0.261, mg
"Pantothenic acid", 1.567, mg
"Fiber", 9.1, g
"Copper, Cu", 0.823, mg
"Octadecadienoic acid", 13.517, g
"Manganese, Mn", 3.833, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 0.0, mcg
"Zinc, Zn", 4.83, mg
"Calcium, Ca", 52.24, mg
"Iron, Fe", 1.89, mg
"Magnesium, Mg", 91.42, mg
"Phosphorus, P", 352.62, mg
"Potassium, K", 548.52, mg
"Sodium, Na", 3806.99, mg
"Eicosadienoic n-6 acid", 0.000, g
"Serine", 1.045, g
"Monounsaturated fatty acids", 6.563, g
"Polyunsaturated fatty acids", 15.150, g
"Arginine", 1.633, g
"Valine", 1.175, g
"Alanine", 1.110, g
"Histidine", 0.588, g
"Glutamic acid", 5.485, g
"Aspartic acid", 2.024, g
"Proline", 0.718, g
"Glycine", 0.914, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.033, g
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.085, g
"Eicosapentaenoic n-3 acid", 0.000, g
"Eicosenoic acid", 0.131, g
"Water", 384.42, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 1.626, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 3.461, mg
"Docosatetraenoic acid", 0.000, g
"Tocotrienol, gamma", 1.24, mg
"Tetracosanoic acid", 0.039, g
"Tocotrienol, delta", 0.00, mg
"Pentadecanoic acid", 0.007, g
"Heptadecanoic acid", 0.026, g
"Phenylalanine", 1.110, g
"Tyrosine", 0.653, g
"Methionine", 0.457, g
"Cystine", 0.392, g
"Leucine", 1.698, g
"Lysine", 0.784, g
"Threonine", 0.718, g
"Isoleucine", 0.849, g
"Tryptophan", 0.327, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Fatty acids, total trans", 0.085, g
"Saturated fatty acids", 4.982, g
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Vitamin E", 4.44, mg
"Octadecatrienoic acid", 1.626, g
"Ash", 12.41, g
"Tetradecanoic acid", 0.078, g
"Hexadecanoic acid", 3.337, g
"Decanoic acid", 0.189, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 6.399, g
"Octadecanoic acid", 1.123, g
"Eicosanoic acid", 0.098, g
"Starch", 185.45, g
"Eicosadienoic acid", 0.000, g
"Vitamin K", 82.3, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, g
"Heptadecenoic acid", 0.000, g
"Tocopherol, alpha", 4.44, mg
# Downloaded from https://www.nutritionvalue.org 
