
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, pupusas con frijoles (pupusas, bean), Latino
# Serving size 1 piece = 126 g
Nutrient, Amount, Unit
"Calories", 288.54, kcal
"Fat", 11.35, g
"Protein", 7.04, g
"Carbohydrate", 39.68, g
"Maltose", 0.40, g
"Fructose", 0.28, g
"Lactose", 0.00, g
"Sucrose", 0.96, g
"Glucose (dextrose)", 0.00, g
"Trans-octadecadienoic acid", 0.024, g
"Docosenoic trans acid", 0.001, g
"Trans-octadecenoic acid", 0.044, g
"Trans-hexadecenoic acid", 0.003, g
"Fatty acids, total trans-monoenoic", 0.048, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.024, g
"Tocotrienol, alpha", 0.14, mg
"Tocotrienol, beta", 0.03, mg
"Riboflavin", 0.038, mg
"Thiamin", 0.097, mg
"Tocopherol, beta", 0.05, mg
"Tocopherol, gamma", 5.20, mg
"Tocopherol, delta", 0.83, mg
"Galactose", 0.00, g
"Cis-octadecenoic acid", 3.489, g
"Cis,cis-octadecadienoic n-6 acid", 3.135, g
"Docosenoic cis acid", 0.003, g
"Octadecadienoic CLAs acid", 0.013, g
"Tetracosenoic cis acid", 0.001, g
"Cis,cis-eicosadienoic n-6 acid", 0.034, g
"Cis-hexadecenoic acid", 0.129, g
"Sugars", 1.64, g
"Vitamin B6", 0.217, mg
"Pantothenic acid", 0.382, mg
"Fiber", 7.3, g
"Copper, Cu", 0.178, mg
"Selenium, Se", 8.8, mcg
"Octadecadienoic acid", 3.170, g
"Manganese, Mn", 0.433, mg
"Menaquinone-4", 1.0, mcg
"Choline", 49.9, mg
"Zinc, Zn", 1.18, mg
"Calcium, Ca", 64.26, mg
"Iron, Fe", 1.84, mg
"Magnesium, Mg", 68.04, mg
"Phosphorus, P", 181.44, mg
"Potassium, K", 384.30, mg
"Sodium, Na", 384.30, mg
"Tetradecanoic acid", 0.087, g
"Eicosadienoic n-6 acid", 0.005, g
"Serine", 0.389, g
"Monounsaturated fatty acids", 3.762, g
"Polyunsaturated fatty acids", 3.663, g
"Arginine", 0.369, g
"Valine", 0.325, g
"Alanine", 0.365, g
"Histidine", 0.207, g
"Glutamic acid", 1.221, g
"Aspartic acid", 0.684, g
"Proline", 0.378, g
"Glycine", 0.263, g
"Docosahexaenoic n-3 acid", 0.001, g
"Eicosatetraenoic acid", 0.014, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.131, g
"Tetradecenoic acid", 0.004, g
"Docosanoic acid", 0.015, g
"Eicosapentaenoic n-3 acid", 0.004, g
"Eicosenoic acid", 0.071, g
"Betaine", 1.0, mg
"Water", 65.72, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.415, g
"Eicosadienoic n-3 acid", 0.005, g
"Niacin", 1.092, mg
"Docosatetraenoic acid", 0.005, g
"Tocotrienol, gamma", 0.34, mg
"Tetracosanoic acid", 0.010, g
"Tocotrienol, delta", 0.01, mg
"Pentadecanoic acid", 0.006, g
"Heptadecanoic acid", 0.026, g
"Phenylalanine", 0.365, g
"Tyrosine", 0.174, g
"Methionine", 0.126, g
"Cystine", 0.097, g
"Leucine", 0.662, g
"Lysine", 0.369, g
"Threonine", 0.267, g
"Isoleucine", 0.276, g
"Tryptophan", 0.069, g
"Docosenoic acid", 0.003, g
"Docosapentaenoic n-3 acid", 0.004, g
"Fatty acids, total trans", 0.072, g
"Butanoic acid", 0.005, g
"Saturated fatty acids", 2.757, g
"Octanoic acid", 0.004, g
"Hexanoic acid", 0.003, g
"Vitamin E", 0.45, mg
"Octadecatrienoic acid", 0.417, g
"Ash", 2.19, g
"Starch", 29.71, g
"Hexadecanoic acid", 1.785, g
"Decanoic acid", 0.010, g
"Dodecanoic acid", 0.009, g
"Octadecenoic acid", 3.533, g
"Octadecanoic acid", 0.765, g
"Eicosanoic acid", 0.029, g
"Eicosadienoic acid", 0.011, g
"Vitamin K", 9.3, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.001, g
"Heptadecenoic acid", 0.019, g
"Tocopherol, alpha", 0.45, mg
# Downloaded from https://www.nutritionvalue.org 
