
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, beef and vegetables, Chinese
# Serving size 1 order = 574 g
Nutrient, Amount, Unit
"Calories", 602.70, kcal
"Fat", 30.42, g
"Protein", 40.64, g
"Carbohydrate", 41.84, g
"Maltose", 0.00, g
"Fructose", 3.16, g
"Lactose", 0.00, g
"Sucrose", 6.72, g
"Glucose (dextrose)", 3.96, g
"Trans-octadecadienoic acid", 0.115, g
"Docosenoic trans acid", 0.006, g
"Trans-octadecenoic acid", 0.184, g
"Trans-hexadecenoic acid", 0.023, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.304, g
"Fatty acids, total trans-monoenoic", 0.212, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.115, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.06, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.23, mg
"Tocopherol, gamma", 10.27, mg
"Tocopherol, delta", 3.73, mg
"Eicosapentaenoic n-3 acid", 0.023, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 6.268, g
"Cis,cis-octadecadienoic n-6 acid", 10.349, g
"Docosenoic cis acid", 0.006, g
"Octadecadienoic CLAs acid", 0.063, g
"Tetracosenoic cis acid", 0.006, g
"Cis,cis-eicosadienoic n-6 acid", 0.011, g
"Cis-hexadecenoic acid", 0.281, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 13.83, g
"Vitamin B6", 0.924, mg
"Folate", 258.30, mcg
"Pantothenic acid", 2.543, mg
"Vitamin B12", 2.76, mcg
"Fiber", 8.6, g
"Retinol", 0.00, mcg
"Vitamin A", 7243.88, IU
"Copper, Cu", 0.281, mg
"Selenium, Se", 38.5, mcg
"Octadecadienoic acid", 10.527, g
"Manganese, Mn", 0.844, mg
"Menaquinone-4", 11.5, mcg
"Hexadecanoic acid", 3.639, g
"Choline", 198.0, mg
"Zinc, Zn", 8.61, mg
"Calcium, Ca", 126.28, mg
"Iron, Fe", 6.37, mg
"Magnesium, Mg", 86.10, mg
"Phosphorus, P", 436.24, mg
"Potassium, K", 1170.96, mg
"Sodium, Na", 2347.66, mg
"Eicosadienoic n-6 acid", 0.023, g
"Serine", 1.670, g
"Monounsaturated fatty acids", 6.986, g
"Polyunsaturated fatty acids", 12.226, g
"Arginine", 2.979, g
"Valine", 1.877, g
"Alanine", 2.187, g
"Histidine", 1.188, g
"Glutamic acid", 7.720, g
"Aspartic acid", 3.834, g
"Proline", 1.510, g
"Glycine", 1.584, g
"Docosahexaenoic n-3 acid", 0.006, g
"Eicosatetraenoic acid", 0.080, g
"Tetradecanoic acid", 0.161, g
"Lutein + zeaxanthin", 1538.32, mcg
"Tetradecenoic acid", 0.034, g
"Docosanoic acid", 0.069, g
"Cryptoxanthin, beta", 5.74, mcg
"Lycopene", 22.96, mcg
"Eicosenoic acid", 0.115, g
"Betaine", 17.8, mg
"Water", 452.43, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 1.515, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 7.577, mg
"Docosatetraenoic acid", 0.011, g
"Riboflavin", 0.316, mg
"Tetracosanoic acid", 0.023, g
"Thiamin", 0.189, mg
"Pentadecanoic acid", 0.029, g
"Heptadecanoic acid", 0.075, g
"Phenylalanine", 1.820, g
"Tyrosine", 1.573, g
"Methionine", 0.907, g
"Cystine", 0.419, g
"Leucine", 3.014, g
"Lysine", 3.168, g
"Threonine", 1.797, g
"Isoleucine", 1.802, g
"Tryptophan", 0.476, g
"Docosenoic acid", 0.011, g
"Docosapentaenoic n-3 acid", 0.029, g
"Vitamin C", 66.6, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.333, g
"Butanoic acid", 0.017, g
"Saturated fatty acids", 5.614, g
"Cholesterol", 80.36, mg
"Octanoic acid", 0.011, g
"Hexanoic acid", 0.046, g
"Carotene, alpha", 1854.02, mcg
"Vitamin E", 4.71, mg
"Vitamin A, RAE", 361.62, mcg
"Carotene, beta", 3415.30, mcg
"Vitamin D", 17.22, IU
"Vitamin D (D2 + D3)", 0.6, mcg
"Octadecatrienoic acid", 1.515, g
"Ash", 8.61, g
"Starch", 10.45, g
"Decanoic acid", 0.011, g
"Dodecanoic acid", 0.011, g
"Octadecenoic acid", 6.457, g
"Octadecanoic acid", 1.452, g
"Eicosanoic acid", 0.069, g
"Folate, DFE", 258.30, mcg
"Folate, food", 258.30, mcg
"Eicosadienoic acid", 0.023, g
"Vitamin K", 294.5, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.006, g
"Heptadecenoic acid", 0.057, g
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 4.71, mg
# Downloaded from https://www.nutritionvalue.org 
