
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, chicken chow mein, Chinese
# Serving size 1 order = 604 g
Nutrient, Amount, Unit
"Calories", 513.40, kcal
"Fat", 16.91, g
"Protein", 40.83, g
"Carbohydrate", 50.07, g
"Maltose", 0.00, g
"Fructose", 2.96, g
"Lactose", 0.00, g
"Sucrose", 3.62, g
"Glucose (dextrose)", 3.93, g
"Trans-octadecadienoic acid", 0.042, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.054, g
"Trans-hexadecenoic acid", 0.000, g
"Hexadecenoic acid", 0.181, g
"Fatty acids, total trans-monoenoic", 0.060, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.042, g
"Tocotrienol, alpha", 0.06, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.18, mg
"Tocopherol, gamma", 5.62, mg
"Tocopherol, delta", 1.51, mg
"Eicosapentaenoic n-3 acid", 0.012, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 3.382, g
"Cis,cis-octadecadienoic n-6 acid", 6.384, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.012, g
"Tetracosenoic cis acid", 0.006, g
"Cis,cis-eicosadienoic n-6 acid", 0.012, g
"Cis-hexadecenoic acid", 0.175, g
"Sugars", 10.51, g
"Vitamin B6", 1.057, mg
"Pantothenic acid", 1.570, mg
"Vitamin B12", 0.42, mcg
"Fiber", 6.0, g
"Retinol", 6.04, mcg
"Vitamin A", 2186.48, IU
"Copper, Cu", 0.175, mg
"Selenium, Se", 36.8, mcg
"Octadecadienoic acid", 6.439, g
"Manganese, Mn", 0.598, mg
"Menaquinone-4", 7.2, mcg
"Choline", 145.0, mg
"Zinc, Zn", 1.93, mg
"Calcium, Ca", 126.84, mg
"Iron, Fe", 4.05, mg
"Magnesium, Mg", 66.44, mg
"Phosphorus, P", 326.16, mg
"Potassium, K", 748.96, mg
"Sodium, Na", 1878.44, mg
"Eicosadienoic n-6 acid", 0.018, g
"Serine", 1.522, g
"Monounsaturated fatty acids", 3.703, g
"Polyunsaturated fatty acids", 7.405, g
"Arginine", 2.561, g
"Valine", 1.854, g
"Alanine", 2.150, g
"Histidine", 1.111, g
"Glutamic acid", 8.335, g
"Aspartic acid", 3.648, g
"Proline", 2.144, g
"Glycine", 1.431, g
"Docosahexaenoic n-3 acid", 0.012, g
"Eicosatetraenoic acid", 0.097, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 398.64, mcg
"Tetradecenoic acid", 0.006, g
"Docosanoic acid", 0.036, g
"Cryptoxanthin, beta", 6.04, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.060, g
"Betaine", 4.8, mg
"Water", 489.30, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.773, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 8.867, mg
"Docosatetraenoic acid", 0.024, g
"Riboflavin", 0.139, mg
"Tetracosanoic acid", 0.018, g
"Thiamin", 0.187, mg
"Pentadecanoic acid", 0.006, g
"Heptadecanoic acid", 0.018, g
"Phenylalanine", 1.522, g
"Tyrosine", 1.317, g
"Methionine", 0.985, g
"Cystine", 0.465, g
"Leucine", 3.032, g
"Lysine", 2.869, g
"Threonine", 1.619, g
"Isoleucine", 1.691, g
"Tryptophan", 0.501, g
"Docosenoic acid", 0.006, g
"Docosapentaenoic n-3 acid", 0.012, g
"Vitamin C", 12.1, mg
"Fatty acids, total trans", 0.103, g
"Butanoic acid", 0.018, g
"Saturated fatty acids", 2.960, g
"Cholesterol", 96.64, mg
"Octanoic acid", 0.006, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 597.96, mcg
"Vitamin E", 2.60, mg
"Vitamin A, RAE", 114.76, mcg
"Carotene, beta", 1002.64, mcg
"Octadecatrienoic acid", 0.779, g
"Ash", 6.83, g
"Tetradecanoic acid", 0.042, g
"Hexadecanoic acid", 2.096, g
"Decanoic acid", 0.012, g
"Dodecanoic acid", 0.006, g
"Octadecenoic acid", 3.437, g
"Octadecanoic acid", 0.664, g
"Eicosanoic acid", 0.036, g
"Starch", 24.10, g
"Eicosadienoic acid", 0.018, g
"Vitamin K", 132.9, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.006, g
"Heptadecenoic acid", 0.018, g
"Tocopherol, alpha", 2.60, mg
# Downloaded from https://www.nutritionvalue.org 
