
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, without meat, vegetable lo mein, Chinese
# Serving size 1 order = 741 g
Nutrient, Amount, Unit
"Calories", 896.61, kcal
"Fat", 17.41, g
"Protein", 35.35, g
"Carbohydrate", 149.39, g
"Maltose", 2.22, g
"Fructose", 2.45, g
"Lactose", 0.00, g
"Sucrose", 12.08, g
"Glucose (dextrose)", 2.74, g
"Trans-octadecadienoic acid", 0.044, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.015, g
"Trans-hexadecenoic acid", 0.000, g
"Lutein + zeaxanthin", 829.92, mcg
"Fatty acids, total trans-monoenoic", 0.015, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.044, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.52, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 5.93, mg
"Tocopherol, delta", 2.22, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 4.246, g
"Cis,cis-octadecadienoic n-6 acid", 8.403, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.015, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.007, g
"Cis-hexadecenoic acid", 0.052, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 19.49, g
"Vitamin B6", 0.504, mg
"Folate", 207.48, mcg
"Pantothenic acid", 2.001, mg
"Vitamin B12", 0.00, mcg
"Fiber", 9.6, g
"Retinol", 0.00, mcg
"Vitamin A", 1326.39, IU
"Copper, Cu", 0.474, mg
"Selenium, Se", 86.7, mcg
"Octadecadienoic acid", 8.462, g
"Manganese, Mn", 1.778, mg
"Starch", 123.97, g
"Choline", 65.9, mg
"Zinc, Zn", 2.67, mg
"Calcium, Ca", 155.61, mg
"Iron, Fe", 7.93, mg
"Magnesium, Mg", 103.74, mg
"Phosphorus, P", 333.45, mg
"Potassium, K", 778.05, mg
"Sodium, Na", 3186.30, mg
"Eicosadienoic n-6 acid", 0.000, g
"Monounsaturated fatty acids", 4.387, g
"Polyunsaturated fatty acids", 9.566, g
"Folate, DFE", 207.48, mcg
"Folate, food", 207.48, mcg
"Vitamin K", 94.1, mcg
"Folic acid", 0.00, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.015, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.052, g
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.059, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 22.23, mcg
"Eicosenoic acid", 0.059, g
"Betaine", 69.7, mg
"Water", 528.56, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 1.045, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 6.002, mg
"Docosatetraenoic acid", 0.007, g
"Riboflavin", 0.919, mg
"Tetracosanoic acid", 0.030, g
"Thiamin", 0.348, mg
"Pentadecanoic acid", 0.007, g
"Heptadecanoic acid", 0.015, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 12.6, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.059, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 3.438, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 155.61, mcg
"Vitamin E", 2.22, mg
"Vitamin A, RAE", 66.69, mcg
"Carotene, beta", 718.77, mcg
"Vitamin D", 29.64, IU
"Vitamin D (D2 + D3)", 0.7, mcg
"Octadecatrienoic acid", 1.074, g
"Ash", 10.30, g
"Tetradecanoic acid", 0.022, g
"Hexadecanoic acid", 2.430, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 4.261, g
"Octadecanoic acid", 0.823, g
"Eicosanoic acid", 0.059, g
"Eicosadienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.030, g
"Heptadecenoic acid", 0.007, g
"Tocopherol, alpha", 2.22, mg
# Downloaded from https://www.nutritionvalue.org 
