
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, orange chicken, Chinese
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 1188.41, kcal
"Fat", 57.52, g
"Protein", 65.59, g
"Carbohydrate", 101.88, g
"Maltose", 0.00, g
"Fructose", 3.04, g
"Lactose", 0.00, g
"Sucrose", 55.79, g
"Glucose (dextrose)", 2.86, g
"Trans-octadecadienoic acid", 0.154, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.082, g
"Trans-hexadecenoic acid", 0.000, g
"Hexadecenoic acid", 0.617, g
"Fatty acids, total trans-monoenoic", 0.086, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.154, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.41, mg
"Tocopherol, gamma", 17.96, mg
"Tocopherol, delta", 7.71, mg
"Eicosapentaenoic n-3 acid", 0.005, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 14.814, g
"Cis,cis-octadecadienoic n-6 acid", 23.968, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.050, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.036, g
"Cis-hexadecenoic acid", 0.617, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 61.69, g
"Vitamin B6", 1.043, mg
"Folate", 45.36, mcg
"Pantothenic acid", 4.536, mg
"Vitamin B12", 0.91, mcg
"Fiber", 3.6, g
"Retinol", 335.66, mcg
"Vitamin A", 1197.48, IU
"Copper, Cu", 0.191, mg
"Selenium, Se", 77.6, mcg
"Octadecadienoic acid", 24.172, g
"Manganese, Mn", 0.395, mg
"Tetradecanoic acid", 0.100, g
"Hydroxyproline", 0.454, g
"Hexadecanoic acid", 7.267, g
"Choline", 299.8, mg
"Zinc, Zn", 5.13, mg
"Calcium, Ca", 63.50, mg
"Iron, Fe", 4.26, mg
"Magnesium, Mg", 90.72, mg
"Phosphorus, P", 589.67, mg
"Potassium, K", 948.01, mg
"Sodium, Na", 2508.36, mg
"Eicosadienoic n-6 acid", 0.045, g
"Serine", 2.486, g
"Monounsaturated fatty acids", 15.758, g
"Polyunsaturated fatty acids", 27.606, g
"Arginine", 3.642, g
"Valine", 2.785, g
"Alanine", 3.515, g
"Histidine", 1.628, g
"Glutamic acid", 11.226, g
"Aspartic acid", 5.656, g
"Proline", 2.740, g
"Glycine", 2.785, g
"Docosahexaenoic n-3 acid", 0.023, g
"Eicosatetraenoic acid", 0.304, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 367.41, mcg
"Tetradecenoic acid", 0.018, g
"Docosanoic acid", 0.172, g
"Cryptoxanthin, beta", 13.61, mcg
"Lycopene", 113.40, mcg
"Eicosenoic acid", 0.195, g
"Betaine", 35.8, mg
"Water", 219.67, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 2.808, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 16.284, mg
"Docosatetraenoic acid", 0.073, g
"Riboflavin", 0.998, mg
"Tetracosanoic acid", 0.064, g
"Thiamin", 0.195, mg
"Pentadecanoic acid", 0.018, g
"Heptadecanoic acid", 0.054, g
"Phenylalanine", 2.313, g
"Tyrosine", 1.456, g
"Methionine", 1.542, g
"Cystine", 0.730, g
"Leucine", 4.540, g
"Lysine", 4.799, g
"Threonine", 2.613, g
"Isoleucine", 2.613, g
"Tryptophan", 0.513, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.014, g
"Vitamin C", 4.1, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.240, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 10.986, g
"Cholesterol", 276.69, mg
"Octanoic acid", 0.023, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 4.85, mg
"Vitamin A, RAE", 340.19, mcg
"Carotene, beta", 40.82, mcg
"Vitamin D", 22.68, IU
"Vitamin D (D2 + D3)", 0.5, mcg
"Octadecatrienoic acid", 2.935, g
"Ash", 8.89, g
"Starch", 47.63, g
"Decanoic acid", 0.023, g
"Dodecanoic acid", 0.014, g
"Octadecenoic acid", 14.896, g
"Octadecanoic acid", 3.075, g
"Eicosanoic acid", 0.177, g
"Folate, DFE", 45.36, mcg
"Folate, food", 45.36, mcg
"Eicosadienoic acid", 0.045, g
"Vitamin K", 110.7, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.127, g
"Heptadecenoic acid", 0.032, g
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 4.85, mg
# Downloaded from https://www.nutritionvalue.org 
