
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, spaghetti with meat sauce, Italian
# Serving size 1 serving = 554 g
Nutrient, Amount, Unit
"Calories", 670.34, kcal
"Fat", 19.89, g
"Protein", 32.08, g
"Carbohydrate", 90.86, g
"Maltose", 0.00, g
"Fructose", 5.26, g
"Lactose", 0.00, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 4.82, g
"Trans-octadecadienoic acid", 0.044, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.299, g
"Trans-hexadecenoic acid", 0.022, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.332, g
"Fatty acids, total trans-monoenoic", 0.321, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.044, g
"Tocotrienol, alpha", 0.17, mg
"Tocotrienol, beta", 1.33, mg
"Tocotrienol, gamma", 0.17, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 0.55, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.006, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 7.396, g
"Cis,cis-octadecadienoic n-6 acid", 2.399, g
"Docosenoic cis acid", 0.006, g
"Octadecadienoic CLAs acid", 0.039, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.039, g
"Cis-hexadecenoic acid", 0.310, g
"Sugars", 10.08, g
"Vitamin B6", 0.604, mg
"Folate", 166.20, mcg
"Pantothenic acid", 1.368, mg
"Vitamin B12", 0.94, mcg
"Fiber", 8.9, g
"Retinol", 0.00, mcg
"Vitamin A", 1285.28, IU
"Copper, Cu", 0.537, mg
"Selenium, Se", 72.6, mcg
"Octadecadienoic acid", 2.482, g
"Manganese, Mn", 1.174, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 2.8, mcg
"Hydroxyproline", 0.000, g
"Choline", 86.4, mg
"Zinc, Zn", 3.82, mg
"Calcium, Ca", 94.18, mg
"Iron, Fe", 5.37, mg
"Magnesium, Mg", 94.18, mg
"Phosphorus, P", 326.86, mg
"Potassium, K", 952.88, mg
"Sodium, Na", 1274.20, mg
"Eicosadienoic n-6 acid", 0.017, g
"Serine", 1.330, g
"Monounsaturated fatty acids", 8.232, g
"Polyunsaturated fatty acids", 2.836, g
"Arginine", 1.524, g
"Valine", 1.241, g
"Alanine", 1.368, g
"Histidine", 0.787, g
"Glutamic acid", 8.637, g
"Aspartic acid", 2.432, g
"Proline", 2.809, g
"Glycine", 1.274, g
"Docosahexaenoic n-3 acid", 0.006, g
"Eicosatetraenoic acid", 0.055, g
"Tetradecanoic acid", 0.327, g
"Lutein + zeaxanthin", 675.88, mcg
"Tetradecenoic acid", 0.050, g
"Docosanoic acid", 0.011, g
"Cryptoxanthin, beta", 22.16, mcg
"Lycopene", 12387.44, mcg
"Eicosenoic acid", 0.094, g
"Betaine", 3025.4, mg
"Water", 405.31, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.194, g
"Eicosadienoic n-3 acid", 0.022, g
"Niacin", 9.102, mg
"Docosatetraenoic acid", 0.017, g
"Riboflavin", 0.814, mg
"Tetracosanoic acid", 0.011, g
"Thiamin", 0.499, mg
"Pentadecanoic acid", 0.044, g
"Heptadecanoic acid", 0.089, g
"Phenylalanine", 1.457, g
"Tyrosine", 0.759, g
"Methionine", 0.604, g
"Cystine", 0.515, g
"Leucine", 2.066, g
"Lysine", 1.280, g
"Threonine", 1.064, g
"Isoleucine", 1.091, g
"Tryptophan", 0.299, g
"Docosenoic acid", 0.006, g
"Docosapentaenoic n-3 acid", 0.011, g
"Vitamin C", 3.9, mg
"Fatty acids, total trans", 0.366, g
"Butanoic acid", 0.039, g
"Saturated fatty acids", 5.883, g
"Cholesterol", 49.86, mg
"Octanoic acid", 0.011, g
"Hexanoic acid", 0.011, g
"Carotene, alpha", 33.24, mcg
"Vitamin E", 3.49, mg
"Vitamin A, RAE", 66.48, mcg
"Carotene, beta", 742.36, mcg
"Octadecatrienoic acid", 0.194, g
"Ash", 5.87, g
"Starch", 67.31, g
"Hexadecanoic acid", 3.584, g
"Decanoic acid", 0.028, g
"Dodecanoic acid", 0.039, g
"Octadecenoic acid", 7.695, g
"Octadecanoic acid", 1.651, g
"Eicosanoic acid", 0.039, g
"Eicosadienoic acid", 0.039, g
"Vitamin K", 23.3, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.006, g
"Heptadecenoic acid", 0.061, g
"Tocopherol, alpha", 3.49, mg
# Downloaded from https://www.nutritionvalue.org 
