
# Downloaded from https://www.nutritionvalue.org 
# Babyfood, prepared with whole milk, mixed, cereal
# Serving size 1 oz = 28.35 g
Nutrient, Amount, Unit
"Calories", 27.22, kcal
"Fat", 0.96, g
"Protein", 1.17, g
"Carbohydrate", 3.49, g
"Maltose", 0.00, g
"Fructose", 0.00, g
"Lactose", 1.28, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 0.00, g
"Hexadecenoic acid", 0.000, g
"Tridecanoic acid", 0.000, g
"Tocotrienol, alpha", 0.18, mg
"Tocotrienol, beta", 0.01, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.01, mg
"Tocopherol, gamma", 0.00, mg
"Tocopherol, delta", 0.01, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 1.36, g
"Vitamin B6", 0.015, mg
"Folate", 2.55, mcg
"Pantothenic acid", 0.128, mg
"Vitamin B12", 0.11, mcg
"Fiber", 0.2, g
"Retinol", 11.34, mcg
"Vitamin A", 41.39, IU
"Copper, Cu", 0.017, mg
"Selenium, Se", 1.7, mcg
"Octadecadienoic acid", 0.081, g
"Manganese, Mn", 0.001, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 0.2, mcg
"Hexadecanoic acid", 0.230, g
"Choline", 4.3, mg
"Zinc, Zn", 0.17, mg
"Calcium, Ca", 62.37, mg
"Iron, Fe", 2.96, mg
"Magnesium, Mg", 5.67, mg
"Phosphorus, P", 33.45, mg
"Potassium, K", 47.06, mg
"Sodium, Na", 11.91, mg
"Serine", 0.044, g
"Monounsaturated fatty acids", 0.242, g
"Polyunsaturated fatty acids", 0.102, g
"Arginine", 0.040, g
"Valine", 0.068, g
"Alanine", 0.043, g
"Histidine", 0.027, g
"Glutamic acid", 0.312, g
"Aspartic acid", 0.081, g
"Proline", 0.117, g
"Glycine", 0.036, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 4.54, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.000, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 0.1, mg
"Water", 22.46, g
"Niacin", 1.100, mg
"Riboflavin", 0.127, mg
"Tetracosanoic acid", 0.000, g
"Thiamin", 0.087, mg
"Pentadecanoic acid", 0.000, g
"Heptadecanoic acid", 0.000, g
"Phenylalanine", 0.057, g
"Tyrosine", 0.053, g
"Methionine", 0.026, g
"Cystine", 0.015, g
"Leucine", 0.125, g
"Lysine", 0.047, g
"Threonine", 0.054, g
"Isoleucine", 0.069, g
"Tryptophan", 0.018, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 0.1, mg
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.019, g
"Saturated fatty acids", 0.495, g
"Cholesterol", 2.55, mg
"Octanoic acid", 0.019, g
"Hexanoic acid", 0.019, g
"Carotene, alpha", 0.28, mcg
"Vitamin E", 0.13, mg
"Vitamin A, RAE", 11.62, mcg
"Carotene, beta", 1.98, mcg
"Vitamin D3 (cholecalciferol)", 0.3, mcg
"Vitamin D", 12.76, IU
"Vitamin D (D2 + D3)", 0.3, mcg
"Octadecatrienoic acid", 0.020, g
"Ash", 0.27, g
"Tetradecanoic acid", 0.075, g
"Decanoic acid", 0.019, g
"Dodecanoic acid", 0.020, g
"Octadecenoic acid", 0.242, g
"Octadecanoic acid", 0.094, g
"Eicosanoic acid", 0.000, g
"Folate, DFE", 2.55, mcg
"Folate, food", 2.55, mcg
"Vitamin K", 0.1, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.13, mg
# Downloaded from https://www.nutritionvalue.org 
