
# Downloaded from https://www.nutritionvalue.org 
# Babyfood, prepared with whole milk, with honey, rice, cereal
# Serving size 1 oz = 28.35 g
Nutrient, Amount, Unit
"Calories", 32.60, kcal
"Fat", 0.94, g
"Protein", 1.11, g
"Carbohydrate", 4.85, g
"Retinol", 5.39, mcg
"Vitamin A", 30.62, IU
"Copper, Cu", 0.018, mg
"Water", 21.09, g
"Riboflavin", 0.172, mg
"Niacin", 1.725, mg
"Vitamin A, RAE", 5.95, mcg
"Thiamin", 0.135, mg
"Vitamin C", 0.0, mg
"Calcium, Ca", 82.50, mg
"Zinc, Zn", 0.18, mg
"Ash", 0.37, g
"Iron, Fe", 3.06, mg
"Magnesium, Mg", 12.76, mg
"Phosphorus, P", 51.31, mg
"Potassium, K", 39.97, mg
"Sodium, Na", 13.89, mg
"Carotene, beta", 7.65, mcg
"Folate, food", 2.27, mcg
"Vitamin B6", 0.033, mg
"Folate", 2.27, mcg
"Folate, DFE", 2.27, mcg
"Vitamin B12", 0.09, mcg
"Folic acid", 0.00, mcg
# Downloaded from https://www.nutritionvalue.org 
