
# Downloaded from https://www.nutritionvalue.org 
# Salad dressing, russian dressing
# Serving size 1 cup = 245 g
Nutrient, Amount, Unit
"Calories", 869.75, kcal
"Fat", 64.14, g
"Protein", 1.69, g
"Carbohydrate", 78.16, g
"Fatty acids, total trans", 0.417, g
"Retinol", 0.00, mcg
"Vitamin A", 1413.65, IU
"Cholesterol", 0.00, mg
"Lutein + zeaxanthin", 423.85, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.000, g
"Copper, Cu", 0.142, mg
"Lycopene", 8761.20, mcg
"Eicosenoic acid", 0.125, g
"Selenium, Se", 3.9, mcg
"Butanoic acid", 0.000, g
"Manganese, Mn", 0.154, mg
"Thiamin", 0.071, mg
"Saturated fatty acids", 5.856, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 14.269, g
"Eicosatetraenoic acid", 0.000, g
"Water", 94.40, g
"Hexadecanoic acid", 4.241, g
"Niacin", 1.455, mg
"Riboflavin", 0.113, mg
"Hexadecenoic acid", 0.130, g
"Carotene, alpha", 4.90, mcg
"Vitamin E", 8.13, mg
"Vitamin A, RAE", 71.05, mcg
"Carotene, beta", 784.00, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 31.85, mg
"Choline", 11.3, mg
"Monounsaturated fatty acids", 14.524, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 0.54, mg
"Dodecanoic acid", 0.005, g
"Ash", 6.62, g
"Tetradecanoic acid", 0.051, g
"Decanoic acid", 0.000, g
"Iron, Fe", 1.47, mg
"Magnesium, Mg", 24.50, mg
"Phosphorus, P", 49.00, mg
"Potassium, K", 423.85, mg
"Sodium, Na", 2775.85, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 1.558, g
"Sugars", 43.32, g
"Cryptoxanthin, beta", 120.05, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 12.25, mcg
"Folate, food", 12.25, mcg
"Octanoic acid", 0.000, g
"Vitamin C", 14.7, mg
"Octadecadienoic acid", 32.068, g
"Octadecatrienoic acid", 4.265, g
"Vitamin B6", 0.238, mg
"Folate", 12.25, mcg
"Pantothenic acid", 0.980, mg
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 36.334, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.00, mcg
"Vitamin K", 131.6, mcg
"Fiber", 1.7, g
"Tocopherol, alpha", 8.13, mg
# Downloaded from https://www.nutritionvalue.org 
