
# Downloaded from https://www.nutritionvalue.org 
# Vegetarian meatloaf or patties
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 893.58, kcal
"Fat", 40.82, g
"Protein", 95.25, g
"Carbohydrate", 36.29, g
"Fatty acids, total trans", 0.000, g
"Retinol", 0.00, mcg
"Vitamin A", 0.00, IU
"Cholesterol", 0.00, mg
"Lutein + zeaxanthin", 0.00, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.000, g
"Copper, Cu", 3.202, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Selenium, Se", 3.6, mcg
"Butanoic acid", 0.000, g
"Thiamin", 4.082, mg
"Saturated fatty acids", 6.464, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 9.925, g
"Eicosatetraenoic acid", 0.000, g
"Water", 263.08, g
"Hexadecanoic acid", 4.196, g
"Niacin", 45.359, mg
"Riboflavin", 2.722, mg
"Carotene, alpha", 0.00, mcg
"Vitamin E", 7.85, mg
"Vitamin A, RAE", 0.00, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 131.54, mg
"Choline", 331.6, mg
"Monounsaturated fatty acids", 9.925, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 8.16, mg
"Dodecanoic acid", 0.395, g
"Ash", 18.14, g
"Tetradecanoic acid", 0.195, g
"Decanoic acid", 0.000, g
"Iron, Fe", 9.53, mg
"Magnesium, Mg", 81.65, mg
"Phosphorus, P", 1560.36, mg
"Potassium, K", 816.47, mg
"Sodium, Na", 2494.76, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 1.674, g
"Sugars", 5.44, g
"Cryptoxanthin, beta", 0.00, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 353.80, mcg
"Folate, food", 353.80, mcg
"Octanoic acid", 0.000, g
"Vitamin C", 0.0, mg
"Octadecadienoic acid", 18.806, g
"Octadecatrienoic acid", 2.359, g
"Vitamin B6", 5.443, mg
"Folate", 353.80, mcg
"Hexadecenoic acid", 0.000, g
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 21.165, g
"Folic acid", 0.00, mcg
"Vitamin B12", 10.89, mcg
"Vitamin K", 0.0, mcg
"Fiber", 20.9, g
"Tocopherol, alpha", 7.85, mg
# Downloaded from https://www.nutritionvalue.org 
