
# Downloaded from https://www.nutritionvalue.org 
# Soup, condensed, canned, vegetarian vegetable
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 267.62, kcal
"Fat", 7.17, g
"Protein", 7.80, g
"Carbohydrate", 44.36, g
"Hexadecenoic acid", 0.045, g
"Niacin", 3.388, mg
"Riboflavin", 0.168, mg
"Thiamin", 0.200, mg
"Vitamin C", 5.4, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 14.20, g
"Vitamin B6", 0.204, mg
"Folate", 40.82, mcg
"Pantothenic acid", 1.270, mg
"Vitamin B12", 0.00, mcg
"Fiber", 2.3, g
"Retinol", 0.00, mcg
"Vitamin A", 12891.08, IU
"Copper, Cu", 0.454, mg
"Selenium, Se", 15.9, mcg
"Octadecadienoic acid", 2.495, g
"Manganese, Mn", 1.701, mg
"Choline", 35.8, mg
"Zinc, Zn", 1.72, mg
"Calcium, Ca", 77.11, mg
"Iron, Fe", 3.99, mg
"Magnesium, Mg", 27.22, mg
"Phosphorus, P", 127.01, mg
"Potassium, K", 775.64, mg
"Sodium, Na", 2340.53, mg
"Serine", 0.277, g
"Monounsaturated fatty acids", 3.084, g
"Polyunsaturated fatty acids", 2.676, g
"Arginine", 0.367, g
"Valine", 0.367, g
"Alanine", 0.367, g
"Histidine", 0.181, g
"Glutamic acid", 1.651, g
"Aspartic acid", 0.735, g
"Proline", 0.549, g
"Glycine", 0.277, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 725.75, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 8754.33, mcg
"Eicosenoic acid", 0.000, g
"Water", 385.14, g
"Phenylalanine", 0.367, g
"Tyrosine", 0.181, g
"Methionine", 0.091, g
"Cystine", 0.091, g
"Leucine", 0.549, g
"Lysine", 0.367, g
"Threonine", 0.277, g
"Isoleucine", 0.367, g
"Tryptophan", 0.054, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 1.089, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 1859.73, mcg
"Vitamin E", 5.31, mg
"Vitamin A, RAE", 644.10, mcg
"Carotene, beta", 6803.88, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.181, g
"Ash", 9.16, g
"Tetradecanoic acid", 0.000, g
"Hexadecanoic acid", 0.726, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 3.039, g
"Octadecanoic acid", 0.363, g
"Folate, DFE", 40.82, mcg
"Folate, food", 40.82, mcg
"Vitamin K", 19.1, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 5.31, mg
# Downloaded from https://www.nutritionvalue.org 
