
# Downloaded from https://www.nutritionvalue.org 
# Soup, mix, dry, chicken noodle
# Serving size 1 packet = 74 g
Nutrient, Amount, Unit
"Calories", 278.98, kcal
"Fat", 4.82, g
"Protein", 11.41, g
"Carbohydrate", 46.12, g
"Maltose", 0.58, g
"Fructose", 0.00, g
"Lactose", 0.00, g
"Sucrose", 0.82, g
"Glucose (dextrose)", 0.00, g
"Hexadecenoic acid", 0.174, g
"Tridecanoic acid", 0.003, g
"Pentadecenoic acid", 0.007, g
"Niacin", 3.611, mg
"Riboflavin", 0.282, mg
"Thiamin", 0.425, mg
"Tocopherol, beta", 0.03, mg
"Tocopherol, gamma", 0.49, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.001, g
"Galactose", 0.00, g
"Cis,cis-eicosadienoic n-6 acid", 0.007, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 1.41, g
"Vitamin B6", 0.175, mg
"Folate", 52.54, mcg
"Pantothenic acid", 0.662, mg
"Vitamin B12", 0.56, mcg
"Fiber", 2.4, g
"Retinol", 5.92, mcg
"Vitamin A", 32.56, IU
"Copper, Cu", 0.212, mg
"Selenium, Se", 24.0, mcg
"Octadecadienoic acid", 0.958, g
"Manganese, Mn", 0.346, mg
"Tetradecanoic acid", 0.081, g
"Choline", 45.7, mg
"Zinc, Zn", 1.22, mg
"Calcium, Ca", 40.70, mg
"Iron, Fe", 1.81, mg
"Magnesium, Mg", 28.12, mg
"Phosphorus, P", 144.30, mg
"Potassium, K", 226.44, mg
"Sodium, Na", 2695.82, mg
"Serine", 0.548, g
"Monounsaturated fatty acids", 1.678, g
"Polyunsaturated fatty acids", 1.035, g
"Arginine", 0.651, g
"Valine", 0.565, g
"Alanine", 0.555, g
"Histidine", 0.296, g
"Glutamic acid", 2.874, g
"Aspartic acid", 0.823, g
"Proline", 0.971, g
"Glycine", 0.493, g
"Docosahexaenoic n-3 acid", 0.003, g
"Eicosatetraenoic acid", 0.026, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 31.82, mcg
"Tetradecenoic acid", 0.015, g
"Docosanoic acid", 0.007, g
"Cryptoxanthin, beta", 0.74, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.022, g
"Water", 3.66, g
"Tetracosanoic acid", 0.007, g
"Pentadecanoic acid", 0.015, g
"Heptadecanoic acid", 0.015, g
"Phenylalanine", 0.537, g
"Tyrosine", 0.350, g
"Methionine", 0.195, g
"Cystine", 0.122, g
"Leucine", 0.856, g
"Lysine", 0.596, g
"Threonine", 0.451, g
"Isoleucine", 0.508, g
"Tryptophan", 0.108, g
"Docosenoic acid", 0.007, g
"Docosapentaenoic n-3 acid", 0.001, g
"Vitamin C", 0.0, mg
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 1.457, g
"Cholesterol", 54.76, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 2.96, mcg
"Vitamin E", 0.24, mg
"Vitamin A, RAE", 5.92, mcg
"Carotene, beta", 6.66, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.037, g
"Ash", 7.99, g
"Starch", 37.61, g
"Hexadecanoic acid", 0.999, g
"Decanoic acid", 0.015, g
"Dodecanoic acid", 0.019, g
"Octadecenoic acid", 1.427, g
"Octadecanoic acid", 0.296, g
"Eicosanoic acid", 0.000, g
"Folate, DFE", 85.10, mcg
"Folate, food", 6.66, mcg
"Vitamin K", 0.1, mcg
"Heptadecenoic acid", 0.026, g
"Folic acid", 45.88, mcg
"Tocopherol, alpha", 0.24, mg
# Downloaded from https://www.nutritionvalue.org 
