
# Downloaded from https://www.nutritionvalue.org 
# CAMPBELL'S Red and White, condensed, Vegetarian Vegetable Soup
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 322.05, kcal
"Fat", 1.81, g
"Protein", 10.80, g
"Carbohydrate", 64.82, g
"Fatty acids, total trans", 0.000, g
"Vitamin A", 8999.27, IU
"Ash", 6.08, g
"Polyunsaturated fatty acids", 0.000, g
"Iron, Fe", 2.59, mg
"Potassium, K", 3166.07, mg
"Sodium, Na", 2340.53, mg
"Saturated fatty acids", 0.000, g
"Monounsaturated fatty acids", 0.000, g
"Vitamin C", 0.0, mg
"Calcium, Ca", 72.57, mg
"Cholesterol", 0.00, mg
"Sugars", 21.59, g
"Fiber", 7.3, g
"Water", 370.13, g
# Downloaded from https://www.nutritionvalue.org 
