
# Downloaded from https://www.nutritionvalue.org 
# Ham salad spread
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 979.76, kcal
"Fat", 70.44, g
"Protein", 39.37, g
"Carbohydrate", 48.26, g
"Hexadecenoic acid", 2.123, g
"Niacin", 9.503, mg
"Riboflavin", 0.544, mg
"Thiamin", 1.973, mg
"Vitamin C", 0.0, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 0.00, g
"Vitamin B6", 0.680, mg
"Folate", 4.54, mcg
"Pantothenic acid", 1.406, mg
"Vitamin B12", 3.45, mcg
"Fiber", 0.0, g
"Retinol", 0.00, mcg
"Vitamin A", 0.00, IU
"Copper, Cu", 0.318, mg
"Selenium, Se", 80.7, mcg
"Octadecadienoic acid", 10.705, g
"Manganese, Mn", 0.059, mg
"Choline", 313.0, mg
"Zinc, Zn", 4.99, mg
"Calcium, Ca", 36.29, mg
"Iron, Fe", 2.68, mg
"Magnesium, Mg", 45.36, mg
"Phosphorus, P", 544.31, mg
"Potassium, K", 680.39, mg
"Sodium, Na", 4876.11, mg
"Serine", 1.706, g
"Monounsaturated fatty acids", 32.527, g
"Polyunsaturated fatty acids", 12.197, g
"Arginine", 2.690, g
"Valine", 2.032, g
"Alanine", 2.431, g
"Histidine", 1.588, g
"Glutamic acid", 6.119, g
"Aspartic acid", 3.883, g
"Proline", 1.819, g
"Glycine", 2.204, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 0.00, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 30.8, mg
"Water", 283.95, g
"Phenylalanine", 1.606, g
"Tyrosine", 1.261, g
"Methionine", 1.034, g
"Cystine", 0.231, g
"Leucine", 3.289, g
"Lysine", 3.502, g
"Threonine", 1.855, g
"Isoleucine", 1.828, g
"Tryptophan", 0.404, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Phytosterols", 0.00, mg
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 22.902, g
"Cholesterol", 167.83, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 7.89, mg
"Vitamin A, RAE", 0.00, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D3 (cholecalciferol)", 3.2, mcg
"Vitamin D", 117.93, IU
"Vitamin D (D2 + D3)", 3.2, mcg
"Octadecatrienoic acid", 1.492, g
"Ash", 11.57, g
"Tetradecanoic acid", 0.721, g
"Hexadecanoic acid", 14.456, g
"Decanoic acid", 0.091, g
"Dodecanoic acid", 0.045, g
"Octadecenoic acid", 30.404, g
"Octadecanoic acid", 7.589, g
"Folate, DFE", 4.54, mcg
"Folate, food", 4.54, mcg
"Vitamin K", 0.0, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 7.89, mg
# Downloaded from https://www.nutritionvalue.org 
