
# Downloaded from https://www.nutritionvalue.org 
# Sausage, mild, breakfast links, turkey
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 235.00, kcal
"Fat", 18.09, g
"Protein", 15.42, g
"Carbohydrate", 1.56, g
"Hexadecenoic acid", 0.433, g
"Niacin", 3.692, mg
"Riboflavin", 0.165, mg
"Thiamin", 0.054, mg
"Vitamin C", 0.5, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 0.00, g
"Vitamin B6", 0.208, mg
"Folate", 4.00, mcg
"Vitamin B12", 0.79, mcg
"Fiber", 0.0, g
"Retinol", 0.00, mcg
"Vitamin A", 0.00, IU
"Copper, Cu", 0.111, mg
"Selenium, Se", 0.0, mcg
"Octadecadienoic acid", 4.131, g
"Hydroxyproline", 0.146, g
"Choline", 33.9, mg
"Zinc, Zn", 2.98, mg
"Calcium, Ca", 32.00, mg
"Iron, Fe", 1.07, mg
"Magnesium, Mg", 16.00, mg
"Phosphorus, P", 155.00, mg
"Potassium, K", 229.00, mg
"Sodium, Na", 639.00, mg
"Serine", 0.686, g
"Monounsaturated fatty acids", 5.158, g
"Polyunsaturated fatty acids", 4.657, g
"Arginine", 1.076, g
"Valine", 0.819, g
"Alanine", 0.955, g
"Histidine", 0.481, g
"Glutamic acid", 2.517, g
"Aspartic acid", 1.498, g
"Proline", 0.642, g
"Glycine", 0.765, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.227, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 0.00, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.052, g
"Betaine", 3.0, mg
"Water", 63.12, g
"Phenylalanine", 0.612, g
"Tyrosine", 0.609, g
"Methionine", 0.447, g
"Cystine", 0.161, g
"Leucine", 1.229, g
"Lysine", 1.453, g
"Threonine", 0.686, g
"Isoleucine", 0.802, g
"Tryptophan", 0.175, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 3.839, g
"Cholesterol", 160.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.19, mg
"Vitamin A, RAE", 0.00, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D3 (cholecalciferol)", 0.4, mcg
"Vitamin D", 17.00, IU
"Vitamin D (D2 + D3)", 0.4, mcg
"Octadecatrienoic acid", 0.300, g
"Ash", 1.81, g
"Tetradecanoic acid", 0.140, g
"Hexadecanoic acid", 2.583, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.016, g
"Octadecenoic acid", 4.673, g
"Octadecanoic acid", 1.100, g
"Folate, DFE", 4.00, mcg
"Folate, food", 4.00, mcg
"Vitamin K", 1.6, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.19, mg
# Downloaded from https://www.nutritionvalue.org 
