
# Downloaded from https://www.nutritionvalue.org 
# Apples, with skin, raw
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 235.87, kcal
"Fat", 0.77, g
"Protein", 1.18, g
"Carbohydrate", 62.64, g
"Maltose", 0.00, g
"Fructose", 26.76, g
"Lactose", 0.00, g
"Sucrose", 9.39, g
"Glucose (dextrose)", 11.02, g
"Hexadecenoic acid", 0.000, g
"Niacin", 0.413, mg
"Riboflavin", 0.118, mg
"Thiamin", 0.077, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 0.00, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 47.13, g
"Vitamin B6", 0.186, mg
"Folate", 13.61, mcg
"Pantothenic acid", 0.277, mg
"Vitamin B12", 0.00, mcg
"Fiber", 10.9, g
"Retinol", 0.00, mcg
"Vitamin A", 244.94, IU
"Fluoride, F", 15.0, mcg
"Copper, Cu", 0.122, mg
"Selenium, Se", 0.0, mcg
"Octadecadienoic acid", 0.195, g
"Manganese, Mn", 0.159, mg
"Dihydrophylloquinone", 0.0, mcg
"Tetradecanoic acid", 0.005, g
"Choline", 15.4, mg
"Zinc, Zn", 0.18, mg
"Calcium, Ca", 27.22, mg
"Iron, Fe", 0.54, mg
"Magnesium, Mg", 22.68, mg
"Phosphorus, P", 49.90, mg
"Potassium, K", 485.34, mg
"Sodium, Na", 4.54, mg
"Serine", 0.045, g
"Monounsaturated fatty acids", 0.032, g
"Polyunsaturated fatty acids", 0.231, g
"Arginine", 0.027, g
"Valine", 0.054, g
"Alanine", 0.050, g
"Histidine", 0.023, g
"Glutamic acid", 0.113, g
"Aspartic acid", 0.318, g
"Proline", 0.027, g
"Glycine", 0.041, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 131.54, mcg
"Cryptoxanthin, beta", 49.90, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 0.5, mg
"Water", 388.09, g
"Phenylalanine", 0.027, g
"Tyrosine", 0.005, g
"Methionine", 0.005, g
"Cystine", 0.005, g
"Leucine", 0.059, g
"Lysine", 0.054, g
"Threonine", 0.027, g
"Isoleucine", 0.027, g
"Tryptophan", 0.005, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 20.9, mg
"Phytosterols", 54.43, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.000, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.127, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.82, mg
"Vitamin A, RAE", 13.61, mcg
"Carotene, beta", 122.47, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.041, g
"Ash", 0.86, g
"Starch", 0.23, g
"Hexadecanoic acid", 0.109, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 0.032, g
"Octadecanoic acid", 0.014, g
"Folate, DFE", 13.61, mcg
"Folate, food", 13.61, mcg
"Vitamin K", 10.0, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.82, mg
# Downloaded from https://www.nutritionvalue.org 
