
# Downloaded from https://www.nutritionvalue.org 
# Apples, heated, drained, sliced, sweetened, canned
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 303.91, kcal
"Fat", 1.95, g
"Protein", 0.82, g
"Carbohydrate", 76.38, g
"Hexadecenoic acid", 0.005, g
"Niacin", 0.367, mg
"Riboflavin", 0.045, mg
"Thiamin", 0.041, mg
"Vitamin C", 0.9, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 67.31, g
"Vitamin B6", 0.200, mg
"Folate", 0.00, mcg
"Pantothenic acid", 0.145, mg
"Vitamin B12", 0.00, mcg
"Fiber", 9.1, g
"Retinol", 0.00, mcg
"Vitamin A", 254.01, IU
"Copper, Cu", 0.231, mg
"Selenium, Se", 1.4, mcg
"Octadecadienoic acid", 0.472, g
"Manganese, Mn", 0.748, mg
"Choline", 14.5, mg
"Zinc, Zn", 0.23, mg
"Calcium, Ca", 18.14, mg
"Iron, Fe", 1.09, mg
"Magnesium, Mg", 13.61, mg
"Phosphorus, P", 27.22, mg
"Potassium, K", 317.51, mg
"Sodium, Na", 13.61, mg
"Serine", 0.032, g
"Monounsaturated fatty acids", 0.077, g
"Polyunsaturated fatty acids", 0.572, g
"Arginine", 0.027, g
"Valine", 0.036, g
"Alanine", 0.032, g
"Histidine", 0.014, g
"Glutamic acid", 0.086, g
"Aspartic acid", 0.145, g
"Proline", 0.027, g
"Glycine", 0.032, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 81.65, mcg
"Cryptoxanthin, beta", 81.65, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Water", 373.22, g
"Phenylalanine", 0.023, g
"Tyrosine", 0.014, g
"Methionine", 0.009, g
"Cystine", 0.009, g
"Leucine", 0.050, g
"Lysine", 0.050, g
"Threonine", 0.032, g
"Isoleucine", 0.032, g
"Tryptophan", 0.009, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.000, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.318, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.95, mg
"Vitamin A, RAE", 13.61, mcg
"Carotene, beta", 108.86, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.100, g
"Ash", 1.22, g
"Tetradecanoic acid", 0.009, g
"Hexadecanoic acid", 0.263, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.005, g
"Octadecenoic acid", 0.073, g
"Octadecanoic acid", 0.041, g
"Folate, DFE", 0.00, mcg
"Folate, food", 0.00, mcg
"Vitamin K", 2.7, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.95, mg
# Downloaded from https://www.nutritionvalue.org 
