
# Downloaded from https://www.nutritionvalue.org 
# Bananas, raw
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 403.70, kcal
"Fat", 1.50, g
"Protein", 4.94, g
"Carbohydrate", 103.60, g
"Maltose", 0.05, g
"Fructose", 22.00, g
"Lactose", 0.00, g
"Sucrose", 10.84, g
"Glucose (dextrose)", 22.59, g
"Hexadecenoic acid", 0.045, g
"Tocotrienol, alpha", 0.27, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 0.09, mg
"Tocopherol, delta", 0.05, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 55.47, g
"Vitamin B6", 1.665, mg
"Folate", 90.72, mcg
"Pantothenic acid", 1.515, mg
"Vitamin B12", 0.00, mcg
"Fiber", 11.8, g
"Retinol", 0.00, mcg
"Vitamin A", 290.30, IU
"Fluoride, F", 10.0, mcg
"Copper, Cu", 0.354, mg
"Selenium, Se", 4.5, mcg
"Octadecadienoic acid", 0.209, g
"Manganese, Mn", 1.225, mg
"Dihydrophylloquinone", 0.0, mcg
"Tetradecanoic acid", 0.009, g
"Hexadecanoic acid", 0.463, g
"Choline", 44.5, mg
"Zinc, Zn", 0.68, mg
"Calcium, Ca", 22.68, mg
"Iron, Fe", 1.18, mg
"Magnesium, Mg", 122.47, mg
"Phosphorus, P", 99.79, mg
"Potassium, K", 1623.86, mg
"Sodium, Na", 4.54, mg
"Serine", 0.181, g
"Monounsaturated fatty acids", 0.145, g
"Polyunsaturated fatty acids", 0.331, g
"Arginine", 0.222, g
"Valine", 0.213, g
"Alanine", 0.181, g
"Histidine", 0.349, g
"Glutamic acid", 0.689, g
"Aspartic acid", 0.562, g
"Proline", 0.127, g
"Glycine", 0.172, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 99.79, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 0.5, mg
"Water", 339.79, g
"Niacin", 3.016, mg
"Riboflavin", 0.331, mg
"Thiamin", 0.141, mg
"Phenylalanine", 0.222, g
"Tyrosine", 0.041, g
"Methionine", 0.036, g
"Cystine", 0.041, g
"Leucine", 0.308, g
"Lysine", 0.227, g
"Threonine", 0.127, g
"Isoleucine", 0.127, g
"Tryptophan", 0.041, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 39.5, mg
"Phytosterols", 72.57, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.000, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.508, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 113.40, mcg
"Vitamin E", 0.45, mg
"Vitamin A, RAE", 13.61, mcg
"Carotene, beta", 117.93, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.122, g
"Ash", 3.72, g
"Starch", 24.40, g
"Decanoic acid", 0.005, g
"Dodecanoic acid", 0.009, g
"Octadecenoic acid", 0.100, g
"Octadecanoic acid", 0.023, g
"Folate, DFE", 90.72, mcg
"Folate, food", 90.72, mcg
"Vitamin K", 2.3, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.45, mg
# Downloaded from https://www.nutritionvalue.org 
