
# Downloaded from https://www.nutritionvalue.org 
# Fruit salad, solids and liquids, water pack, canned, (peach and pear and apricot and pineapple and cherry)
# Serving size 1 cup = 245 g
Nutrient, Amount, Unit
"Calories", 73.50, kcal
"Fat", 0.17, g
"Protein", 0.86, g
"Carbohydrate", 19.28, g
"Fatty acids, total trans", 0.000, g
"Retinol", 0.00, mcg
"Vitamin A", 1078.00, IU
"Cholesterol", 0.00, mg
"Copper, Cu", 0.164, mg
"Octadecadienoic acid", 0.061, g
"Manganese, Mn", 0.370, mg
"Saturated fatty acids", 0.022, g
"Octadecenoic acid", 0.032, g
"Water", 224.18, g
"Hexadecanoic acid", 0.017, g
"Riboflavin", 0.051, mg
"Niacin", 0.916, mg
"Vitamin A, RAE", 53.90, mcg
"Thiamin", 0.037, mg
"Vitamin C", 4.7, mg
"Vitamin D", 0.00, IU
"Monounsaturated fatty acids", 0.032, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Zinc, Zn", 0.20, mg
"Octadecatrienoic acid", 0.007, g
"Ash", 0.54, g
"Calcium, Ca", 17.15, mg
"Iron, Fe", 0.73, mg
"Magnesium, Mg", 12.25, mg
"Phosphorus, P", 22.05, mg
"Potassium, K", 191.10, mg
"Sodium, Na", 7.35, mg
"Octadecanoic acid", 0.007, g
"Folate, DFE", 7.35, mcg
"Folate, food", 7.35, mcg
"Vitamin B6", 0.078, mg
"Folate", 7.35, mcg
"Pantothenic acid", 0.130, mg
"Polyunsaturated fatty acids", 0.069, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.00, mcg
"Fiber", 2.5, g
# Downloaded from https://www.nutritionvalue.org 
