
# Downloaded from https://www.nutritionvalue.org 
# Tangerines, raw, (mandarin oranges)
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 240.40, kcal
"Fat", 1.41, g
"Protein", 3.67, g
"Carbohydrate", 60.51, g
"Maltose", 0.00, g
"Fructose", 10.89, g
"Lactose", 0.00, g
"Sucrose", 27.44, g
"Glucose (dextrose)", 9.66, g
"Hexadecenoic acid", 0.032, g
"Tocotrienol, alpha", 0.23, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 0.00, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 47.99, g
"Vitamin B6", 0.354, mg
"Folate", 72.57, mcg
"Pantothenic acid", 0.980, mg
"Vitamin B12", 0.00, mcg
"Fiber", 8.2, g
"Retinol", 0.00, mcg
"Vitamin A", 3088.96, IU
"Copper, Cu", 0.191, mg
"Selenium, Se", 0.5, mcg
"Octadecadienoic acid", 0.218, g
"Manganese, Mn", 0.177, mg
"Dihydrophylloquinone", 0.0, mcg
"Tetradecanoic acid", 0.009, g
"Hexadecanoic acid", 0.159, g
"Choline", 46.3, mg
"Zinc, Zn", 0.32, mg
"Calcium, Ca", 167.83, mg
"Iron, Fe", 0.68, mg
"Magnesium, Mg", 54.43, mg
"Phosphorus, P", 90.72, mg
"Potassium, K", 752.96, mg
"Sodium, Na", 9.07, mg
"Serine", 0.150, g
"Monounsaturated fatty acids", 0.272, g
"Polyunsaturated fatty acids", 0.295, g
"Arginine", 0.308, g
"Valine", 0.095, g
"Alanine", 0.127, g
"Histidine", 0.050, g
"Glutamic acid", 0.277, g
"Aspartic acid", 0.585, g
"Proline", 0.336, g
"Glycine", 0.086, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 625.96, mcg
"Cryptoxanthin, beta", 1846.12, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 0.5, mg
"Water", 386.32, g
"Niacin", 1.706, mg
"Riboflavin", 0.163, mg
"Thiamin", 0.263, mg
"Phenylalanine", 0.082, g
"Tyrosine", 0.068, g
"Methionine", 0.009, g
"Cystine", 0.009, g
"Leucine", 0.127, g
"Lysine", 0.145, g
"Threonine", 0.073, g
"Isoleucine", 0.077, g
"Tryptophan", 0.009, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 121.1, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.000, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.177, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 458.13, mcg
"Vitamin E", 0.91, mg
"Vitamin A, RAE", 154.22, mcg
"Carotene, beta", 703.07, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.082, g
"Ash", 1.72, g
"Starch", 0.00, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 0.240, g
"Octadecanoic acid", 0.009, g
"Folate, DFE", 72.57, mcg
"Folate, food", 72.57, mcg
"Vitamin K", 0.0, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.91, mg
# Downloaded from https://www.nutritionvalue.org 
