
# Downloaded from https://www.nutritionvalue.org 
# Pineapple, all varieties, raw
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 226.80, kcal
"Fat", 0.54, g
"Protein", 2.45, g
"Carbohydrate", 59.51, g
"Maltose", 0.00, g
"Fructose", 9.62, g
"Lactose", 0.00, g
"Sucrose", 27.17, g
"Glucose (dextrose)", 7.85, g
"Hexadecenoic acid", 0.005, g
"Tocotrienol, alpha", 0.09, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 0.00, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 44.68, g
"Vitamin B6", 0.508, mg
"Folate", 81.65, mcg
"Pantothenic acid", 0.966, mg
"Vitamin B12", 0.00, mcg
"Fiber", 6.4, g
"Retinol", 0.00, mcg
"Vitamin A", 263.08, IU
"Copper, Cu", 0.499, mg
"Selenium, Se", 0.5, mcg
"Octadecadienoic acid", 0.104, g
"Manganese, Mn", 4.205, mg
"Dihydrophylloquinone", 0.0, mcg
"Tetradecanoic acid", 0.000, g
"Hexadecanoic acid", 0.023, g
"Choline", 24.9, mg
"Zinc, Zn", 0.54, mg
"Calcium, Ca", 58.97, mg
"Iron, Fe", 1.32, mg
"Magnesium, Mg", 54.43, mg
"Phosphorus, P", 36.29, mg
"Potassium, K", 494.42, mg
"Sodium, Na", 4.54, mg
"Serine", 0.159, g
"Monounsaturated fatty acids", 0.059, g
"Polyunsaturated fatty acids", 0.181, g
"Arginine", 0.086, g
"Valine", 0.109, g
"Alanine", 0.150, g
"Histidine", 0.045, g
"Glutamic acid", 0.358, g
"Aspartic acid", 0.549, g
"Proline", 0.077, g
"Glycine", 0.109, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 0.00, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 0.5, mg
"Water", 390.09, g
"Niacin", 2.268, mg
"Riboflavin", 0.145, mg
"Thiamin", 0.358, mg
"Phenylalanine", 0.095, g
"Tyrosine", 0.086, g
"Methionine", 0.054, g
"Cystine", 0.064, g
"Leucine", 0.109, g
"Lysine", 0.118, g
"Threonine", 0.086, g
"Isoleucine", 0.086, g
"Tryptophan", 0.023, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 216.8, mg
"Phytosterols", 27.22, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.000, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.041, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.09, mg
"Vitamin A, RAE", 13.61, mcg
"Carotene, beta", 158.76, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.077, g
"Ash", 1.00, g
"Starch", 0.00, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 0.054, g
"Octadecanoic acid", 0.014, g
"Folate, DFE", 81.65, mcg
"Folate, food", 81.65, mcg
"Vitamin K", 3.2, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.09, mg
# Downloaded from https://www.nutritionvalue.org 
