Arroz, Cereal
Tomate, Verdura
Pollo, Carne
Fideo, Cereal
Frijol, Legumbre
Chile, Fruta
Cerdo, Carne
Res, Carne
Hamburguesa, Carne
Pan, Cereal
Espinaca, Verdura
Patata, Verdura
Queso, Lacteo
Margarina, Lacteo
Huevo, Lacteo
Lechuga, Verdura
Helado, Lacteo
Atun, Pescado
Leche, Lacteo
Maiz, Cereal
Yogurt, Lacteo
Gel, Carne
Anchoa, Pescado
Galleta, Cereal
Durazno, Fruta
Pina, Fruta
Cereza, Fruta
Tortilla, Cereal
Albaricoque, Fruta
Cebolla, Verdura
Naranja, Fruta
Mandarina, Fruta
Uva, Fruta
Limon, Fruta
Platano, Fruta
Manzana, Fruta
Zanahoria, Verdura
Soja, Verdura
Lenteja, Legumbre
Calabaza, Fruta
Guisante, Legumbre
Langostino, Pescado
Ajo, Verdura
Salchicha, Carne
Pavo, Carne
Frambuesa, Fruta
Coco, Fruta
