
# Downloaded from https://www.nutritionvalue.org 
# Egg, fried, cooked, whole
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 196.00, kcal
"Fat", 14.84, g
"Protein", 13.61, g
"Carbohydrate", 0.83, g
"Maltose", 0.00, g
"Fructose", 0.00, g
"Lactose", 0.00, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 0.40, g
"Hexadecenoic acid", 0.228, g
"Pentadecenoic acid", 0.000, g
"Tocotrienol, alpha", 0.06, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.01, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.02, mg
"Tocopherol, gamma", 0.54, mg
"Tocopherol, delta", 0.06, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.019, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 0.40, g
"Vitamin B6", 0.184, mg
"Folate", 51.00, mcg
"Pantothenic acid", 1.660, mg
"Vitamin B12", 0.97, mcg
"Fiber", 0.0, g
"Retinol", 216.00, mcg
"Vitamin A", 787.00, IU
"Fluoride, F", 1.2, mcg
"Copper, Cu", 0.078, mg
"Selenium, Se", 33.1, mcg
"Octadecadienoic acid", 2.781, g
"Manganese, Mn", 0.030, mg
"Dihydrophylloquinone", 0.1, mcg
"Hexadecanoic acid", 2.954, g
"Choline", 317.1, mg
"Zinc, Zn", 1.39, mg
"Calcium, Ca", 62.00, mg
"Iron, Fe", 1.89, mg
"Magnesium, Mg", 13.00, mg
"Phosphorus, P", 215.00, mg
"Potassium, K", 152.00, mg
"Sodium, Na", 207.00, mg
"Serine", 1.051, g
"Monounsaturated fatty acids", 6.182, g
"Polyunsaturated fatty acids", 3.251, g
"Arginine", 0.887, g
"Valine", 0.930, g
"Alanine", 0.795, g
"Histidine", 0.335, g
"Glutamic acid", 1.817, g
"Aspartic acid", 1.438, g
"Proline", 0.558, g
"Glycine", 0.467, g
"Docosahexaenoic n-3 acid", 0.063, g
"Eicosatetraenoic acid", 0.203, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 543.00, mcg
"Tetradecenoic acid", 0.007, g
"Docosanoic acid", 0.005, g
"Cryptoxanthin, beta", 10.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.029, g
"Betaine", 0.3, mg
"Water", 69.47, g
"Niacin", 0.082, mg
"Docosatetraenoic acid", 0.014, g
"Riboflavin", 0.495, mg
"Tetracosanoic acid", 0.000, g
"Thiamin", 0.044, mg
"Pentadecanoic acid", 0.009, g
"Heptadecanoic acid", 0.023, g
"Phenylalanine", 0.736, g
"Tyrosine", 0.541, g
"Methionine", 0.411, g
"Cystine", 0.294, g
"Leucine", 1.177, g
"Lysine", 0.989, g
"Threonine", 0.602, g
"Isoleucine", 0.728, g
"Tryptophan", 0.181, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.007, g
"Vitamin C", 0.0, mg
"Phytosterols", 8.00, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.041, g
"Butanoic acid", 0.004, g
"Saturated fatty acids", 4.323, g
"Cholesterol", 401.00, mg
"Octanoic acid", 0.004, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 1.31, mg
"Vitamin A, RAE", 219.00, mcg
"Carotene, beta", 35.00, mcg
"Vitamin D3 (cholecalciferol)", 2.2, mcg
"Vitamin D", 88.00, IU
"Vitamin D (D2 + D3)", 2.2, mcg
"Octadecatrienoic acid", 0.137, g
"Ash", 1.26, g
"Tetradecanoic acid", 0.047, g
"Decanoic acid", 0.006, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 5.904, g
"Octadecanoic acid", 1.268, g
"Eicosanoic acid", 0.003, g
"Folate, DFE", 51.00, mcg
"Folate, food", 51.00, mcg
"Eicosadienoic acid", 0.025, g
"Vitamin K", 5.6, mcg
"Heptadecenoic acid", 0.013, g
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 1.31, mg
# Downloaded from https://www.nutritionvalue.org 
