
# Downloaded from https://www.nutritionvalue.org 
# Grape leaves, raw
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 421.84, kcal
"Fat", 9.62, g
"Protein", 25.40, g
"Carbohydrate", 78.52, g
"Fatty acids, total trans", 0.000, g
"Retinol", 0.00, mcg
"Vitamin A", 124833.05, IU
"Cholesterol", 0.00, mg
"Lutein + zeaxanthin", 7924.25, mcg
"Tetradecenoic acid", 0.014, g
"Docosanoic acid", 0.036, g
"Hexanoic acid", 0.000, g
"Copper, Cu", 1.882, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Selenium, Se", 4.1, mcg
"Butanoic acid", 0.000, g
"Manganese, Mn", 12.950, mg
"Thiamin", 0.181, mg
"Saturated fatty acids", 1.524, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 0.177, g
"Docosapentaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Water", 332.57, g
"Hexadecanoic acid", 1.102, g
"Phytosterols", 95.25, mg
"Niacin", 10.714, mg
"Riboflavin", 1.606, mg
"Hexadecenoic acid", 0.159, g
"Carotene, alpha", 2853.09, mcg
"Vitamin E", 9.07, mg
"Vitamin A, RAE", 6241.43, mcg
"Carotene, beta", 73454.69, mcg
"Pentadecanoic acid", 0.045, g
"Heptadecanoic acid", 0.009, g
"Vitamin D", 0.00, IU
"Calcium, Ca", 1646.54, mg
"Choline", 58.1, mg
"Monounsaturated fatty acids", 0.367, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Tetracosanoic acid", 0.059, g
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 3.04, mg
"Dodecanoic acid", 0.000, g
"Ash", 7.48, g
"Tetradecanoic acid", 0.023, g
"Decanoic acid", 0.000, g
"Iron, Fe", 11.93, mg
"Magnesium, Mg", 430.91, mg
"Phosphorus, P", 412.77, mg
"Potassium, K", 1233.77, mg
"Sodium, Na", 40.82, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 0.118, g
"Sugars", 28.58, g
"Eicosanoic acid", 0.054, g
"Cryptoxanthin, beta", 40.82, mcg
"Alcohol, ethyl", 0.0, g
"Stigmasterol", 9.07, mg
"Folate, DFE", 376.48, mcg
"Folate, food", 376.48, mcg
"Octanoic acid", 0.000, g
"Vitamin C", 50.3, mg
"Octadecadienoic acid", 0.671, g
"Octadecatrienoic acid", 3.883, g
"Beta-sitosterol", 90.72, mg
"Vitamin B6", 1.814, mg
"Folate", 376.48, mcg
"Pantothenic acid", 1.048, mg
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 4.831, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.00, mcg
"Vitamin K", 492.6, mcg
"Fiber", 49.9, g
"Tocopherol, alpha", 9.07, mg
# Downloaded from https://www.nutritionvalue.org 
