
# Downloaded from https://www.nutritionvalue.org 
# Ice cream sandwich
# Serving size 1 serving = 70 g
Nutrient, Amount, Unit
"Calories", 165.90, kcal
"Fat", 6.00, g
"Protein", 3.00, g
"Carbohydrate", 26.00, g
"Retinol", 60.20, mcg
"Vitamin A", 200.20, IU
"Cholesterol", 14.70, mg
"Lutein + zeaxanthin", 4.20, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.004, g
"Copper, Cu", 0.178, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.001, g
"Selenium, Se", 2.2, mcg
"Butanoic acid", 0.001, g
"Manganese, Mn", 0.267, mg
"Thiamin", 0.078, mg
"Saturated fatty acids", 1.622, g
"Octadecatetraenoic acid", 0.001, g
"Octadecenoic acid", 1.844, g
"Eicosatetraenoic acid", 0.002, g
"Water", 34.23, g
"Hexadecanoic acid", 0.689, g
"Niacin", 1.096, mg
"Riboflavin", 0.102, mg
"Hexadecenoic acid", 0.018, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.28, mg
"Vitamin A, RAE", 60.20, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 60.20, mg
"Choline", 5.6, mg
"Monounsaturated fatty acids", 1.863, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Eicosapentaenoic n-3 acid", 0.001, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 0.42, mg
"Dodecanoic acid", 0.291, g
"Ash", 0.77, g
"Tetradecanoic acid", 0.117, g
"Decanoic acid", 0.039, g
"Iron, Fe", 0.18, mg
"Magnesium, Mg", 20.30, mg
"Phosphorus, P", 50.40, mg
"Potassium, K", 80.50, mg
"Sodium, Na", 90.30, mg
"Theobromine", 85.40, mg
"Caffeine", 2.80, mg
"Octadecanoic acid", 0.432, g
"Sugars", 13.00, g
"Cryptoxanthin, beta", 0.00, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 37.10, mcg
"Folate, food", 4.20, mcg
"Octanoic acid", 0.049, g
"Vitamin C", 0.0, mg
"Octadecadienoic acid", 1.483, g
"Octadecatrienoic acid", 0.103, g
"Vitamin B6", 0.020, mg
"Folate", 23.80, mcg
"Pantothenic acid", 0.146, mg
"Docosahexaenoic n-3 acid", 0.001, g
"Polyunsaturated fatty acids", 1.590, g
"Folic acid", 18.90, mcg
"Vitamin B12", 0.04, mcg
"Vitamin K", 0.9, mcg
"Fiber", 0.0, g
"Tocopherol, alpha", 0.28, mg
# Downloaded from https://www.nutritionvalue.org 
