
# Downloaded from https://www.nutritionvalue.org 
# Yogurt, nonfat, plain, Greek
# Serving size 1 container = 170 g
Nutrient, Amount, Unit
"Calories", 100.30, kcal
"Fat", 0.66, g
"Protein", 17.32, g
"Carbohydrate", 6.12, g
"Maltose", 0.00, g
"Fructose", 0.00, g
"Lactose", 4.32, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 0.00, g
"Trans-octadecadienoic acid", 0.000, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.010, g
"Trans-hexadecenoic acid", 0.000, g
"Lutein + zeaxanthin", 0.00, mcg
"Fatty acids, total trans-monoenoic", 0.010, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.000, g
"Tocotrienol, alpha", 0.00, mg
"Niacin", 0.354, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 0.00, mg
"Tocopherol, delta", 0.00, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 1.19, g
"Cis-octadecenoic acid", 0.073, g
"Cis,cis-octadecadienoic n-6 acid", 0.017, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.000, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Cis-hexadecenoic acid", 0.003, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 5.51, g
"Vitamin B6", 0.107, mg
"Folate", 11.90, mcg
"Pantothenic acid", 0.563, mg
"Vitamin B12", 1.27, mcg
"Fiber", 0.0, g
"Retinol", 1.70, mcg
"Vitamin A", 6.80, IU
"Copper, Cu", 0.029, mg
"Selenium, Se", 16.5, mcg
"Octadecadienoic acid", 0.017, g
"Manganese, Mn", 0.015, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 0.0, mcg
"Choline", 25.7, mg
"Zinc, Zn", 0.88, mg
"Calcium, Ca", 187.00, mg
"Iron, Fe", 0.12, mg
"Magnesium, Mg", 18.70, mg
"Phosphorus, P", 229.50, mg
"Potassium, K", 239.70, mg
"Sodium, Na", 61.20, mg
"Eicosadienoic n-6 acid", 0.000, g
"Monounsaturated fatty acids", 0.090, g
"Polyunsaturated fatty acids", 0.020, g
"Folate, DFE", 11.90, mcg
"Folate, food", 11.90, mcg
"Vitamin K", 0.0, mcg
"Folic acid", 0.00, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.003, g
"Tetradecenoic acid", 0.002, g
"Docosanoic acid", 0.000, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.003, g
"Betaine", 1.4, mg
"Water", 144.67, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.002, g
"Eicosadienoic n-3 acid", 0.000, g
"Tocotrienol, beta", 0.00, mg
"Docosatetraenoic acid", 0.000, g
"Riboflavin", 0.473, mg
"Tetracosanoic acid", 0.000, g
"Thiamin", 0.039, mg
"Pentadecanoic acid", 0.005, g
"Heptadecanoic acid", 0.005, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 0.0, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.010, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.199, g
"Cholesterol", 8.50, mg
"Octanoic acid", 0.007, g
"Hexanoic acid", 0.005, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.02, mg
"Vitamin A, RAE", 1.70, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D3 (cholecalciferol)", 0.0, mcg
"Vitamin D", 0.00, IU
"Vitamin D2 (ergocalciferol)", 0.0, mcg
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.002, g
"Ash", 1.22, g
"Tetradecanoic acid", 0.025, g
"Hexadecanoic acid", 0.083, g
"Decanoic acid", 0.022, g
"Dodecanoic acid", 0.010, g
"Octadecenoic acid", 0.083, g
"Octadecanoic acid", 0.036, g
"Eicosanoic acid", 0.000, g
"Eicosadienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, g
"Heptadecenoic acid", 0.000, g
"Tocopherol, alpha", 0.02, mg
# Downloaded from https://www.nutritionvalue.org 
