
# Downloaded from https://www.nutritionvalue.org 
# Fish, tuna salad
# Serving size 1 cup = 205 g
Nutrient, Amount, Unit
"Calories", 383.35, kcal
"Fat", 18.98, g
"Protein", 32.88, g
"Carbohydrate", 19.29, g
"Retinol", 45.10, mcg
"Vitamin A", 198.85, IU
"Cholesterol", 26.65, mg
"Hexadecenoic acid", 0.092, g
"Copper, Cu", 0.297, mg
"Eicosapentaenoic n-3 acid", 0.029, g
"Eicosenoic acid", 0.029, g
"Selenium, Se", 84.5, mcg
"Octadecadienoic acid", 7.630, g
"Manganese, Mn", 0.082, mg
"Monounsaturated fatty acids", 5.918, g
"Glycine", 1.572, g
"Octadecenoic acid", 5.797, g
"Water", 129.48, g
"Hexadecanoic acid", 2.624, g
"Serine", 1.347, g
"Riboflavin", 0.144, mg
"Niacin", 13.735, mg
"Vitamin A, RAE", 49.20, mcg
"Thiamin", 0.064, mg
"Vitamin C", 4.5, mg
"Calcium, Ca", 34.85, mg
"Methionine", 0.963, g
"Cystine", 0.353, g
"Leucine", 2.651, g
"Lysine", 2.987, g
"Threonine", 1.437, g
"Isoleucine", 1.515, g
"Tryptophan", 0.369, g
"Zinc, Zn", 1.15, mg
"Phenylalanine", 1.283, g
"Ash", 4.39, g
"Histidine", 0.957, g
"Tetradecanoic acid", 0.029, g
"Iron, Fe", 2.05, mg
"Magnesium, Mg", 38.95, mg
"Phosphorus, P", 364.90, mg
"Potassium, K", 364.90, mg
"Sodium, Na", 824.10, mg
"Octadecanoic acid", 0.510, g
"Saturated fatty acids", 3.165, g
"Tyrosine", 1.105, g
"Folate, DFE", 16.40, mcg
"Glutamic acid", 4.924, g
"Folate, food", 16.40, mcg
"Docosahexaenoic n-3 acid", 0.113, g
"Octadecatrienoic acid", 0.681, g
"Vitamin B6", 0.166, mg
"Folate", 16.40, mcg
"Pantothenic acid", 0.533, mg
"Polyunsaturated fatty acids", 8.450, g
"Arginine", 1.982, g
"Valine", 1.689, g
"Alanine", 1.972, g
"Folic acid", 0.00, mcg
"Vitamin B12", 2.46, mcg
"Aspartic acid", 3.346, g
"Proline", 1.158, g
"Fiber", 0.0, g
# Downloaded from https://www.nutritionvalue.org 
