
# Downloaded from https://www.nutritionvalue.org 
# Beans, plain or vegetarian, canned, baked
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 426.38, kcal
"Fat", 1.68, g
"Protein", 21.55, g
"Carbohydrate", 95.89, g
"Maltose", 0.00, g
"Fructose", 7.08, g
"Lactose", 0.00, g
"Sucrose", 21.77, g
"Glucose (dextrose)", 7.21, g
"Trans-octadecenoic acid", 0.000, g
"Hexadecenoic acid", 0.005, g
"Fatty acids, total trans-monoenoic", 0.000, g
"Tridecanoic acid", 0.000, g
"Pentadecenoic acid", 0.000, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.00, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.00, mg
"Tocopherol, gamma", 3.22, mg
"Tocopherol, delta", 0.23, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 0.299, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 36.11, g
"Vitamin B6", 0.381, mg
"Folate", 54.43, mcg
"Pantothenic acid", 0.980, mg
"Vitamin B12", 0.00, mcg
"Fiber", 18.6, g
"Retinol", 0.00, mcg
"Vitamin A", 489.88, IU
"Copper, Cu", 0.658, mg
"Selenium, Se", 22.7, mcg
"Octadecadienoic acid", 0.249, g
"Manganese, Mn", 0.494, mg
"Dihydrophylloquinone", 0.0, mcg
"Tetradecanoic acid", 0.005, g
"Hydroxyproline", 0.000, g
"Hexadecanoic acid", 0.213, g
"Choline", 142.9, mg
"Zinc, Zn", 10.34, mg
"Calcium, Ca", 154.22, mg
"Iron, Fe", 5.40, mg
"Magnesium, Mg", 122.47, mg
"Phosphorus, P", 335.66, mg
"Potassium, K", 1016.05, mg
"Sodium, Na", 1555.82, mg
"Serine", 1.451, g
"Monounsaturated fatty acids", 0.431, g
"Polyunsaturated fatty acids", 0.549, g
"Arginine", 1.039, g
"Valine", 1.179, g
"Alanine", 0.921, g
"Histidine", 0.599, g
"Glutamic acid", 3.629, g
"Aspartic acid", 2.862, g
"Proline", 1.089, g
"Glycine", 0.844, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 72.57, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.000, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 2317.86, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 0.5, mg
"Water", 326.59, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.231, g
"Niacin", 1.941, mg
"Riboflavin", 0.177, mg
"Tetracosanoic acid", 0.000, g
"Thiamin", 0.435, mg
"Pentadecanoic acid", 0.000, g
"Heptadecanoic acid", 0.000, g
"Phenylalanine", 1.211, g
"Tyrosine", 0.549, g
"Methionine", 0.213, g
"Cystine", 0.168, g
"Leucine", 1.837, g
"Lysine", 1.352, g
"Threonine", 0.676, g
"Isoleucine", 1.025, g
"Tryptophan", 0.231, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Vitamin C", 0.0, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.000, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.322, g
"Cholesterol", 0.00, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.68, mg
"Vitamin A, RAE", 22.68, mcg
"Carotene, beta", 294.83, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.068, g
"Ash", 7.94, g
"Starch", 33.48, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 0.132, g
"Octadecanoic acid", 0.104, g
"Eicosanoic acid", 0.000, g
"Folate, DFE", 54.43, mcg
"Folate, food", 54.43, mcg
"Eicosadienoic acid", 0.000, g
"Vitamin K", 3.6, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.000, g
"Heptadecenoic acid", 0.000, g
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.68, mg
# Downloaded from https://www.nutritionvalue.org 
