
# Downloaded from https://www.nutritionvalue.org 
# WORTHINGTON Vegetarian Burger, unprepared, canned
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 562.45, kcal
"Fat", 13.15, g
"Protein", 84.37, g
"Carbohydrate", 28.12, g
"Fatty acids, total trans", 0.000, g
"Vitamin A", 0.00, IU
"Cholesterol", 0.00, mg
"Saturated fatty acids", 2.268, g
"Water", 320.69, g
"Riboflavin", 0.907, mg
"Niacin", 13.154, mg
"Vitamin A, RAE", 0.00, mcg
"Thiamin", 0.907, mg
"Vitamin C", 0.0, mg
"Calcium, Ca", 36.29, mg
"Zinc, Zn", 5.44, mg
"Ash", 8.16, g
"Iron, Fe", 11.79, mg
"Phosphorus, P", 444.52, mg
"Potassium, K", 199.58, mg
"Sodium, Na", 2045.70, mg
"Sugars", 2.72, g
"Vitamin B6", 1.814, mg
"Monounsaturated fatty acids", 2.268, g
"Polyunsaturated fatty acids", 7.711, g
"Vitamin B12", 19.96, mcg
"Fiber", 12.2, g
# Downloaded from https://www.nutritionvalue.org 
