
# Downloaded from https://www.nutritionvalue.org 
# Croissants, cheese
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 414.00, kcal
"Fat", 20.90, g
"Protein", 9.20, g
"Carbohydrate", 47.00, g
"Hexadecenoic acid", 0.363, g
"Niacin", 2.160, mg
"Riboflavin", 0.325, mg
"Thiamin", 0.523, mg
"Vitamin C", 0.2, mg
"Eicosapentaenoic n-3 acid", 0.002, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 11.35, g
"Vitamin B6", 0.073, mg
"Folate", 74.00, mcg
"Pantothenic acid", 0.842, mg
"Vitamin B12", 0.32, mcg
"Fiber", 2.6, g
"Retinol", 197.00, mcg
"Vitamin A", 805.00, IU
"Copper, Cu", 0.100, mg
"Selenium, Se", 26.8, mcg
"Octadecadienoic acid", 2.069, g
"Manganese, Mn", 0.340, mg
"Choline", 38.8, mg
"Zinc, Zn", 0.94, mg
"Calcium, Ca", 53.00, mg
"Iron, Fe", 2.15, mg
"Magnesium, Mg", 24.00, mg
"Phosphorus, P", 130.00, mg
"Potassium, K", 132.00, mg
"Sodium, Na", 361.00, mg
"Serine", 0.478, g
"Monounsaturated fatty acids", 6.509, g
"Polyunsaturated fatty acids", 2.384, g
"Arginine", 0.363, g
"Valine", 0.453, g
"Alanine", 0.338, g
"Histidine", 0.212, g
"Glutamic acid", 2.585, g
"Aspartic acid", 0.527, g
"Proline", 0.894, g
"Glycine", 0.301, g
"Docosahexaenoic n-3 acid", 0.002, g
"Eicosatetraenoic acid", 0.005, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 43.00, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.001, g
"Water", 21.00, g
"Phenylalanine", 0.455, g
"Tyrosine", 0.302, g
"Methionine", 0.187, g
"Cystine", 0.176, g
"Leucine", 0.692, g
"Lysine", 0.371, g
"Threonine", 0.304, g
"Isoleucine", 0.407, g
"Tryptophan", 0.109, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.497, g
"Saturated fatty acids", 10.628, g
"Cholesterol", 57.00, mg
"Octanoic acid", 0.170, g
"Hexanoic acid", 0.293, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 1.44, mg
"Vitamin A, RAE", 204.00, mcg
"Carotene, beta", 89.00, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.306, g
"Ash", 1.90, g
"Tetradecanoic acid", 1.553, g
"Hexadecanoic acid", 4.762, g
"Decanoic acid", 0.382, g
"Dodecanoic acid", 0.426, g
"Octadecenoic acid", 5.917, g
"Octadecanoic acid", 2.198, g
"Folate, DFE", 103.00, mcg
"Folate, food", 33.00, mcg
"Vitamin K", 10.9, mcg
"Folic acid", 41.00, mcg
"Tocopherol, alpha", 1.44, mg
# Downloaded from https://www.nutritionvalue.org 
