
# Downloaded from https://www.nutritionvalue.org 
# Pie, lemon, fried pies
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 316.00, kcal
"Fat", 16.10, g
"Protein", 3.00, g
"Carbohydrate", 42.60, g
"Retinol", 0.00, mcg
"Vitamin A", 32.00, IU
"Cholesterol", 0.00, mg
"Hexadecenoic acid", 0.012, g
"Copper, Cu", 0.047, mg
"Eicosenoic acid", 0.089, g
"Selenium, Se", 2.4, mcg
"Butanoic acid", 0.001, g
"Manganese, Mn", 0.224, mg
"Monounsaturated fatty acids", 7.449, g
"Glycine", 0.098, g
"Octadecenoic acid", 7.299, g
"Water", 37.60, g
"Hexadecanoic acid", 1.516, g
"Serine", 0.154, g
"Riboflavin", 0.106, mg
"Niacin", 1.425, mg
"Vitamin A, RAE", 2.00, mcg
"Thiamin", 0.141, mg
"Vitamin C", 0.0, mg
"Calcium, Ca", 22.00, mg
"Methionine", 0.052, g
"Cystine", 0.059, g
"Leucine", 0.211, g
"Lysine", 0.121, g
"Threonine", 0.089, g
"Isoleucine", 0.120, g
"Tryptophan", 0.042, g
"Docosenoic acid", 0.032, g
"Zinc, Zn", 0.23, mg
"Phenylalanine", 0.138, g
"Ash", 1.10, g
"Histidine", 0.062, g
"Tetradecanoic acid", 0.032, g
"Decanoic acid", 0.001, g
"Iron, Fe", 1.22, mg
"Magnesium, Mg", 10.00, mg
"Phosphorus, P", 43.00, mg
"Potassium, K", 65.00, mg
"Sodium, Na", 374.00, mg
"Octadecadienoic acid", 4.808, g
"Octadecanoic acid", 0.834, g
"Saturated fatty acids", 2.457, g
"Dodecanoic acid", 0.001, g
"Tyrosine", 0.090, g
"Folate, DFE", 29.00, mcg
"Glutamic acid", 0.906, g
"Folate, food", 3.00, mcg
"Octadecatrienoic acid", 0.568, g
"Vitamin B6", 0.030, mg
"Folate", 18.00, mcg
"Pantothenic acid", 0.110, mg
"Polyunsaturated fatty acids", 5.376, g
"Arginine", 0.112, g
"Valine", 0.138, g
"Alanine", 0.093, g
"Folic acid", 15.00, mcg
"Vitamin B12", 0.08, mcg
"Aspartic acid", 0.156, g
"Proline", 0.314, g
"Fiber", 2.6, g
# Downloaded from https://www.nutritionvalue.org 
