
# Downloaded from https://www.nutritionvalue.org 
# PIZZA HUT 14" Cheese Pizza, Pan Crust
# Serving size 1 pound = 453.592 g
Nutrient, Amount, Unit
"Calories", 1251.91, kcal
"Fat", 51.03, g
"Protein", 49.21, g
"Carbohydrate", 149.00, g
"Maltose", 4.85, g
"Fructose", 2.13, g
"Lactose", 1.81, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 1.81, g
"Trans-octadecadienoic acid", 0.263, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.807, g
"Trans-hexadecenoic acid", 0.100, g
"Fatty acids, total trans-monoenoic", 0.907, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.263, g
"Tocotrienol, alpha", 0.14, mg
"Tocotrienol, beta", 0.00, mg
"Riboflavin", 0.998, mg
"Thiamin", 1.769, mg
"Tocopherol, beta", 0.23, mg
"Tocopherol, gamma", 12.43, mg
"Tocopherol, delta", 3.58, mg
"Galactose", 0.59, g
"Cis-octadecenoic acid", 10.628, g
"Cis,cis-octadecadienoic n-6 acid", 11.916, g
"Docosenoic cis acid", 0.009, g
"Octadecadienoic CLAs acid", 0.177, g
"Tetracosenoic cis acid", 0.009, g
"Cis,cis-eicosadienoic n-6 acid", 0.018, g
"Cis-hexadecenoic acid", 0.449, g
"Sugars", 11.20, g
"Vitamin B6", 0.363, mg
"Folate", 480.81, mcg
"Pantothenic acid", 1.048, mg
"Vitamin B12", 1.50, mcg
"Fiber", 9.5, g
"Copper, Cu", 0.445, mg
"Selenium, Se", 72.6, mcg
"Octadecadienoic acid", 12.356, g
"Manganese, Mn", 1.792, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 5.0, mcg
"Zinc, Zn", 5.94, mg
"Calcium, Ca", 870.90, mg
"Iron, Fe", 11.20, mg
"Magnesium, Mg", 95.25, mg
"Phosphorus, P", 979.76, mg
"Potassium, K", 771.11, mg
"Sodium, Na", 2630.83, mg
"Eicosadienoic n-6 acid", 0.041, g
"Tetradecanoic acid", 2.685, g
"Monounsaturated fatty acids", 12.496, g
"Polyunsaturated fatty acids", 14.143, g
"Folate, DFE", 689.46, mcg
"Folate, food", 181.44, mcg
"Vitamin K", 77.1, mcg
"Folic acid", 299.37, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.050, g
"Octadecatetraenoic acid", 0.005, g
"Hexadecenoic acid", 0.549, g
"Tetradecenoic acid", 0.218, g
"Docosanoic acid", 0.095, g
"Eicosapentaenoic n-3 acid", 0.018, g
"Eicosenoic acid", 0.209, g
"Water", 193.59, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 1.588, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 15.785, mg
"Docosatetraenoic acid", 0.023, g
"Tocotrienol, gamma", 0.05, mg
"Tetracosanoic acid", 0.041, g
"Tocotrienol, delta", 0.00, mg
"Pentadecanoic acid", 0.290, g
"Heptadecanoic acid", 0.200, g
"Docosenoic acid", 0.009, g
"Docosapentaenoic n-3 acid", 0.018, g
"Vitamin C", 8.6, mg
"Fatty acids, total trans", 1.170, g
"Butanoic acid", 0.476, g
"Saturated fatty acids", 19.913, g
"Cholesterol", 81.65, mg
"Octanoic acid", 0.259, g
"Hexanoic acid", 0.381, g
"Vitamin E", 3.36, mg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 1.601, g
"Ash", 10.75, g
"Starch", 113.40, g
"Hexadecanoic acid", 9.970, g
"Decanoic acid", 0.649, g
"Dodecanoic acid", 0.785, g
"Octadecenoic acid", 11.435, g
"Octadecanoic acid", 3.951, g
"Eicosanoic acid", 0.109, g
"Eicosadienoic acid", 0.045, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.014, g
"Heptadecenoic acid", 0.073, g
"Tocopherol, alpha", 3.36, mg
# Downloaded from https://www.nutritionvalue.org 
