
# Downloaded from https://www.nutritionvalue.org 
# Macaroni and Cheese, canned entree
# Serving size 1 serving = 244 g
Nutrient, Amount, Unit
"Calories", 200.08, kcal
"Fat", 6.00, g
"Protein", 8.25, g
"Carbohydrate", 28.11, g
"Maltose", 0.49, g
"Fructose", 0.00, g
"Lactose", 0.73, g
"Sucrose", 0.00, g
"Glucose (dextrose)", 0.00, g
"Lutein + zeaxanthin", 4.88, mcg
"Tridecanoic acid", 0.000, g
"Niacin", 2.887, mg
"Riboflavin", 0.278, mg
"Thiamin", 0.246, mg
"Vitamin C", 0.0, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 1.22, g
"Vitamin B6", 0.090, mg
"Folate", 31.72, mcg
"Pantothenic acid", 0.181, mg
"Vitamin B12", 0.37, mcg
"Fiber", 1.2, g
"Retinol", 41.48, mcg
"Vitamin A", 158.60, IU
"Copper, Cu", 0.722, mg
"Selenium, Se", 23.2, mcg
"Octadecadienoic acid", 0.739, g
"Manganese, Mn", 0.547, mg
"Starch", 23.62, g
"Choline", 13.2, mg
"Zinc, Zn", 1.10, mg
"Calcium, Ca", 85.40, mg
"Iron, Fe", 2.20, mg
"Magnesium, Mg", 21.96, mg
"Phosphorus, P", 114.68, mg
"Potassium, K", 204.96, mg
"Sodium, Na", 736.88, mg
"Monounsaturated fatty acids", 1.464, g
"Polyunsaturated fatty acids", 0.739, g
"Folate, DFE", 51.24, mcg
"Folate, food", 4.88, mcg
"Vitamin K", 0.5, mcg
"Folic acid", 26.84, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.000, g
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.000, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 105.4, mg
"Water", 198.59, g
"Tetracosanoic acid", 0.000, g
"Pentadecanoic acid", 0.000, g
"Heptadecanoic acid", 0.000, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 2.150, g
"Cholesterol", 14.64, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.12, mg
"Vitamin A, RAE", 41.48, mcg
"Carotene, beta", 12.20, mcg
"Vitamin D", 0.00, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 0.000, g
"Ash", 3.05, g
"Tetradecanoic acid", 0.427, g
"Hexadecanoic acid", 1.442, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 1.464, g
"Octadecanoic acid", 0.281, g
"Eicosanoic acid", 0.000, g
"Eicosadienoic acid", 0.000, g
"Heptadecenoic acid", 0.000, g
"Tocopherol, alpha", 0.12, mg
# Downloaded from https://www.nutritionvalue.org 
