
# Downloaded from https://www.nutritionvalue.org 
# Ravioli, canned, cheese-filled
# Serving size 1 cup = 242 g
Nutrient, Amount, Unit
"Calories", 186.34, kcal
"Fat", 3.51, g
"Protein", 6.00, g
"Carbohydrate", 33.01, g
"Cis,cis-eicosadienoic n-6 acid", 0.000, g
"Retinol", 0.00, mcg
"Vitamin A", 500.94, IU
"Cholesterol", 7.26, mg
"Lutein + zeaxanthin", 38.72, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.000, g
"Hexanoic acid", 0.041, g
"Copper, Cu", 0.344, mg
"Lycopene", 20872.50, mcg
"Eicosenoic acid", 0.000, g
"Selenium, Se", 8.5, mcg
"Butanoic acid", 0.082, g
"Manganese, Mn", 0.426, mg
"Thiamin", 0.179, mg
"Saturated fatty acids", 1.750, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 0.871, g
"Docosapentaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Water", 195.80, g
"Hexadecanoic acid", 0.849, g
"Niacin", 2.565, mg
"Riboflavin", 0.194, mg
"Hexadecenoic acid", 0.094, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 2.06, mg
"Vitamin A, RAE", 24.20, mcg
"Carotene, beta", 300.08, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 79.86, mg
"Choline", 23.0, mg
"Monounsaturated fatty acids", 1.012, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Tetracosanoic acid", 0.000, g
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 0.87, mg
"Dodecanoic acid", 0.041, g
"Ash", 3.68, g
"Tetradecanoic acid", 0.259, g
"Decanoic acid", 0.046, g
"Iron, Fe", 1.79, mg
"Magnesium, Mg", 36.30, mg
"Phosphorus, P", 121.00, mg
"Potassium, K", 561.44, mg
"Sodium, Na", 740.52, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 0.329, g
"Sugars", 9.00, g
"Eicosanoic acid", 0.000, g
"Cryptoxanthin, beta", 0.00, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 62.92, mcg
"Folate, food", 26.62, mcg
"Octanoic acid", 0.022, g
"Vitamin C", 0.0, mg
"Octadecadienoic acid", 0.378, g
"Octadecatrienoic acid", 0.063, g
"Vitamin B6", 0.247, mg
"Eicosadienoic acid", 0.000, g
"Folate", 48.40, mcg
"Pantothenic acid", 0.658, mg
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 0.440, g
"Folic acid", 21.78, mcg
"Vitamin B12", 0.07, mcg
"Vitamin K", 5.6, mcg
"Fiber", 3.1, g
"Tocopherol, alpha", 2.06, mg
# Downloaded from https://www.nutritionvalue.org 
