
# Downloaded from https://www.nutritionvalue.org 
# Spanish rice mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine), dry mix
# Serving size 1 cup = 198 g
Nutrient, Amount, Unit
"Calories", 247.50, kcal
"Fat", 4.71, g
"Protein", 6.47, g
"Carbohydrate", 45.03, g
"Maltose", 0.57, g
"Fructose", 1.27, g
"Lactose", 0.00, g
"Sucrose", 0.51, g
"Glucose (dextrose)", 1.21, g
"Trans-octadecadienoic acid", 0.016, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.190, g
"Trans-hexadecenoic acid", 0.000, g
"Lutein + zeaxanthin", 201.96, mcg
"Fatty acids, total trans-monoenoic", 0.190, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.016, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.16, mg
"Tocotrienol, gamma", 0.08, mg
"Tocotrienol, delta", 0.12, mg
"Tocopherol, beta", 0.02, mg
"Tocopherol, gamma", 1.74, mg
"Tocopherol, delta", 0.44, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 1.428, g
"Cis,cis-octadecadienoic n-6 acid", 1.447, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.002, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.002, g
"Cis-hexadecenoic acid", 0.006, g
"Sugars", 3.54, g
"Vitamin B6", 0.190, mg
"Folate", 134.64, mcg
"Pantothenic acid", 0.422, mg
"Fiber", 3.0, g
"Vitamin A", 411.84, IU
"Copper, Cu", 0.121, mg
"Selenium, Se", 19.0, mcg
"Octadecadienoic acid", 1.465, g
"Manganese, Mn", 0.438, mg
"Dihydrophylloquinone", 1.4, mcg
"Menaquinone-4", 0.0, mcg
"Zinc, Zn", 0.59, mg
"Calcium, Ca", 35.64, mg
"Iron, Fe", 2.02, mg
"Magnesium, Mg", 25.74, mg
"Phosphorus, P", 89.10, mg
"Potassium, K", 366.30, mg
"Sodium, Na", 691.02, mg
"Eicosadienoic n-6 acid", 0.000, g
"Monounsaturated fatty acids", 1.651, g
"Polyunsaturated fatty acids", 1.717, g
"Vitamin K", 5.7, mcg
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.006, g
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.016, g
"Cryptoxanthin, beta", 37.62, mcg
"Lycopene", 3128.40, mcg
"Eicosenoic acid", 0.026, g
"Water", 139.11, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.238, g
"Eicosadienoic n-3 acid", 0.000, g
"Niacin", 4.845, mg
"Docosatetraenoic acid", 0.002, g
"Riboflavin", 0.267, mg
"Tetracosanoic acid", 0.010, g
"Thiamin", 0.568, mg
"Pentadecanoic acid", 0.002, g
"Heptadecanoic acid", 0.004, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Fatty acids, total trans", 0.206, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 0.766, g
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 1.33, mg
"Vitamin A, RAE", 19.80, mcg
"Carotene, beta", 229.68, mcg
"Octadecatrienoic acid", 0.247, g
"Ash", 2.67, g
"Tetradecanoic acid", 0.010, g
"Hexadecanoic acid", 0.489, g
"Decanoic acid", 0.000, g
"Dodecanoic acid", 0.000, g
"Octadecenoic acid", 1.618, g
"Octadecanoic acid", 0.216, g
"Eicosanoic acid", 0.020, g
"Starch", 38.25, g
"Eicosadienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.008, g
"Heptadecenoic acid", 0.002, g
"Tocopherol, alpha", 1.33, mg
# Downloaded from https://www.nutritionvalue.org 
