
# Downloaded from https://www.nutritionvalue.org 
# Sausage, egg and cheese breakfast biscuit
# Serving size 1 biscuit = 126 g
Nutrient, Amount, Unit
"Calories", 408.24, kcal
"Fat", 27.88, g
"Protein", 12.02, g
"Carbohydrate", 27.18, g
"Maltose", 0.45, g
"Fructose", 0.00, g
"Lactose", 1.61, g
"Sucrose", 1.10, g
"Glucose (dextrose)", 0.74, g
"Trans-octadecadienoic acid", 0.062, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.147, g
"Trans-hexadecenoic acid", 0.014, g
"Hexadecenoic acid", 0.402, g
"Fatty acids, total trans-monoenoic", 0.161, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.062, g
"Niacin", 2.751, mg
"Riboflavin", 0.403, mg
"Thiamin", 0.309, mg
"Vitamin C", 0.1, mg
"Eicosapentaenoic n-3 acid", 0.004, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 9.983, g
"Cis,cis-octadecadienoic n-6 acid", 4.276, g
"Docosenoic cis acid", 0.005, g
"Octadecadienoic CLAs acid", 0.038, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.100, g
"Cis-hexadecenoic acid", 0.388, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 3.91, g
"Vitamin B6", 0.155, mg
"Folate", 65.52, mcg
"Vitamin B12", 0.74, mcg
"Fiber", 2.5, g
"Retinol", 217.98, mcg
"Vitamin A", 796.32, IU
"Copper, Cu", 0.088, mg
"Selenium, Se", 22.3, mcg
"Octadecadienoic acid", 4.376, g
"Manganese, Mn", 0.272, mg
"Starch", 20.22, g
"Choline", 118.6, mg
"Zinc, Zn", 1.25, mg
"Calcium, Ca", 171.36, mg
"Iron, Fe", 2.33, mg
"Magnesium, Mg", 20.16, mg
"Phosphorus, P", 375.48, mg
"Potassium, K", 338.94, mg
"Sodium, Na", 744.66, mg
"Monounsaturated fatty acids", 10.759, g
"Polyunsaturated fatty acids", 4.890, g
"Folate, DFE", 98.28, mcg
"Folate, food", 17.64, mcg
"Vitamin K", 2.3, mcg
"Folic acid", 47.88, mcg
"Docosahexaenoic n-3 acid", 0.015, g
"Eicosatetraenoic acid", 0.083, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 430.92, mcg
"Tetradecenoic acid", 0.034, g
"Docosanoic acid", 0.018, g
"Cryptoxanthin, beta", 10.08, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.147, g
"Water", 55.59, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.231, g
"Eicosadienoic n-3 acid", 0.011, g
"Eicosadienoic n-6 acid", 0.025, g
"Docosatetraenoic acid", 0.018, g
"Tetracosanoic acid", 0.009, g
"Pentadecanoic acid", 0.043, g
"Heptadecanoic acid", 0.068, g
"Docosenoic acid", 0.005, g
"Docosapentaenoic n-3 acid", 0.010, g
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.223, g
"Butanoic acid", 0.066, g
"Saturated fatty acids", 10.830, g
"Cholesterol", 98.28, mg
"Octanoic acid", 0.029, g
"Hexanoic acid", 0.048, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 1.97, mg
"Vitamin A, RAE", 221.76, mcg
"Carotene, beta", 36.54, mcg
"Vitamin D", 34.02, IU
"Vitamin D (D2 + D3)", 0.9, mcg
"Octadecatrienoic acid", 0.244, g
"Ash", 3.33, g
"Tetradecanoic acid", 0.570, g
"Hexadecanoic acid", 7.361, g
"Decanoic acid", 0.077, g
"Dodecanoic acid", 0.132, g
"Octadecenoic acid", 10.132, g
"Octadecanoic acid", 2.351, g
"Eicosanoic acid", 0.060, g
"Eicosadienoic acid", 0.037, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.014, g
"Heptadecenoic acid", 0.040, g
"Tocopherol, alpha", 1.97, mg
# Downloaded from https://www.nutritionvalue.org 
