
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, breaded and fried, shrimp, family style
# Serving size 1 serving = 169 g
Nutrient, Amount, Unit
"Calories", 520.52, kcal
"Fat", 31.55, g
"Protein", 21.41, g
"Carbohydrate", 37.67, g
"Maltose", 0.49, g
"Fructose", 0.24, g
"Lactose", 0.00, g
"Sucrose", 0.59, g
"Glucose (dextrose)", 0.24, g
"Trans-octadecadienoic acid", 0.128, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 0.101, g
"Trans-hexadecenoic acid", 0.003, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.056, g
"Fatty acids, total trans-monoenoic", 0.103, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.128, g
"Tocotrienol, alpha", 0.00, mg
"Tocotrienol, beta", 0.08, mg
"Tocotrienol, gamma", 0.00, mg
"Tocotrienol, delta", 0.42, mg
"Tocopherol, beta", 0.37, mg
"Tocopherol, gamma", 12.24, mg
"Tocopherol, delta", 5.27, mg
"Eicosapentaenoic n-3 acid", 0.076, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 6.890, g
"Cis,cis-octadecadienoic n-6 acid", 13.659, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.041, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.019, g
"Cis-hexadecenoic acid", 0.052, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 1.54, g
"Vitamin B6", 0.125, mg
"Folate", 72.67, mcg
"Pantothenic acid", 0.592, mg
"Vitamin B12", 0.74, mcg
"Fiber", 2.5, g
"Retinol", 5.07, mcg
"Vitamin A", 18.59, IU
"Copper, Cu", 0.240, mg
"Selenium, Se", 38.2, mcg
"Octadecadienoic acid", 13.828, g
"Manganese, Mn", 0.502, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 0.0, mcg
"Hexadecanoic acid", 3.306, g
"Choline", 84.7, mg
"Zinc, Zn", 1.34, mg
"Calcium, Ca", 70.98, mg
"Iron, Fe", 1.96, mg
"Magnesium, Mg", 35.49, mg
"Phosphorus, P", 508.69, mg
"Potassium, K", 182.52, mg
"Sodium, Na", 1901.25, mg
"Eicosadienoic n-6 acid", 0.000, g
"Serine", 0.864, g
"Monounsaturated fatty acids", 7.257, g
"Polyunsaturated fatty acids", 15.736, g
"Arginine", 1.558, g
"Valine", 1.137, g
"Alanine", 1.109, g
"Histidine", 0.436, g
"Glutamic acid", 4.355, g
"Aspartic acid", 1.945, g
"Proline", 1.168, g
"Glycine", 0.979, g
"Docosahexaenoic n-3 acid", 0.076, g
"Eicosatetraenoic acid", 0.042, g
"Tetradecanoic acid", 0.037, g
"Lutein + zeaxanthin", 16.90, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.103, g
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.193, g
"Water", 72.70, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 1.545, g
"Eicosadienoic n-3 acid", 0.002, g
"Niacin", 2.111, mg
"Docosatetraenoic acid", 0.002, g
"Riboflavin", 0.218, mg
"Tetracosanoic acid", 0.039, g
"Thiamin", 0.189, mg
"Pentadecanoic acid", 0.008, g
"Heptadecanoic acid", 0.039, g
"Phenylalanine", 0.945, g
"Tyrosine", 0.652, g
"Methionine", 0.522, g
"Cystine", 0.289, g
"Leucine", 1.678, g
"Lysine", 1.458, g
"Threonine", 0.762, g
"Isoleucine", 0.924, g
"Tryptophan", 0.245, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.005, g
"Vitamin C", 0.0, mg
"Alcohol, ethyl", 0.0, g
"Fatty acids, total trans", 0.233, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 5.680, g
"Cholesterol", 147.03, mg
"Octanoic acid", 0.012, g
"Hexanoic acid", 0.002, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 3.62, mg
"Vitamin A, RAE", 5.07, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D", 1.69, IU
"Vitamin D (D2 + D3)", 0.0, mcg
"Octadecatrienoic acid", 1.685, g
"Ash", 5.64, g
"Starch", 33.80, g
"Decanoic acid", 0.008, g
"Dodecanoic acid", 0.003, g
"Octadecenoic acid", 6.992, g
"Octadecanoic acid", 2.016, g
"Eicosanoic acid", 0.108, g
"Folate, DFE", 104.78, mcg
"Folate, food", 25.35, mcg
"Eicosadienoic acid", 0.002, g
"Vitamin K", 54.4, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.140, g
"Heptadecenoic acid", 0.017, g
"Folic acid", 47.32, mcg
"Tocopherol, alpha", 3.62, mg
# Downloaded from https://www.nutritionvalue.org 
