
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, onion rings, family style
# Serving size 1 serving = 259 g
Nutrient, Amount, Unit
"Calories", 922.04, kcal
"Fat", 49.94, g
"Protein", 12.67, g
"Carbohydrate", 105.46, g
"Maltose", 2.90, g
"Fructose", 2.95, g
"Lactose", 0.00, g
"Sucrose", 3.03, g
"Glucose (dextrose)", 3.24, g
"Trans-octadecadienoic acid", 0.295, g
"Docosenoic trans acid", 0.008, g
"Trans-octadecenoic acid", 0.168, g
"Trans-hexadecenoic acid", 0.003, g
"Octadecatetraenoic acid", 0.000, g
"Hexadecenoic acid", 0.080, g
"Fatty acids, total trans-monoenoic", 0.176, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.295, g
"Tocotrienol, alpha", 0.10, mg
"Tocotrienol, beta", 0.39, mg
"Tocotrienol, gamma", 0.13, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.47, mg
"Tocopherol, gamma", 21.70, mg
"Tocopherol, delta", 8.78, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 10.471, g
"Cis,cis-octadecadienoic n-6 acid", 22.041, g
"Docosenoic cis acid", 0.010, g
"Octadecadienoic CLAs acid", 0.070, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.023, g
"Cis-hexadecenoic acid", 0.078, g
"Sugars", 12.12, g
"Vitamin B6", 0.215, mg
"Folate", 36.26, mcg
"Pantothenic acid", 0.984, mg
"Fiber", 6.7, g
"Retinol", 2.59, mcg
"Vitamin A", 44.03, IU
"Copper, Cu", 0.228, mg
"Selenium, Se", 12.9, mcg
"Octadecadienoic acid", 22.409, g
"Manganese, Mn", 1.220, mg
"Dihydrophylloquinone", 0.0, mcg
"Menaquinone-4", 0.0, mcg
"Hydroxyproline", 0.000, g
"Zinc, Zn", 1.32, mg
"Calcium, Ca", 54.39, mg
"Iron, Fe", 1.84, mg
"Magnesium, Mg", 49.21, mg
"Phosphorus, P", 243.46, mg
"Potassium, K", 367.78, mg
"Sodium, Na", 1792.28, mg
"Eicosadienoic n-6 acid", 0.000, g
"Serine", 0.469, g
"Monounsaturated fatty acids", 10.922, g
"Polyunsaturated fatty acids", 25.460, g
"Arginine", 0.596, g
"Valine", 0.518, g
"Alanine", 0.386, g
"Histidine", 0.282, g
"Glutamic acid", 3.906, g
"Aspartic acid", 0.570, g
"Proline", 1.616, g
"Glycine", 0.464, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.021, g
"Tetradecanoic acid", 0.060, g
"Lutein + zeaxanthin", 108.78, mcg
"Tetradecenoic acid", 0.000, g
"Docosanoic acid", 0.153, g
"Cryptoxanthin, beta", 10.36, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.153, g
"Water", 85.21, g
"Trans-octadecatrienoic acid", 0.000, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 2.792, g
"Eicosadienoic n-3 acid", 0.003, g
"Niacin", 2.119, mg
"Docosatetraenoic acid", 0.003, g
"Riboflavin", 0.202, mg
"Tetracosanoic acid", 0.060, g
"Thiamin", 0.303, mg
"Pentadecanoic acid", 0.013, g
"Heptadecanoic acid", 0.054, g
"Phenylalanine", 0.585, g
"Tyrosine", 0.267, g
"Methionine", 0.189, g
"Cystine", 0.311, g
"Leucine", 0.860, g
"Lysine", 0.287, g
"Threonine", 0.272, g
"Isoleucine", 0.422, g
"Tryptophan", 0.119, g
"Docosenoic acid", 0.018, g
"Docosapentaenoic n-3 acid", 0.000, g
"Fatty acids, total trans", 0.474, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 8.845, g
"Octanoic acid", 0.021, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 2.59, mcg
"Vitamin E", 3.29, mg
"Vitamin A, RAE", 2.59, mcg
"Carotene, beta", 15.54, mcg
"Octadecatrienoic acid", 3.002, g
"Ash", 5.72, g
"Starch", 86.22, g
"Hexadecanoic acid", 5.390, g
"Decanoic acid", 0.021, g
"Dodecanoic acid", 0.016, g
"Octadecenoic acid", 10.640, g
"Octadecanoic acid", 2.901, g
"Eicosanoic acid", 0.161, g
"Folate, food", 36.26, mcg
"Eicosadienoic acid", 0.003, g
"Vitamin K", 110.3, mcg
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.210, g
"Heptadecenoic acid", 0.028, g
"Tocopherol, alpha", 3.29, mg
# Downloaded from https://www.nutritionvalue.org 
