
# Downloaded from https://www.nutritionvalue.org 
# Restaurant, cheese enchilada, Mexican
# Serving size 2 enchilada = 257 g
Nutrient, Amount, Unit
"Calories", 701.61, kcal
"Fat", 47.47, g
"Protein", 28.89, g
"Carbohydrate", 39.71, g
"Maltose", 1.05, g
"Fructose", 1.41, g
"Lactose", 1.85, g
"Sucrose", 0.54, g
"Glucose (dextrose)", 1.82, g
"Trans-octadecadienoic acid", 0.272, g
"Docosenoic trans acid", 0.000, g
"Trans-octadecenoic acid", 1.010, g
"Trans-hexadecenoic acid", 0.103, g
"Hexadecenoic acid", 0.560, g
"Fatty acids, total trans-monoenoic", 1.113, g
"Pentadecenoic acid", 0.000, g
"Fatty acids, total trans-polyenoic", 0.275, g
"Tocotrienol, alpha", 0.33, mg
"Tocotrienol, beta", 0.03, mg
"Tocotrienol, gamma", 0.10, mg
"Tocotrienol, delta", 0.00, mg
"Tocopherol, beta", 0.13, mg
"Tocopherol, gamma", 6.42, mg
"Tocopherol, delta", 1.34, mg
"Eicosapentaenoic n-3 acid", 0.010, g
"Galactose", 0.00, g
"Cis-octadecenoic acid", 10.002, g
"Cis,cis-octadecadienoic n-6 acid", 5.793, g
"Docosenoic cis acid", 0.000, g
"Octadecadienoic CLAs acid", 0.175, g
"Tetracosenoic cis acid", 0.000, g
"Cis,cis-eicosadienoic n-6 acid", 0.013, g
"Cis-hexadecenoic acid", 0.457, g
"Sugars", 6.68, g
"Vitamin B6", 0.314, mg
"Folate", 43.69, mcg
"Pantothenic acid", 0.853, mg
"Vitamin B12", 2.21, mcg
"Fiber", 4.9, g
"Retinol", 478.02, mcg
"Vitamin A", 2539.16, IU
"Copper, Cu", 0.141, mg
"Selenium, Se", 40.6, mcg
"Octadecadienoic acid", 6.237, g
"Manganese, Mn", 0.303, mg
"Starch", 28.01, g
"Hydroxyproline", 0.000, g
"Zinc, Zn", 4.70, mg
"Calcium, Ca", 806.98, mg
"Iron, Fe", 1.70, mg
"Magnesium, Mg", 74.53, mg
"Phosphorus, P", 688.76, mg
"Potassium, K", 359.80, mg
"Sodium, Na", 1356.96, mg
"Eicosadienoic n-6 acid", 0.036, g
"Serine", 1.663, g
"Monounsaturated fatty acids", 12.043, g
"Polyunsaturated fatty acids", 7.057, g
"Arginine", 1.174, g
"Valine", 1.763, g
"Alanine", 0.961, g
"Histidine", 0.786, g
"Glutamic acid", 6.374, g
"Aspartic acid", 2.025, g
"Proline", 4.073, g
"Glycine", 0.637, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.059, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 367.51, mcg
"Tetradecenoic acid", 0.301, g
"Docosanoic acid", 0.051, g
"Cryptoxanthin, beta", 149.06, mcg
"Lycopene", 2107.40, mcg
"Eicosenoic acid", 0.100, g
"Water", 134.62, g
"Trans-octadecatrienoic acid", 0.003, g
"Cis,cis,cis-octadecatrienoic n-3 acid", 0.632, g
"Eicosadienoic n-3 acid", 0.003, g
"Niacin", 1.611, mg
"Docosatetraenoic acid", 0.008, g
"Riboflavin", 0.573, mg
"Tetracosanoic acid", 0.023, g
"Thiamin", 0.162, mg
"Pentadecanoic acid", 0.329, g
"Heptadecanoic acid", 0.216, g
"Phenylalanine", 1.550, g
"Tyrosine", 1.375, g
"Methionine", 0.786, g
"Cystine", 0.301, g
"Leucine", 2.899, g
"Lysine", 2.349, g
"Threonine", 1.074, g
"Isoleucine", 1.336, g
"Tryptophan", 0.388, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.018, g
"Fatty acids, total trans", 1.388, g
"Butanoic acid", 0.650, g
"Saturated fatty acids", 21.498, g
"Cholesterol", 107.94, mg
"Octanoic acid", 0.347, g
"Hexanoic acid", 0.545, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 3.29, mg
"Vitamin A, RAE", 526.85, mcg
"Carotene, beta", 490.87, mcg
"Octadecatrienoic acid", 0.673, g
"Ash", 6.30, g
"Tetradecanoic acid", 3.115, g
"Hexadecanoic acid", 10.162, g
"Decanoic acid", 0.848, g
"Dodecanoic acid", 0.969, g
"Octadecenoic acid", 11.010, g
"Octadecanoic acid", 4.163, g
"Eicosanoic acid", 0.087, g
"Eicosadienoic acid", 0.039, g
"Cis,cis,cis-octadecatrienoic n-6 acid", 0.039, g
"Heptadecenoic acid", 0.072, g
"Tocopherol, alpha", 3.29, mg
# Downloaded from https://www.nutritionvalue.org 
